Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2e-06,22.361281,[ 68 108] ; [57 24],[85.60311284 90.39688716] ; [39.39688716 41.60311284],1
p5,1,0.001608,9.950908,[ 12 170] ; [16 66],[ 19.3030303 162.6969697] ; [ 8.6969697 73.3030303],0
p1,1,0.003153,8.717032,[  9 172] ; [13 69],[ 15.14068441 165.85931559] ; [ 6.85931559 75.14068441],0
v1,1,0.004889,7.920138,[ 73 105] ; [49 33],[83.52307692 94.47692308] ; [38.47692308 43.52307692],0
b4,1,0.017643,5.631254,[95 88] ; [56 27],[103.88345865  79.11654135] ; [47.11654135 35.88345865],0
d5,1,0.019722,5.436342,[116  67] ; [40 43],[107.32330827  75.67669173] ; [48.67669173 34.32330827],0
r2,1,0.026163,4.945243,[157  22] ; [80  3],[161.91984733  17.08015267] ; [75.08015267  7.91984733],0
r4,1,0.033959,4.496756,[152  31] ; [77  6],[157.54511278  25.45488722] ; [71.45488722 11.54511278],0
p3,1,0.039277,4.248867,[ 69 114] ; [42 40],[ 76.65283019 106.34716981] ; [34.34716981 47.65283019],0
s5,1,0.088309,2.904928,[ 42 136] ; [27 53],[ 47.60465116 130.39534884] ; [21.39534884 58.60465116],0
s7,1,0.090293,2.869148,[ 61 112] ; [35 40],[ 66.96774194 106.03225806] ; [29.03225806 45.96774194],0
p2,1,0.124039,2.365565,[153  30] ; [62 20],[148.47169811  34.52830189] ; [66.52830189 15.47169811],0
n4,1,0.136782,2.213792,[121  61] ; [62 20],[126.15909091  55.84090909] ; [56.84090909 25.15909091],0
p12,1,0.143085,2.144465,[  6 175] ; [ 6 75],[  8.29007634 172.70992366] ; [ 3.70992366 77.29007634],0
s4,1,0.165559,1.922707,[ 35 146] ; [10 71],[ 31.08778626 149.91221374] ; [13.91221374 67.08778626],0
n5,1,0.180215,1.795854,[119  61] ; [61 21],[123.66412214  56.33587786] ; [56.33587786 25.66412214],0
b2,1,0.198368,1.654346,[24 72] ; [15 27],[27.13043478 68.86956522] ; [11.86956522 30.13043478],0
b3,1,0.198368,1.654346,[24 72] ; [15 27],[27.13043478 68.86956522] ; [11.86956522 30.13043478],0
v4,1,0.202354,1.625306,[164  17] ; [79  4],[166.60227273  14.39772727] ; [76.39772727  6.60227273],0
d4,1,0.217338,1.52186,[116  67] ; [46 37],[111.45112782  71.54887218] ; [50.54887218 32.45112782],0
d3,1,0.217377,1.521602,[86 96] ; [46 37],[90.65660377 91.34339623] ; [41.34339623 41.65660377],0
p6,1,0.264027,1.247517,[ 52 128] ; [29 52],[ 55.86206897 124.13793103] ; [25.13793103 55.86206897],0
r1,1,0.279086,1.171537,[128  53] ; [64 19],[131.63636364  49.36363636] ; [60.36363636 22.63636364],0
s3,1,0.282659,1.154263,[91 90] ; [34 45],[87.01923077 93.98076923] ; [37.98076923 41.01923077],0
p8,1,0.292051,1.110143,[83 95] ; [44 38],[86.94615385 91.05384615] ; [40.05384615 41.94615385],0
b1,1,0.323153,0.976142,[ 72 111] ; [38 45],[ 75.67669173 107.32330827] ; [34.32330827 48.67669173],0
p7,1,0.354467,0.8574,[102  75] ; [51 29],[105.37354086  71.62645914] ; [47.62645914 32.37354086],0
n6,1,0.35778,0.845672,[140  42] ; [68 15],[142.85283019  39.14716981] ; [65.14716981 17.85283019],0
p4,1,0.39813,0.713968,[88 95] ; [43 37],[91.15209125 91.84790875] ; [39.84790875 40.15209125],0
a8,1,0.424806,0.636983,[ 27 147] ; [ 9 68],[ 24.9561753 149.0438247] ; [11.0438247 65.9561753],0
a3,1,0.498472,0.458188,[101  80] ; [50 33],[103.52651515  77.47348485] ; [47.47348485 35.52651515],0
a4,1,0.539168,0.377085,[ 44 138] ; [23 60],[ 46.01509434 135.98490566] ; [20.98490566 62.01509434],0
s6,1,0.563378,0.333888,[110  71] ; [51 28],[112.08076923  68.91923077] ; [48.91923077 30.08076923],0
u4,1,0.564672,0.331679,[  1 182] ; [ 1 82],[  1.37593985 181.62406015] ; [ 0.62406015 82.37593985],0
a2,1,0.581943,0.303104,[ 12 171] ; [ 7 76],[ 13.07142857 169.92857143] ; [ 5.92857143 77.07142857],0
u2,1,0.632096,0.229229,[41 39] ; [18 14],[42.14285714 37.85714286] ; [16.85714286 15.14285714],0
b5,1,0.685535,0.163961,[115  68] ; [50 33],[113.51503759  69.48496241] ; [51.48496241 31.51503759],0
p10,1,0.699608,0.14888,[134  44] ; [62 18],[135.2248062  42.7751938] ; [60.7751938 19.2248062],0
n3,1,0.737395,0.112429,[34  9] ; [12  4],[33.52542373  9.47457627] ; [12.47457627  3.52542373],0
u1,1,0.773846,0.082569,[  8 175] ; [ 3 80],[  7.56766917 175.43233083] ; [ 3.43233083 79.56766917],0
p11,1,0.800227,0.064036,[135  48] ; [60 23],[134.15413534  48.84586466] ; [60.84586466 22.15413534],0
s1,1,0.818626,0.052584,[  8 173] ; [ 3 76],[  7.65769231 173.34230769] ; [ 3.34230769 75.65769231],0
p9,1,0.833828,0.044014,[143  36] ; [63 17],[142.37065637  36.62934363] ; [63.62934363 16.37065637],0
a6,1,0.85303,0.034319,[119  64] ; [53 30],[118.33082707  64.66917293] ; [53.66917293 29.33082707],0
r3,1,0.866719,0.028166,[168  12] ; [77  6],[167.68060837  12.31939163] ; [77.31939163  5.68060837],0
d2,1,0.876851,0.024013,[ 23 160] ; [11 72],[ 23.39097744 159.60902256] ; [10.60902256 72.39097744],0
n2,1,0.888656,0.019601,[33 10] ; [12  4],[32.79661017 10.20338983] ; [12.20338983  3.79661017],0
s8,1,0.893228,0.018015,[ 54 128] ; [25 57],[ 54.46212121 127.53787879] ; [24.53787879 57.46212121],0
u3,1,0.90388,0.014583,[46 34] ; [18 14],[45.71428571 34.28571429] ; [18.28571429 13.71428571],0
a5,1,0.930767,0.007548,[107  76] ; [49 34],[107.32330827  75.67669173] ; [48.67669173 34.32330827],0
a1,1,0.933298,0.007005,[  7 176] ; [ 3 80],[  6.87969925 176.12030075] ; [ 3.12030075 79.87969925],0
s2,1,0.950265,0.003891,[ 73 108] ; [33 48],[ 73.22900763 107.77099237] ; [32.77099237 48.22900763],0
n1,1,0.974706,0.001005,[17 26] ; [6 9],[17.05172414 25.94827586] ; [5.94827586 9.05172414],0
