Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.000333,12.874349,[12 11] ; [80 13],[18.24137931  4.75862069] ; [73.75862069 19.24137931],1
p6,1,0.000771,11.310935,[ 4 19] ; [51 39],[11.19469027 11.80530973] ; [43.80530973 46.19469027],1
s7,1,0.007748,7.09087,[ 5 18] ; [46 41],[10.66363636 12.33636364] ; [40.33636364 46.66363636],0
p3,1,0.007946,7.045686,[ 6 17] ; [53 40],[11.69827586 11.30172414] ; [47.30172414 45.69827586],0
p4,1,0.008306,6.966319,[ 9 14] ; [64 29],[14.47413793  8.52586207] ; [58.52586207 34.47413793],0
r3,1,0.027864,4.836449,[19  4] ; [88  4],[21.4  1.6] ; [85.6  6.4],0
r2,1,0.027955,4.830858,[18  5] ; [85  6],[20.78070175  2.21929825] ; [82.21929825  8.78070175],0
s2,1,0.027987,4.828887,[ 6 17] ; [48 45],[10.70689655 12.29310345] ; [43.29310345 49.70689655],0
s5,1,0.034382,4.47561,[ 2 20] ; [28 61],[ 5.94594595 16.05405405] ; [24.05405405 64.94594595],0
n4,1,0.051891,3.779295,[12 11] ; [68 25],[15.86206897  7.13793103] ; [64.13793103 28.86206897],0
v4,1,0.05916,3.56078,[20  3] ; [89  3],[21.8  1.2] ; [87.2  4.8],0
d5,1,0.067157,3.351168,[12 11] ; [67 26],[15.6637931  7.3362069] ; [63.3362069 29.6637931],0
r1,1,0.107269,2.594002,[12 11] ; [65 28],[15.26724138  7.73275862] ; [61.73275862 31.26724138],0
a7,1,0.115073,2.483131,[12 11] ; [64 28],[15.2  7.8] ; [60.8 31.2],0
v1,1,0.135047,2.233502,[ 7 16] ; [43 47],[10.17699115 12.82300885] ; [39.82300885 50.17699115],0
d4,1,0.183199,1.771476,[13 10] ; [66 27],[15.6637931  7.3362069] ; [63.3362069 29.6637931],0
v2,1,0.193514,1.690657,[ 7 15] ; [42 47],[ 9.71171171 12.28828829] ; [39.28828829 49.71171171],0
s6,1,0.197022,1.66431,[12 11] ; [60 30],[14.65486726  8.34513274] ; [57.34513274 32.65486726],0
n5,1,0.204742,1.608218,[14  9] ; [69 24],[16.45689655  6.54310345] ; [66.54310345 26.45689655],0
s4,1,0.220157,1.503349,[ 3 20] ; [23 69],[ 5.2 17.8] ; [20.8 71.2],0
s3,1,0.222645,1.487239,[10 12] ; [55 37],[12.54385965  9.45614035] ; [52.45614035 39.54385965],0
v3,1,0.239944,1.380923,[ 5 16] ; [34 57],[ 7.3125 13.6875] ; [31.6875 59.3125],0
p9,1,0.258508,1.276727,[21  2] ; [75 17],[19.2  3.8] ; [76.8 15.2],0
n3,1,0.290689,1.116427,[3 3] ; [16  6],[4.07142857 1.92857143] ; [14.92857143  7.07142857],0
p5,1,0.366757,0.814624,[ 2 21] ; [15 78],[ 3.37068966 19.62931034] ; [13.62931034 79.37068966],0
u3,1,0.379816,0.771298,[5 9] ; [24 25],[6.44444444 7.55555556] ; [22.55555556 26.44444444],0
b1,1,0.393013,0.729599,[ 6 17] ; [33 60],[ 7.73275862 15.26724138] ; [31.26724138 61.73275862],0
b5,1,0.41863,0.654158,[15  8] ; [52 41],[13.28448276  9.71551724] ; [53.71551724 39.28448276],0
n2,1,0.422702,0.642792,[4 2] ; [18  4],[4.71428571 1.28571429] ; [17.28571429  4.71428571],0
r4,1,0.437923,0.601719,[18  5] ; [79 14],[19.23275862  3.76724138] ; [77.76724138 15.23275862],0
b4,1,0.480644,0.497401,[14  9] ; [49 44],[12.49137931 10.50862069] ; [50.50862069 42.49137931],0
a3,1,0.558985,0.341464,[ 9 13] ; [44 48],[10.22807018 11.77192982] ; [42.77192982 49.22807018],0
p10,1,0.571942,0.319444,[17  6] ; [73 19],[18.  5.] ; [72. 20.],0
s1,1,0.704406,0.143929,[ 1 22] ; [ 6 87],[ 1.38793103 21.61206897] ; [ 5.61206897 87.38793103],0
d1,1,0.717939,0.130476,[ 7 16] ; [32 61],[ 7.73275862 15.26724138] ; [31.26724138 61.73275862],0
s8,1,0.746653,0.104365,[10 13] ; [37 56],[ 9.31896552 13.68103448] ; [37.68103448 55.31896552],0
d3,1,0.746741,0.10429,[12 11] ; [52 41],[12.68965517 10.31034483] ; [51.31034483 41.68965517],0
u2,1,0.839714,0.040909,[7 7] ; [26 23],[7.33333333 6.66666667] ; [25.66666667 23.33333333],0
n1,1,0.84313,0.039161,[3 3] ; [10 12],[2.78571429 3.21428571] ; [10.21428571 11.78571429],0
p12,1,0.851184,0.035197,[ 2 21] ; [ 7 86],[ 1.78448276 21.21551724] ; [ 7.21551724 85.78448276],0
b2,1,0.853787,0.033962,[2 8] ; [12 41],[2.22222222 7.77777778] ; [11.77777778 41.22222222],0
b3,1,0.853787,0.033962,[2 8] ; [12 41],[2.22222222 7.77777778] ; [11.77777778 41.22222222],0
p2,1,0.872703,0.025672,[20  3] ; [82 11],[20.22413793  2.77586207] ; [81.77586207 11.22413793],0
a6,1,0.888226,0.019754,[11 12] ; [46 47],[11.30172414 11.69827586] ; [45.69827586 47.30172414],0
d2,1,0.889635,0.019256,[ 5 18] ; [19 74],[ 4.75862069 18.24137931] ; [19.24137931 73.75862069],0
a8,1,0.903733,0.014628,[ 3 17] ; [12 74],[ 2.83018868 17.16981132] ; [12.16981132 73.83018868],0
n6,1,0.908656,0.013164,[18  5] ; [73 19],[18.2  4.8] ; [72.8 19.2],0
a4,1,0.991485,0.000114,[ 4 18] ; [17 76],[ 4.0173913 17.9826087] ; [16.9826087 76.0173913],0
p1,1,1.0,0.0,[ 3 20] ; [12 80],[ 3. 20.] ; [12. 80.],0
