Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,75.032538,[ 3 35] ; [99 18],[25.00645161 12.99354839] ; [76.99354839 40.00645161],1
v4,1,0.0,26.87844,[20 18] ; [105  11],[30.84415584  7.15584416] ; [94.15584416 21.84415584],1
r2,1,0.0,25.906981,[21 14] ; [109   7],[30.13245033  4.86754967] ; [99.86754967 16.13245033],1
s6,1,0.0,25.596674,[ 5 33] ; [69 45],[18.5 19.5] ; [55.5 58.5],1
s2,1,3e-06,21.620745,[ 3 35] ; [59 58],[15.2 22.8] ; [46.8 70.2],1
p2,1,4e-06,21.371525,[ 8 30] ; [75 42],[20.3483871 17.6516129] ; [62.6516129 54.3483871],1
p9,1,4.1e-05,16.837774,[ 9 26] ; [73 39],[19.52380952 15.47619048] ; [62.47619048 49.52380952],1
r1,1,4.1e-05,16.822998,[15 23] ; [87 28],[25.33333333 12.66666667] ; [76.66666667 38.33333333],1
b5,1,0.000123,14.739467,[13 25] ; [81 36],[23.04516129 14.95483871] ; [70.95483871 46.04516129],1
s3,1,0.000246,13.442931,[ 7 29] ; [63 53],[16.57894737 19.42105263] ; [53.42105263 62.57894737],1
v2,1,0.000308,13.0205,[ 5 32] ; [52 59],[14.25 22.75] ; [42.75 68.25],1
a1,1,0.00041,12.487545,[ 8 30] ; [  4 113],[ 2.94193548 35.05806452] ; [  9.05806452 107.94193548],1
p7,1,0.000415,12.463171,[ 4 33] ; [49 66],[12.90131579 24.09868421] ; [40.09868421 74.90131579],1
d4,1,0.000467,12.244359,[18 20] ; [89 26],[26.5751634 11.4248366] ; [80.4248366 34.5751634],1
a7,1,0.001244,10.42406,[17 21] ; [85 31],[25.16883117 12.83116883] ; [76.83116883 39.16883117],0
p10,1,0.001491,10.090268,[10 27] ; [64 48],[18.37583893 18.62416107] ; [55.62416107 56.37583893],0
d3,1,0.001707,9.840556,[14 24] ; [75 39],[22.25 15.75] ; [66.75 47.25],0
s5,1,0.001954,9.592593,[ 2 35] ; [34 77],[ 9. 28.] ; [27. 84.],0
n6,1,0.003019,8.795961,[16 22] ; [80 36],[23.68831169 14.31168831] ; [72.31168831 43.68831169],0
d5,1,0.005077,7.851899,[20 18] ; [88 27],[26.82352941 11.17647059] ; [81.17647059 33.82352941],0
n5,1,0.007858,7.065487,[30  8] ; [64 53],[23.04516129 14.95483871] ; [70.95483871 46.04516129],0
b1,1,0.01739,5.656605,[25 13] ; [51 66],[18.63225806 19.36774194] ; [57.36774194 59.63225806],0
s7,1,0.019573,5.449596,[ 7 29] ; [45 65],[12.82191781 23.17808219] ; [39.17808219 70.82191781],0
v1,1,0.021183,5.311636,[ 7 31] ; [45 71],[12.83116883 25.16883117] ; [39.16883117 76.83116883],0
s8,1,0.024382,5.067245,[ 5 33] ; [37 79],[10.36363636 27.63636364] ; [31.63636364 84.36363636],0
a5,1,0.034717,4.459028,[17 21] ; [75 42],[22.55483871 15.44516129] ; [69.44516129 47.55483871],0
d1,1,0.040853,4.182123,[11 27] ; [56 61],[16.42580645 21.57419355] ; [50.57419355 66.42580645],0
b2,1,0.050962,3.809524,[13 13] ; [15 39],[ 9.1 16.9] ; [18.9 35.1],0
b3,1,0.050962,3.809524,[13 13] ; [15 39],[ 9.1 16.9] ; [18.9 35.1],0
p4,1,0.060856,3.513894,[ 6 31] ; [37 78],[10.46710526 26.53289474] ; [32.53289474 82.46710526],0
n3,1,0.06413,3.427223,[10 14] ; [31 17],[13.66666667 10.33333333] ; [27.33333333 20.66666667],0
a8,1,0.085077,2.965144,[ 1 34] ; [14 92],[ 3.72340426 31.27659574] ; [11.27659574 94.72340426],0
u1,1,0.085857,2.950379,[ 2 36] ; [19 98],[ 5.1483871 32.8516129] ; [ 15.8516129 101.1483871],0
a6,1,0.09037,2.867777,[18 20] ; [73 43],[22.45454545 15.54545455] ; [68.54545455 47.45454545],0
p6,1,0.094741,2.791908,[ 3 34] ; [23 92],[ 6.32894737 30.67105263] ; [19.67105263 95.32894737],0
p8,1,0.114072,2.49688,[ 5 32] ; [30 85],[ 8.51973684 28.48026316] ; [26.48026316 88.51973684],0
p1,1,0.152158,2.050484,[ 4 34] ; [  5 112],[ 2.20645161 35.79354839] ; [  6.79354839 110.20645161],0
a2,1,0.158673,1.986824,[ 5 33] ; [28 89],[ 8.09032258 29.90967742] ; [24.90967742 92.09032258],0
d2,1,0.161897,1.956418,[13 24] ; [56 60],[16.68627451 20.31372549] ; [52.31372549 63.68627451],0
v3,1,0.218517,1.514084,[ 8 30] ; [35 76],[10.96644295 27.03355705] ; [32.03355705 78.96644295],0
