Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.003207,8.685714,[10 18] ; [9 1],[14. 14.] ; [5. 5.],0
p8,1,0.01142,6.398824,[ 9 18] ; [8 2],[12.40540541 14.59459459] ; [4.59459459 5.40540541],0
s5,1,0.014447,5.982738,[ 2 26] ; [4 6],[ 4.42105263 23.57894737] ; [1.57894737 8.42105263],0
p7,1,0.016596,5.738555,[13 15] ; [9 1],[16.21052632 11.78947368] ; [5.78947368 4.21052632],0
a3,1,0.029257,4.752444,[21  6] ; [4 6],[18.24324324  8.75675676] ; [6.75675676 3.24324324],0
r1,1,0.037401,4.332062,[ 9 19] ; [7 3],[11.78947368 16.21052632] ; [4.21052632 5.78947368],0
p5,1,0.046313,3.970159,[ 3 24] ; [4 6],[ 5.10810811 21.89189189] ; [1.89189189 8.10810811],0
b5,1,0.140596,2.171429,[12 16] ; [7 3],[14. 14.] ; [5. 5.],0
s2,1,0.155808,2.014444,[ 9 18] ; [1 9],[ 7.2972973 19.7027027] ; [2.7027027 7.2972973],0
u3,1,0.164264,1.934524,[1 6] ; [3 3],[2.15384615 4.84615385] ; [1.84615385 4.15384615],0
p2,1,0.198358,1.654422,[16 12] ; [8 2],[17.68421053 10.31578947] ; [6.31578947 3.68421053],0
n5,1,0.220165,1.503297,[20  8] ; [5 5],[18.42105263  9.57894737] ; [6.57894737 3.42105263],0
n4,1,0.258116,1.278832,[17 11] ; [4 6],[15.47368421 12.52631579] ; [5.52631579 4.47368421],0
s6,1,0.351351,0.868571,[12 16] ; [6 4],[13.26315789 14.73684211] ; [4.73684211 5.26315789],0
v1,1,0.366403,0.815828,[13 15] ; [3 7],[11.78947368 16.21052632] ; [4.21052632 5.78947368],0
s8,1,0.369288,0.806061,[ 7 21] ; [4 6],[ 8.10526316 19.89473684] ; [2.89473684 7.10526316],0
v3,1,0.369288,0.806061,[ 7 21] ; [4 6],[ 8.10526316 19.89473684] ; [2.89473684 7.10526316],0
b4,1,0.461251,0.542857,[13 15] ; [6 4],[14. 14.] ; [5. 5.],0
a7,1,0.47522,0.509814,[16 12] ; [7 3],[16.94736842 11.05263158] ; [6.05263158 3.94736842],0
n6,1,0.549667,0.357914,[16 11] ; [7 3],[16.78378378 10.21621622] ; [6.21621622 3.78378378],0
b1,1,0.555818,0.346997,[17 11] ; [5 5],[16.21052632 11.78947368] ; [5.78947368 4.21052632],0
d3,1,0.586682,0.295556,[14 14] ; [6 4],[14.73684211 13.26315789] ; [5.26315789 4.73684211],0
v2,1,0.612689,0.256277,[12 16] ; [3 6],[11.35135135 16.64864865] ; [3.64864865 5.35135135],0
a8,1,0.67563,0.175087,[ 4 22] ; [1 9],[ 3.61111111 22.38888889] ; [1.38888889 8.61111111],0
p3,1,0.690487,0.158559,[10 17] ; [3 7],[ 9.48648649 17.51351351] ; [3.51351351 6.48648649],0
p4,1,0.696574,0.152061,[16 12] ; [5 5],[15.47368421 12.52631579] ; [5.52631579 4.47368421],0
b3,1,0.711138,0.137143,[ 8 12] ; [2 2],[ 8.33333333 11.66666667] ; [1.66666667 2.33333333],0
b2,1,0.711138,0.137143,[ 8 12] ; [2 2],[ 8.33333333 11.66666667] ; [1.66666667 2.33333333],0
d1,1,0.7437,0.106901,[10 18] ; [3 7],[ 9.57894737 18.42105263] ; [3.42105263 6.57894737],0
d5,1,0.7437,0.106901,[18 10] ; [7 3],[18.42105263  9.57894737] ; [6.57894737 3.42105263],0
d4,1,0.757914,0.095,[21  7] ; [7 3],[20.63157895  7.36842105] ; [7.36842105 2.63157895],0
d2,1,0.809423,0.058163,[10 18] ; [4 6],[10.31578947 17.68421053] ; [3.68421053 6.31578947],0
a6,1,0.809423,0.058163,[18 10] ; [6 4],[17.68421053 10.31578947] ; [6.31578947 3.68421053],0
n3,1,0.825498,0.048611,[7 5] ; [1 1],[6.85714286 5.14285714] ; [1.14285714 0.85714286],0
a4,1,0.875179,0.024675,[12 16] ; [4 6],[11.78947368 16.21052632] ; [4.21052632 5.78947368],0
p6,1,0.918613,0.010441,[ 5 22] ; [2 8],[ 5.10810811 21.89189189] ; [1.89189189 8.10810811],0
p1,1,0.949624,0.003992,[ 3 25] ; [1 9],[ 2.94736842 25.05263158] ; [1.05263158 8.94736842],0
s1,1,0.949624,0.003992,[ 3 25] ; [1 9],[ 2.94736842 25.05263158] ; [1.05263158 8.94736842],0
a1,1,0.949624,0.003992,[ 3 25] ; [1 9],[ 2.94736842 25.05263158] ; [1.05263158 8.94736842],0
p12,1,0.949624,0.003992,[ 3 25] ; [1 9],[ 2.94736842 25.05263158] ; [1.05263158 8.94736842],0
s7,1,1.0,0.0,[ 8 16] ; [3 6],[ 8. 16.] ; [3. 6.],0
