Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.004427,8.1,[1 8] ; [7 2],[4. 5.] ; [4. 5.],0
b4,1,0.009434,6.738763,[3 7] ; [8 1],[5.78947368 4.21052632] ; [5.21052632 3.78947368],0
p10,1,0.027397,4.865608,[4 6] ; [8 1],[6.31578947 3.68421053] ; [5.68421053 3.31578947],0
s6,1,0.027397,4.865608,[4 6] ; [8 1],[6.31578947 3.68421053] ; [5.68421053 3.31578947],0
s4,1,0.027397,4.865608,[6 4] ; [1 8],[3.68421053 6.31578947] ; [3.31578947 5.68421053],0
v2,1,0.032924,4.549715,[1 9] ; [5 4],[3.15789474 6.84210526] ; [2.84210526 6.15789474],0
a7,1,0.037289,4.33716,[3 7] ; [7 2],[5.26315789 4.73684211] ; [4.73684211 4.26315789],0
p8,1,0.037289,4.33716,[3 7] ; [7 2],[5.26315789 4.73684211] ; [4.73684211 4.26315789],0
r1,1,0.039673,4.231818,[2 8] ; [6 3],[4.21052632 5.78947368] ; [3.78947368 5.21052632],0
p9,1,0.068628,3.315527,[5 5] ; [8 1],[6.84210526 3.15789474] ; [6.15789474 2.84210526],0
p11,1,0.095852,2.773232,[4 6] ; [7 2],[5.78947368 4.21052632] ; [5.21052632 3.78947368],0
a6,1,0.095852,2.773232,[4 6] ; [7 2],[5.78947368 4.21052632] ; [5.21052632 3.78947368],0
s8,1,0.109984,2.554444,[3 7] ; [6 3],[4.73684211 5.26315789] ; [4.26315789 4.73684211],0
a5,1,0.153338,2.03873,[6 4] ; [8 1],[7.36842105 2.63157895] ; [6.63157895 2.36842105],0
a3,1,0.153338,2.03873,[6 4] ; [8 1],[7.36842105 2.63157895] ; [6.63157895 2.36842105],0
a4,1,0.210096,1.570767,[5 5] ; [2 7],[3.68421053 6.31578947] ; [3.31578947 5.68421053],0
d4,1,0.210096,1.570767,[5 5] ; [7 2],[6.31578947 3.68421053] ; [5.68421053 3.31578947],0
p1,1,0.21289,1.551667,[1 9] ; [3 6],[2.10526316 7.89473684] ; [1.89473684 7.10526316],0
d5,1,0.245084,1.351111,[4 6] ; [6 3],[5.26315789 4.73684211] ; [4.73684211 4.26315789],0
v1,1,0.245084,1.351111,[4 6] ; [6 3],[5.26315789 4.73684211] ; [4.73684211 4.26315789],0
d1,1,0.259942,1.269066,[3 7] ; [5 4],[4.21052632 5.78947368] ; [3.78947368 5.21052632],0
n1,1,0.293718,1.1025,[2 3] ; [3 1],[2.77777778 2.22222222] ; [2.22222222 1.77777778],0
b5,1,0.313267,1.016852,[7 3] ; [8 1],[7.89473684 2.10526316] ; [7.10526316 1.89473684],0
p4,1,0.462527,0.539773,[5 5] ; [6 3],[5.78947368 4.21052632] ; [5.21052632 3.78947368],0
p3,1,0.497739,0.459753,[4 6] ; [5 4],[4.73684211 5.26315789] ; [4.26315789 4.73684211],0
p6,1,0.497739,0.459753,[4 6] ; [5 4],[4.73684211 5.26315789] ; [4.26315789 4.73684211],0
b1,1,0.497739,0.459753,[4 6] ; [5 4],[4.73684211 5.26315789] ; [4.26315789 4.73684211],0
s7,1,0.628745,0.233766,[5 4] ; [6 3],[5.5 3.5] ; [5.5 3.5],0
n3,1,0.635256,0.225,[3 2] ; [3 1],[3.33333333 1.66666667] ; [2.66666667 1.33333333],0
s3,1,0.671373,0.18,[8 2] ; [7 1],[8.33333333 1.66666667] ; [6.66666667 1.33333333],0
p2,1,0.700668,0.147778,[7 3] ; [7 2],[7.36842105 2.63157895] ; [6.63157895 2.36842105],0
d2,1,0.844674,0.038384,[4 6] ; [4 5],[4.21052632 5.78947368] ; [3.78947368 5.21052632],0
d3,1,0.844674,0.038384,[6 4] ; [5 4],[5.78947368 4.21052632] ; [5.21052632 3.78947368],0
b2,1,0.872081,0.025926,[2 4] ; [3 5],[2.14285714 3.85714286] ; [2.85714286 5.14285714],0
b3,1,0.872081,0.025926,[2 4] ; [3 5],[2.14285714 3.85714286] ; [2.85714286 5.14285714],0
v3,1,0.875975,0.024359,[3 7] ; [3 6],[3.15789474 6.84210526] ; [2.84210526 6.15789474],0
s1,1,0.905565,0.014074,[2 8] ; [2 7],[2.10526316 7.89473684] ; [1.89473684 7.10526316],0
u1,1,0.937193,0.006209,[1 9] ; [1 8],[1.05263158 8.94736842] ; [0.94736842 8.05263158],0
a2,1,0.937193,0.006209,[1 9] ; [1 8],[1.05263158 8.94736842] ; [0.94736842 8.05263158],0
p7,1,1.0,0.0,[4 5] ; [4 5],[4. 5.] ; [4. 5.],0
