Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.013711,6.075,[13  5] ; [2 7],[10.  8.] ; [5. 4.],0
d5,1,0.029345,4.747253,[12  6] ; [2 7],[9.33333333 8.66666667] ; [4.66666667 4.33333333],0
a4,1,0.120507,2.410714,[ 3 15] ; [4 5],[ 4.66666667 13.33333333] ; [2.33333333 6.66666667],0
v1,1,0.158834,1.985294,[ 5 13] ; [5 4],[ 6.66666667 11.33333333] ; [3.33333333 5.66666667],0
r1,1,0.16612,1.917614,[9 9] ; [2 7],[ 7.33333333 10.66666667] ; [3.66666667 5.33333333],0
p10,1,0.173273,1.854396,[11  7] ; [3 6],[9.33333333 8.66666667] ; [4.66666667 4.33333333],0
s1,1,0.193931,1.6875,[ 1 17] ; [2 7],[ 2. 16.] ; [1. 8.],0
p9,1,0.216201,1.529412,[10  7] ; [3 6],[8.5 8.5] ; [4.5 4.5],0
a3,1,0.259656,1.270588,[10  8] ; [7 2],[11.33333333  6.66666667] ; [5.66666667 3.33333333],0
a5,1,0.267938,1.227273,[ 6 12] ; [5 4],[ 7.33333333 10.66666667] ; [3.66666667 5.33333333],0
a7,1,0.275973,1.186813,[10  8] ; [3 6],[8.66666667 9.33333333] ; [4.33333333 4.66666667],0
p7,1,0.319806,0.989741,[ 6 11] ; [5 4],[7.19230769 9.80769231] ; [3.80769231 5.19230769],0
d1,1,0.326109,0.964286,[ 5 13] ; [1 8],[ 4. 14.] ; [2. 7.],0
d2,1,0.326109,0.964286,[ 3 15] ; [3 6],[ 4. 14.] ; [2. 7.],0
v3,1,0.326109,0.964286,[ 3 15] ; [3 6],[ 4. 14.] ; [2. 7.],0
p8,1,0.346912,0.884722,[ 8 10] ; [2 6],[ 6.92307692 11.07692308] ; [3.07692308 4.92307692],0
b1,1,0.386476,0.75,[13  5] ; [5 4],[12.  6.] ; [6. 3.],0
b3,1,0.393153,0.729167,[3 5] ; [1 5],[2.28571429 5.71428571] ; [1.71428571 4.28571429],0
b2,1,0.393153,0.729167,[3 5] ; [1 5],[2.28571429 5.71428571] ; [1.71428571 4.28571429],0
p2,1,0.411314,0.675,[11  7] ; [4 5],[10.  8.] ; [5. 4.],0
n2,1,0.437558,0.602679,[7 5] ; [1 2],[6.4 5.6] ; [1.6 1.4],0
n3,1,0.437558,0.602679,[5 7] ; [2 1],[5.6 6.4] ; [1.4 1.6],0
v2,1,0.483522,0.490909,[ 4 14] ; [1 8],[ 3.33333333 14.66666667] ; [1.66666667 7.33333333],0
a6,1,0.573025,0.317647,[ 6 12] ; [4 5],[ 6.66666667 11.33333333] ; [3.33333333 5.66666667],0
p4,1,0.573025,0.317647,[ 6 12] ; [4 5],[ 6.66666667 11.33333333] ; [3.33333333 5.66666667],0
p11,1,0.573025,0.317647,[ 6 12] ; [4 5],[ 6.66666667 11.33333333] ; [3.33333333 5.66666667],0
n6,1,0.579639,0.306818,[ 8 10] ; [3 6],[ 7.33333333 10.66666667] ; [3.66666667 5.33333333],0
s5,1,0.603332,0.27,[ 1 17] ; [1 8],[ 1.33333333 16.66666667] ; [0.66666667 8.33333333],0
s3,1,0.726095,0.122727,[ 3 15] ; [2 7],[ 3.33333333 14.66666667] ; [1.66666667 7.33333333],0
s6,1,0.726095,0.122727,[ 3 15] ; [2 7],[ 3.33333333 14.66666667] ; [1.66666667 7.33333333],0
s4,1,0.726095,0.122727,[ 3 15] ; [2 7],[ 3.33333333 14.66666667] ; [1.66666667 7.33333333],0
s7,1,0.750824,0.10084,[ 5 11] ; [2 6],[ 4.66666667 11.33333333] ; [2.33333333 5.66666667],0
d4,1,0.765688,0.088816,[13  5] ; [6 3],[12.66666667  5.33333333] ; [6.33333333 2.66666667],0
b5,1,0.785351,0.074176,[9 9] ; [5 4],[9.33333333 8.66666667] ; [4.66666667 4.33333333],0
b4,1,0.785351,0.074176,[9 9] ; [5 4],[9.33333333 8.66666667] ; [4.66666667 4.33333333],0
s2,1,1.0,0.0,[ 2 16] ; [1 8],[ 2. 16.] ; [1. 8.],0
n5,1,1.0,0.0,[ 8 10] ; [4 5],[ 8. 10.] ; [4. 5.],0
p3,1,1.0,0.0,[ 4 14] ; [2 7],[ 4. 14.] ; [2. 7.],0
n1,1,1.0,0.0,[4 8] ; [1 2],[4. 8.] ; [1. 2.],0
a2,1,1.0,0.0,[ 2 16] ; [1 8],[ 2. 16.] ; [1. 8.],0
d3,1,1.0,0.0,[10  8] ; [5 4],[10.  8.] ; [5. 4.],0
