Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,2.8e-05,17.549063,[22 33] ; [ 7 69],[12.17557252 42.82442748] ; [16.82442748 59.17557252],1
s6,1,0.004718,7.984638,[34 21] ; [28 48],[26.03053435 28.96946565] ; [35.96946565 40.03053435],0
v1,1,0.01238,6.255614,[29 27] ; [23 53],[22.06060606 33.93939394] ; [29.93939394 46.06060606],0
r1,1,0.012883,6.185143,[41 14] ; [41 36],[34.16666667 20.83333333] ; [47.83333333 29.16666667],0
d5,1,0.014957,5.921503,[45 11] ; [46 30],[38.60606061 17.39393939] ; [52.39393939 23.60606061],0
a5,1,0.033379,4.526219,[33 23] ; [31 46],[26.94736842 29.05263158] ; [37.05263158 39.94736842],0
r3,1,0.043655,4.069863,[53  3] ; [64 13],[49.26315789  6.73684211] ; [67.73684211  9.26315789],0
d3,1,0.048582,3.889736,[38 18] ; [38 37],[32.48854962 23.51145038] ; [43.51145038 31.48854962],0
r2,1,0.048855,3.880338,[51  4] ; [62 15],[47.08333333  7.91666667] ; [65.91666667 11.08333333],0
b1,1,0.054871,3.68599,[19 37] ; [39 38],[24.42105263 31.57894737] ; [33.57894737 43.42105263],0
p10,1,0.058184,3.588405,[38 17] ; [40 36],[32.7480916 22.2519084] ; [45.2519084 30.7480916],0
u1,1,0.070807,3.264212,[ 8 48] ; [ 4 73],[ 5.05263158 50.94736842] ; [ 6.94736842 70.05263158],0
d1,1,0.084202,2.981861,[28 28] ; [27 50],[23.15789474 32.84210526] ; [31.84210526 45.15789474],0
a3,1,0.126211,2.338504,[39 17] ; [43 33],[34.78787879 21.21212121] ; [47.21212121 28.78787879],0
p11,1,0.132417,2.26394,[35 21] ; [38 39],[30.73684211 25.26315789] ; [42.26315789 34.73684211],0
u2,1,0.135515,2.228164,[ 6 11] ; [19 14],[8.5 8.5] ; [16.5 16.5],0
p9,1,0.183257,1.771012,[41 14] ; [47 27],[37.51937984 17.48062016] ; [50.48062016 23.51937984],0
n5,1,0.192955,1.694907,[15 40] ; [29 47],[18.47328244 36.52671756] ; [25.52671756 50.47328244],0
s5,1,0.201373,1.63239,[18 37] ; [17 58],[14.80769231 40.19230769] ; [20.19230769 54.80769231],0
a7,1,0.218163,1.516414,[39 17] ; [45 31],[35.63636364 20.36363636] ; [48.36363636 27.63636364],0
v4,1,0.293183,1.104946,[51  4] ; [67 10],[49.16666667  5.83333333] ; [68.83333333  8.16666667],0
s7,1,0.303282,1.059705,[16 39] ; [15 56],[13.53174603 41.46825397] ; [17.46825397 53.53174603],0
p2,1,0.338006,0.917981,[38 18] ; [46 31],[35.36842105 20.63157895] ; [48.63157895 28.36842105],0
s8,1,0.360825,0.83502,[14 42] ; [14 62],[11.87878788 44.12121212] ; [16.12121212 59.87878788],0
p5,1,0.383467,0.759557,[ 2 54] ; [ 1 76],[ 1.26315789 54.73684211] ; [ 1.73684211 75.26315789],0
r4,1,0.393679,0.727549,[43 13] ; [54 23],[40.84210526 15.15789474] ; [56.15789474 20.84210526],0
p4,1,0.409394,0.680559,[20 36] ; [22 54],[17.81818182 38.18181818] ; [24.18181818 51.81818182],0
d2,1,0.456719,0.553924,[19 37] ; [31 46],[21.05263158 34.94736842] ; [28.94736842 48.05263158],0
a8,1,0.474159,0.512268,[ 2 52] ; [ 5 71],[ 2.90769231 51.09230769] ; [ 4.09230769 71.90769231],0
d4,1,0.596288,0.280631,[43 13] ; [56 21],[41.68421053 14.31578947] ; [57.31578947 19.68421053],0
a2,1,0.615745,0.251894,[ 9 47] ; [10 67],[ 8. 48.] ; [11. 66.],0
a6,1,0.636927,0.222784,[35 21] ; [45 32],[33.68421053 22.31578947] ; [46.31578947 30.68421053],0
s4,1,0.653133,0.201973,[15 41] ; [18 59],[13.89473684 42.10526316] ; [19.10526316 57.89473684],0
s1,1,0.656063,0.198342,[ 2 54] ; [ 4 73],[ 2.52631579 53.47368421] ; [ 3.47368421 73.52631579],0
a1,1,0.656063,0.198342,[ 2 54] ; [ 4 73],[ 2.52631579 53.47368421] ; [ 3.47368421 73.52631579],0
p3,1,0.695896,0.152776,[13 42] ; [16 61],[12.08333333 42.91666667] ; [16.91666667 60.08333333],0
a4,1,0.725102,0.123657,[18 38] ; [27 50],[18.94736842 37.05263158] ; [26.05263158 50.94736842],0
n2,1,0.736197,0.113498,[15  9] ; [26 13],[15.61904762  8.38095238] ; [25.38095238 13.61904762],0
u3,1,0.73979,0.110311,[10  7] ; [21 12],[10.54  6.46] ; [20.46 12.54],0
p7,1,0.744333,0.106355,[22 34] ; [27 47],[21.10769231 34.89230769] ; [27.89230769 46.10769231],0
