Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.000658,11.60317,[  9 108] ; [3 3],[ 11.41463415 105.58536585] ; [0.58536585 5.41463415],1
a4,1,0.018149,5.581676,[27 88] ; [4 2],[29.46280992 85.53719008] ; [1.53719008 4.46280992],0
a1,1,0.020534,5.365919,[  2 115] ; [1 5],[  2.85365854 114.14634146] ; [0.14634146 5.85365854],0
p8,1,0.078001,3.106071,[52 60] ; [5 1],[54.10169492 57.89830508] ; [2.89830508 3.10169492],0
s7,1,0.087276,2.923909,[45 64] ; [4 1],[46.85087719 62.14912281] ; [2.14912281 2.85087719],0
u1,1,0.10901,2.568514,[  4 113] ; [1 5],[  4.75609756 112.24390244] ; [0.24390244 5.75609756],0
s2,1,0.148196,2.090723,[42 71] ; [4 2],[43.68067227 69.31932773] ; [2.31932773 3.68067227],0
b5,1,0.156532,2.007415,[63 54] ; [5 1],[64.68292683 52.31707317] ; [3.31707317 2.68292683],0
p1,1,0.218572,1.513723,[17 99] ; [2 4],[18.06557377 97.93442623] ; [0.93442623 5.06557377],0
v3,1,0.2252,1.470927,[47 66] ; [1 5],[45.57983193 67.42016807] ; [2.42016807 3.57983193],0
a6,1,0.265455,1.240083,[71 46] ; [5 1],[72.29268293 44.70731707] ; [3.70731707 2.29268293],0
p6,1,0.321948,0.981015,[35 79] ; [3 3],[36.1 77.9] ; [1.9 4.1],0
b4,1,0.347196,0.883678,[62 55] ; [2 4],[60.87804878 56.12195122] ; [3.12195122 2.87804878],0
a7,1,0.354562,0.857064,[76 41] ; [5 1],[77.04878049 39.95121951] ; [3.95121951 2.04878049],0
v1,1,0.379014,0.773899,[59 55] ; [2 4],[57.95 56.05] ; [3.05 2.95],0
s6,1,0.410893,0.676215,[75 38] ; [3 3],[74.06722689 38.93277311] ; [3.93277311 2.06722689],0
b2,1,0.411095,0.675633,[17 55] ; [2 3],[17.76623377 54.23376623] ; [1.23376623 3.76623377],0
b3,1,0.411095,0.675633,[17 55] ; [2 3],[17.76623377 54.23376623] ; [1.23376623 3.76623377],0
v2,1,0.414031,0.667196,[55 54] ; [2 4],[54.02608696 54.97391304] ; [2.97391304 3.02608696],0
p4,1,0.500265,0.454375,[61 55] ; [4 2],[61.80327869 54.19672131] ; [3.19672131 2.80327869],0
p3,1,0.504691,0.445057,[52 64] ; [3 2],[52.72727273 63.27272727] ; [2.27272727 2.72727273],0
s8,1,0.505447,0.443482,[42 73] ; [3 3],[42.76859504 72.23140496] ; [2.23140496 3.76859504],0
a8,1,0.548884,0.35932,[12 95] ; [1 4],[12.41964286 94.58035714] ; [0.58035714 4.41964286],0
p9,1,0.56983,0.322967,[83 31] ; [5 1],[83.6 30.4] ; [4.4 1.6],0
p10,1,0.56983,0.322967,[83 31] ; [5 1],[83.6 30.4] ; [4.4 1.6],0
n5,1,0.643924,0.213647,[87 29] ; [5 1],[87.47540984 28.52459016] ; [4.52459016 1.47540984],0
p7,1,0.658328,0.195561,[65 48] ; [4 2],[65.5210084 47.4789916] ; [3.4789916 2.5210084],0
s5,1,0.6968,0.151822,[29 82] ; [2 4],[29.41025641 81.58974359] ; [1.58974359 4.41025641],0
b1,1,0.738632,0.111333,[47 70] ; [2 4],[46.6097561 70.3902439] ; [2.3902439 3.6097561],0
p5,1,0.744757,0.105989,[ 14 101] ; [1 5],[ 14.25619835 100.74380165] ; [0.74380165 5.25619835],0
s4,1,0.880806,0.022484,[22 93] ; [1 5],[21.85950413 93.14049587] ; [1.14049587 4.85950413],0
n1,1,0.905841,0.013992,[16 19] ; [1 1],[16.08108108 18.91891892] ; [0.91891892 1.08108108],0
s3,1,1.0,0.0,[56 56] ; [3 3],[56. 56.] ; [3. 3.],0
