Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,30.336711,[ 29 102] ; [98 87],[52.64873418 78.35126582] ; [ 74.35126582 110.64873418],1
d2,1,0.000227,13.593283,[ 30 101] ; [ 15 169],[ 18.71428571 112.28571429] ; [ 26.28571429 157.71428571],1
d5,1,0.000355,12.754999,[57 74] ; [118  67],[72.54746835 58.45253165] ; [102.45253165  82.54746835],1
a3,1,0.002109,9.45199,[63 68] ; [121  64],[76.27848101 54.72151899] ; [107.72151899  77.27848101],0
a1,1,0.01757,5.638564,[  1 130] ; [ 11 174],[  4.97468354 126.02531646] ; [  7.02531646 177.97468354],0
b2,1,0.023311,5.145193,[20 60] ; [43 62],[27.24324324 52.75675676] ; [35.75675676 69.24324324],0
b3,1,0.023311,5.145193,[20 60] ; [43 62],[27.24324324 52.75675676] ; [35.75675676 69.24324324],0
s2,1,0.033314,4.529553,[42 85] ; [ 83 101],[51.04501608 75.95498392] ; [ 73.95498392 110.04501608],0
r3,1,0.046987,3.945865,[118  12] ; [177   7],[122.13375796   7.86624204] ; [172.86624204  11.13375796],0
a7,1,0.048401,3.896019,[74 57] ; [124  60],[82.34285714 48.65714286] ; [115.65714286  68.34285714],0
p1,1,0.049726,3.850674,[ 16 113] ; [ 11 171],[ 11.19935691 117.80064309] ; [ 15.80064309 166.19935691],0
a8,1,0.050858,3.812953,[ 11 110] ; [ 30 146],[ 16.7037037 104.2962963] ; [ 24.2962963 151.7037037],0
n3,1,0.057243,3.615517,[31  4] ; [29 12],[27.63157895  7.36842105] ; [32.36842105  8.63157895],0
p2,1,0.058962,3.566338,[100  29] ; [157  26],[106.25961538  22.74038462] ; [150.74038462  32.25961538],0
u3,1,0.061405,3.499035,[31 37] ; [39 24],[36.33587786 31.66412214] ; [33.66412214 29.33587786],0
u2,1,0.084954,2.967475,[33 35] ; [40 23],[37.89312977 30.10687023] ; [35.10687023 27.89312977],0
s7,1,0.094485,2.796252,[44 79] ; [80 96],[51.01003344 71.98996656] ; [ 72.98996656 103.01003344],0
s5,1,0.106055,2.612041,[29 97] ; [ 56 122],[35.23026316 90.76973684] ; [ 49.76973684 128.23026316],0
a5,1,0.117931,2.444581,[67 64] ; [111  74],[73.79113924 57.20886076] ; [104.20886076  80.79113924],0
s1,1,0.122957,2.379239,[  7 121] ; [  4 179],[  4.52733119 123.47266881] ; [  6.47266881 176.52733119],0
p9,1,0.139689,2.181377,[104  25] ; [158  24],[108.67524116  20.32475884] ; [153.32475884  28.67524116],0
n5,1,0.163116,1.945094,[99 32] ; [123  57],[93.51125402 37.48874598] ; [128.48874598  51.51125402],0
s3,1,0.176531,1.826585,[59 67] ; [100  83],[64.83495146 61.16504854] ; [94.16504854 88.83495146],0
r4,1,0.203169,1.619443,[108  23] ; [162  23],[111.93037975  19.06962025] ; [158.06962025  26.93037975],0
r1,1,0.232337,1.426497,[89 41] ; [138  47],[93.68253968 36.31746032] ; [133.31746032  51.68253968],0
p6,1,0.305686,1.049225,[38 91] ; [ 63 117],[42.16504854 86.83495146] ; [ 58.83495146 121.16504854],0
s6,1,0.33722,0.920972,[74 53] ; [114  65],[78.02614379 48.97385621] ; [109.97385621  69.02614379],0
v2,1,0.349156,0.876522,[56 66] ; [92 87],[59.98671096 62.01328904] ; [88.01328904 90.98671096],0
u1,1,0.424454,0.637951,[  4 127] ; [  9 176],[  5.38924051 125.61075949] ; [  7.61075949 177.38924051],0
p8,1,0.436161,0.606361,[63 64] ; [99 84],[66.36774194 60.63225806] ; [95.63225806 87.36774194],0
s4,1,0.440592,0.594739,[ 24 105] ; [ 28 155],[ 21.5 107.5] ; [ 30.5 152.5],0
p10,1,0.476999,0.505717,[102  26] ; [150  31],[104.38834951  23.61165049] ; [147.61165049  33.38834951],0
p7,1,0.478241,0.502871,[76 51] ; [113  64],[78.95723684 48.04276316] ; [110.04276316  66.95723684],0
n6,1,0.524482,0.405072,[105  26] ; [151  31],[107.14376997  23.85623003] ; [148.85623003  33.14376997],0
a4,1,0.524823,0.404406,[31 99] ; [ 50 135],[33.42857143 96.57142857] ; [ 47.57142857 137.42857143],0
v1,1,0.540684,0.374273,[59 68] ; [90 90],[61.63843648 65.36156352] ; [87.36156352 92.63843648],0
a6,1,0.543957,0.368255,[77 54] ; [115  70],[79.59493671 51.40506329] ; [112.40506329  72.59493671],0
s8,1,0.59832,0.277538,[43 86] ; [ 67 118],[45.1910828 83.8089172] ; [ 64.8089172 120.1910828],0
n2,1,0.599617,0.275574,[29  6] ; [32  9],[28.09210526  6.90789474] ; [32.90789474  8.09210526],0
p4,1,0.645993,0.210989,[63 67] ; [93 89],[65. 65.] ; [91. 91.],0
r2,1,0.652629,0.202601,[115  15] ; [163  18],[116.20578778  13.79421222] ; [161.79421222  19.20578778],0
p12,1,0.728563,0.120435,[ 10 120] ; [ 12 168],[  9.22580645 120.77419355] ; [ 12.77419355 167.22580645],0
p3,1,0.780562,0.07761,[60 70] ; [ 82 102],[58.78980892 71.21019108] ; [ 83.21019108 100.78980892],0
v3,1,0.788763,0.07178,[41 87] ; [ 56 127],[39.92282958 88.07717042] ; [ 57.07717042 125.92282958],0
b4,1,0.811206,0.057059,[74 57] ; [107  78],[75.03481013 55.96518987] ; [105.96518987  79.03481013],0
n1,1,0.817034,0.053528,[15 19] ; [17 24],[14.50666667 19.49333333] ; [17.49333333 23.50666667],0
v4,1,0.840305,0.040604,[121   7] ; [172  11],[120.59163987   7.40836013] ; [172.40836013  10.59163987],0
n4,1,0.885026,0.020909,[93 38] ; [132  52],[93.57142857 37.42857143] ; [131.42857143  52.57142857],0
a2,1,0.952727,0.003514,[  8 123] ; [ 11 174],[  7.87658228 123.12341772] ; [ 11.12341772 173.87658228],0
b5,1,0.962197,0.002246,[74 57] ; [105  80],[74.2056962 56.7943038] ; [104.7943038  80.2056962],0
b1,1,0.970531,0.001365,[47 84] ; [ 66 119],[46.84493671 84.15506329] ; [ 66.15506329 118.84493671],0
p5,1,0.983019,0.000453,[ 14 115] ; [ 20 163],[ 14.05769231 114.94230769] ; [ 19.94230769 163.05769231],0
