Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2.5e-05,17.740463,[22 24] ; [50  8],[31.84615385 14.15384615] ; [40.15384615 17.84615385],1
n6,1,0.000162,14.226641,[22 24] ; [48 10],[30.96153846 15.03846154] ; [39.03846154 18.96153846],1
s6,1,0.003129,8.730883,[14 32] ; [34 23],[21.4368932 24.5631068] ; [26.5631068 30.4368932],0
r2,1,0.011175,6.437353,[36 10] ; [55  3],[40.25  5.75] ; [50.75  7.25],0
s8,1,0.014194,6.013833,[ 7 39] ; [21 36],[12.50485437 33.49514563] ; [15.49514563 41.50485437],0
s2,1,0.050652,3.819748,[13 33] ; [26 29],[17.76237624 28.23762376] ; [21.23762376 33.76237624],0
b3,1,0.084316,2.979683,[ 4 26] ; [11 24],[ 6.92307692 23.07692308] ; [ 8.07692308 26.92307692],0
b2,1,0.084316,2.979683,[ 4 26] ; [11 24],[ 6.92307692 23.07692308] ; [ 8.07692308 26.92307692],0
d1,1,0.146278,2.110646,[18 28] ; [31 27],[21.67307692 24.32692308] ; [27.32692308 30.67307692],0
p3,1,0.151042,2.061697,[20 26] ; [17 40],[16.52427184 29.47572816] ; [20.47572816 36.52427184],0
s7,1,0.154908,2.023239,[11 31] ; [22 33],[14.28865979 27.71134021] ; [18.71134021 36.28865979],0
d2,1,0.172084,1.864692,[18 28] ; [30 27],[21.4368932 24.5631068] ; [26.5631068 30.4368932],0
a8,1,0.186812,1.742584,[ 2 41] ; [ 6 42],[ 3.78021978 39.21978022] ; [ 4.21978022 43.78021978],0
v3,1,0.196881,1.665361,[10 34] ; [20 38],[12.94117647 31.05882353] ; [17.05882353 40.94117647],0
s3,1,0.20133,1.632703,[20 26] ; [32 25],[23.22330097 22.77669903] ; [28.77669903 28.22330097],0
a5,1,0.217275,1.522281,[23 23] ; [36 22],[26.09615385 19.90384615] ; [32.90384615 25.09615385],0
p10,1,0.218997,1.510934,[11 35] ; [20 37],[13.84466019 32.15533981] ; [17.15533981 39.84466019],0
u3,1,0.225932,1.466291,[13  8] ; [11 14],[10.95652174 10.04347826] ; [13.04347826 11.95652174],0
n3,1,0.235461,1.407568,[15  4] ; [11  7],[13.35135135  5.64864865] ; [12.64864865  5.35135135],0
d5,1,0.254332,1.29935,[32 14] ; [46 12],[34.5 11.5] ; [43.5 14.5],0
r1,1,0.263806,1.248676,[33 13] ; [47 11],[35.38461538 10.61538462] ; [44.61538462 13.38461538],0
r4,1,0.272629,1.203469,[34 12] ; [48 10],[36.26923077  9.73076923] ; [45.73076923 12.26923077],0
s5,1,0.290348,1.118008,[ 7 39] ; [13 42],[ 9.10891089 36.89108911] ; [10.89108911 44.10891089],0
d3,1,0.292521,1.107983,[28 18] ; [41 17],[30.51923077 15.48076923] ; [38.48076923 19.51923077],0
v1,1,0.299781,1.075167,[16 30] ; [26 32],[18.57692308 27.42307692] ; [23.42307692 34.57692308],0
s1,1,0.44602,0.580745,[ 2 44] ; [ 1 55],[ 1.35294118 44.64705882] ; [ 1.64705882 54.35294118],0
v4,1,0.472039,0.517198,[41  4] ; [54  3],[41.91176471  3.08823529] ; [53.08823529  3.91176471],0
r3,1,0.474303,0.511933,[43  3] ; [51  6],[41.98058252  4.01941748] ; [52.01941748  4.98058252],0
p11,1,0.566903,0.327891,[26 20] ; [36 22],[27.42307692 18.57692308] ; [34.57692308 23.42307692],0
a7,1,0.591895,0.287395,[30 16] ; [40 17],[31.26213592 14.73786408] ; [38.73786408 18.26213592],0
b1,1,0.625948,0.237595,[26 20] ; [30 28],[24.76923077 21.23076923] ; [31.23076923 26.76923077],0
n2,1,0.626688,0.236579,[14  4] ; [12  5],[13.37142857  4.62857143] ; [12.62857143  4.37142857],0
d4,1,0.659131,0.194581,[31 15] ; [40 16],[32.01960784 13.98039216] ; [38.98039216 17.01960784],0
u2,1,0.661126,0.192158,[10 11] ; [13 11],[10.73333333 10.26666667] ; [12.26666667 11.73333333],0
a1,1,0.699764,0.148718,[ 1 45] ; [ 2 56],[ 1.32692308 44.67307692] ; [ 1.67307692 56.32692308],0
n1,1,0.713146,0.135154,[ 6 13] ; [ 6 10],[ 6.51428571 12.48571429] ; [ 5.48571429 10.51428571],0
p1,1,0.713243,0.135059,[ 3 42] ; [ 5 53],[ 3.49514563 41.50485437] ; [ 4.50485437 53.49514563],0
u1,1,0.721363,0.12719,[ 6 40] ; [ 9 49],[ 6.63461538 39.36538462] ; [ 8.36538462 49.63461538],0
b5,1,0.726619,0.122239,[27 19] ; [36 22],[27.86538462 18.13461538] ; [35.13461538 22.86538462],0
a6,1,0.793541,0.068495,[29 17] ; [38 20],[29.63461538 16.36538462] ; [37.36538462 20.63461538],0
a3,1,0.794925,0.067558,[25 21] ; [33 25],[25.65384615 20.34615385] ; [32.34615385 25.65384615],0
p6,1,0.814449,0.05508,[13 32] ; [15 41],[12.47524752 32.52475248] ; [15.52475248 40.47524752],0
p8,1,0.853666,0.034019,[19 27] ; [25 33],[19.46153846 26.53846154] ; [24.53846154 33.46153846],0
p7,1,0.922017,0.009583,[27 19] ; [34 23],[27.24271845 18.75728155] ; [33.75728155 23.24271845],0
b4,1,0.937154,0.006217,[29 17] ; [37 21],[29.19230769 16.80769231] ; [36.80769231 21.19230769],0
a4,1,0.938028,0.006045,[15 31] ; [19 38],[15.18446602 30.81553398] ; [18.81553398 38.18446602],0
s4,1,0.956453,0.002982,[ 9 37] ; [11 44],[ 9.10891089 36.89108911] ; [10.89108911 44.10891089],0
p4,1,0.963633,0.002079,[24 22] ; [30 28],[23.88461538 22.11538462] ; [30.11538462 27.88461538],0
a2,1,0.983986,0.000403,[ 8 38] ; [10 48],[ 7.96153846 38.03846154] ; [10.03846154 47.96153846],0
v2,1,0.987267,0.000255,[20 26] ; [24 31],[20.03960396 25.96039604] ; [23.96039604 31.03960396],0
