Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,3e-06,22.009456,[ 8 30] ; [40 17],[19.2 18.8] ; [28.8 28.2],1
n6,1,0.001181,10.519559,[13 25] ; [40 19],[20.7628866 17.2371134] ; [32.2371134 26.7628866],0
u2,1,0.006502,7.405654,[ 3 15] ; [15 11],[ 7.36363636 10.63636364] ; [10.63636364 15.36363636],0
p8,1,0.008028,7.027223,[ 4 34] ; [20 38],[ 9.5 28.5] ; [14.5 43.5],0
p9,1,0.025451,4.99293,[14 23] ; [35 22],[19.28723404 17.71276596] ; [29.71276596 27.28723404],0
v2,1,0.036447,4.376088,[ 7 31] ; [22 35],[11.6 26.4] ; [17.4 39.6],0
p1,1,0.039472,4.240433,[ 7 32] ; [ 3 56],[ 3.97959184 35.02040816] ; [ 6.02040816 52.97959184],0
p10,1,0.043757,4.065918,[13 25] ; [31 25],[17.78723404 20.21276596] ; [26.21276596 29.78723404],0
r2,1,0.045446,4.002017,[16 21] ; [36 20],[20.68817204 16.31182796] ; [31.31182796 24.68817204],0
d5,1,0.058933,3.567154,[19 20] ; [40 19],[23.47959184 15.52040816] ; [35.52040816 23.47959184],0
s6,1,0.063267,3.449601,[ 5 34] ; [17 42],[ 8.75510204 30.24489796] ; [13.24489796 45.75510204],0
r3,1,0.064316,3.422436,[13 25] ; [31 27],[17.41666667 20.58333333] ; [26.58333333 31.41666667],0
a8,1,0.074483,3.181354,[ 4 34] ; [ 1 52],[ 2.08791209 35.91208791] ; [ 2.91208791 50.08791209],0
u3,1,0.07668,3.133903,[ 2 16] ; [ 9 17],[ 4.5 13.5] ; [ 6.5 19.5],0
p6,1,0.079566,3.073734,[ 2 35] ; [10 46],[ 4.77419355 32.22580645] ; [ 7.22580645 48.77419355],0
d3,1,0.089224,2.888313,[14 25] ; [31 27],[18.09278351 20.90721649] ; [26.90721649 31.09278351],0
