Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.818727,[ 5 29] ; [61 37],[17. 17.] ; [49. 49.],1
v4,1,2.2e-05,18.02509,[18 16] ; [85 12],[26.73282443  7.26717557] ; [76.26717557 20.73282443],1
u3,1,0.003803,8.375368,[ 2 18] ; [20 22],[ 7.09677419 12.90322581] ; [14.90322581 27.09677419],0
b1,1,0.005802,7.61077,[21 13] ; [34 64],[14.16666667 19.83333333] ; [40.83333333 57.16666667],0
p10,1,0.007189,7.225212,[14 19] ; [66 30],[20.46511628 12.53488372] ; [59.53488372 36.46511628],0
d5,1,0.024963,5.026443,[15 19] ; [64 33],[20.50381679 13.49618321] ; [58.49618321 38.50381679],0
s2,1,0.03111,4.646865,[ 6 28] ; [37 61],[11.07575758 22.92424242] ; [31.92424242 66.07575758],0
p6,1,0.039202,4.252085,[ 3 30] ; [25 70],[ 7.21875 25.78125] ; [20.78125 74.21875],0
s7,1,0.042167,4.128487,[ 3 28] ; [26 69],[ 7.13492063 23.86507937] ; [21.86507937 73.13492063],0
s3,1,0.04871,3.885328,[ 7 26] ; [39 58],[11.67692308 21.32307692] ; [34.32307692 62.67692308],0
n6,1,0.056198,3.646187,[19 15] ; [72 26],[23.43939394 10.56060606] ; [67.56060606 30.43939394],0
a6,1,0.057189,3.617099,[13 21] ; [56 42],[17.77272727 16.22727273] ; [51.22727273 46.77272727],0
p9,1,0.064439,3.419279,[18 14] ; [70 25],[22.17322835  9.82677165] ; [65.82677165 29.17322835],0
n2,1,0.066,3.379792,[8 8] ; [28  9],[10.86792453  5.13207547] ; [25.13207547 11.86792453],0
a4,1,0.072382,3.228165,[ 6 28] ; [33 64],[10.1221374 23.8778626] ; [28.8778626 68.1221374],0
p12,1,0.076611,3.135377,[ 3 31] ; [ 2 95],[ 1.29770992 32.70229008] ; [ 3.70229008 93.29770992],0
r3,1,0.087378,2.922036,[21 12] ; [77 21],[24.6870229  8.3129771] ; [73.3129771 24.6870229],0
a3,1,0.095856,2.77318,[14 20] ; [56 41],[18.16793893 15.83206107] ; [51.83206107 45.16793893],0
p2,1,0.107551,2.589844,[17 17] ; [63 33],[20.92307692 13.07692308] ; [59.07692308 36.92307692],0
v3,1,0.11205,2.525067,[ 5 29] ; [27 68],[ 8.43410853 25.56589147] ; [23.56589147 71.43410853],0
p8,1,0.148726,2.085266,[ 7 26] ; [33 62],[10.3125 22.6875] ; [29.6875 65.3125],0
b2,1,0.180658,1.792199,[ 5 16] ; [21 31],[ 7.47945205 13.52054795] ; [18.52054795 33.47945205],0
b3,1,0.180658,1.792199,[ 5 16] ; [21 31],[ 7.47945205 13.52054795] ; [18.52054795 33.47945205],0
s5,1,0.19052,1.713589,[ 4 30] ; [21 74],[ 6.58914729 27.41085271] ; [18.41085271 76.58914729],0
p7,1,0.215793,1.532132,[ 9 25] ; [36 58],[11.953125 22.046875] ; [33.046875 60.953125],0
d1,1,0.228477,1.450317,[ 8 26] ; [34 64],[10.81818182 23.18181818] ; [31.18181818 66.81818182],0
a5,1,0.238482,1.389545,[12 22] ; [46 52],[14.93939394 19.06060606] ; [43.06060606 54.93939394],0
a7,1,0.245661,1.347814,[15 19] ; [54 43],[17.90839695 16.09160305] ; [51.09160305 45.90839695],0
s8,1,0.260197,1.267707,[ 4 30] ; [20 78],[ 6.18181818 27.81818182] ; [17.81818182 80.18181818],0
u2,1,0.282719,1.153972,[11  9] ; [17 25],[ 9.03225806 10.96774194] ; [18.96774194 23.03225806],0
n1,1,0.298291,1.081818,[ 4 12] ; [14 21],[ 5.64705882 10.35294118] ; [12.35294118 22.64705882],0
s4,1,0.395734,0.72125,[ 5 29] ; [21 77],[ 6.6969697 27.3030303] ; [19.3030303 78.6969697],0
a2,1,0.450073,0.570468,[ 2 32] ; [10 88],[ 3.09090909 30.90909091] ; [ 8.90909091 89.09090909],0
p11,1,0.498367,0.458412,[20 14] ; [64 34],[21.63636364 12.36363636] ; [62.36363636 35.63636364],0
n4,1,0.525692,0.402711,[18 16] ; [58 40],[19.57575758 14.42424242] ; [56.42424242 41.57575758],0
d3,1,0.555338,0.347841,[15 19] ; [48 48],[16.47692308 17.52307692] ; [46.52307692 49.47692308],0
b5,1,0.584019,0.299782,[19 15] ; [60 38],[20.34848485 13.65151515] ; [58.65151515 39.34848485],0
