Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,3.9e-05,16.916427,[53 23] ; [ 9 24],[43.2293578 32.7706422] ; [18.7706422 14.2293578],1
s8,1,6.3e-05,16.006063,[46 31] ; [ 6 27],[36.4 40.6] ; [15.6 17.4],1
r4,1,8.1e-05,15.530493,[73  4] ; [22 11],[66.5 10.5] ; [28.5  4.5],1
s3,1,0.00039,12.579055,[53 23] ; [11 22],[44.62385321 31.37614679] ; [19.37614679 13.62385321],1
s7,1,0.000797,11.248696,[39 30] ; [ 6 24],[31.36363636 37.63636364] ; [13.63636364 16.36363636],1
p4,1,0.00125,10.414566,[66 11] ; [19 14],[59.5 17.5] ; [25.5  7.5],0
r1,1,0.01212,6.293194,[63 13] ; [20 13],[57.87155963 18.12844037] ; [25.12844037  7.87155963],0
s5,1,0.028822,4.778217,[28 44] ; [ 5 25],[23.29411765 48.70588235] ; [ 9.70588235 20.29411765],0
p9,1,0.033607,4.514565,[66 10] ; [23 10],[62.05504587 13.94495413] ; [26.94495413  6.05504587],0
v2,1,0.059041,3.564134,[41 32] ; [12 21],[36.5 36.5] ; [16.5 16.5],0
p5,1,0.064759,3.411102,[12 64] ; [ 1 31],[ 9.14814815 66.85185185] ; [ 3.85185185 28.14814815],0
d2,1,0.068166,3.326638,[46 31] ; [13 19],[41.67889908 35.32110092] ; [17.32110092 14.67889908],0
b5,1,0.07646,3.138587,[49 28] ; [15 18],[44.8 32.2] ; [19.2 13.8],0
u1,1,0.105588,2.619048,[17 60] ; [ 3 30],[14. 63.] ; [ 6. 27.],0
p12,1,0.110679,2.544493,[10 67] ; [ 1 32],[ 7.7 69.3] ; [ 3.3 29.7],0
a3,1,0.119339,2.425977,[58 19] ; [20 13],[54.6 22.4] ; [23.4  9.6],0
u2,1,0.119437,2.424693,[12  6] ; [5 8],[9.87096774 8.12903226] ; [7.12903226 5.87096774],0
r2,1,0.134056,2.244898,[75  2] ; [30  3],[73.5  3.5] ; [31.5  1.5],0
v3,1,0.163313,1.943274,[26 45] ; [ 7 24],[22.97058824 48.02941176] ; [10.02941176 20.97058824],0
d1,1,0.186224,1.747244,[50 27] ; [17 16],[46.9 30.1] ; [20.1 12.9],0
n5,1,0.214287,1.542227,[60 17] ; [22 11],[57.4 19.6] ; [24.6  8.4],0
