Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,43.739329,[87 11] ; [11 24],[72.21052632 25.78947368] ; [25.78947368  9.21052632],1
r3,1,3.3e-05,17.244617,[91  6] ; [23 12],[83.77272727 13.22727273] ; [30.22727273  4.77272727],1
r2,1,0.000966,10.891664,[92  6] ; [24  9],[86.77862595 11.22137405] ; [29.22137405  3.77862595],1
v4,1,0.002669,9.021006,[89  8] ; [25 10],[83.77272727 13.22727273] ; [30.22727273  4.77272727],0
p2,1,0.002796,8.935836,[74 23] ; [16 17],[67.15384615 29.84615385] ; [22.84615385 10.15384615],0
a1,1,0.005356,7.755102,[ 2 96] ; [ 5 30],[ 5.15789474 92.84210526] ; [ 1.84210526 33.15789474],0
p1,1,0.012588,6.22614,[ 4 93] ; [ 6 29],[ 7.34848485 89.65151515] ; [ 2.65151515 32.34848485],0
d3,1,0.041927,4.138134,[73 25] ; [19 15],[68.3030303 29.6969697] ; [23.6969697 10.3030303],0
p8,1,0.042818,4.102575,[42 53] ; [ 8 25],[37.109375 57.890625] ; [12.890625 20.109375],0
b1,1,0.045856,3.986885,[48 50] ; [24 11],[53.05263158 44.94736842] ; [18.94736842 16.05263158],0
d4,1,0.060674,3.518878,[86 12] ; [26  9],[82.52631579 15.47368421] ; [29.47368421  5.52631579],0
a7,1,0.061016,3.509544,[75 23] ; [21 14],[70.73684211 27.26315789] ; [25.26315789  9.73684211],0
v2,1,0.10907,2.567642,[51 38] ; [14 20],[47.03252033 41.96747967] ; [17.96747967 16.03252033],0
s6,1,0.167502,1.905155,[52 45] ; [14 21],[48.5 48.5] ; [17.5 17.5],0
d2,1,0.177278,1.820295,[43 55] ; [20 15],[46.42105263 51.57894737] ; [16.57894737 18.42105263],0
v3,1,0.179404,1.802554,[27 62] ; [ 6 27],[24.07377049 64.92622951] ; [ 8.92622951 24.07377049],0
p10,1,0.194001,1.686967,[59 35] ; [17 17],[55.8125 38.1875] ; [20.1875 13.8125],0
b2,1,0.207491,1.588849,[13 42] ; [ 8 13],[15.19736842 39.80263158] ; [ 5.80263158 15.19736842],0
b3,1,0.207491,1.588849,[13 42] ; [ 8 13],[15.19736842 39.80263158] ; [ 5.80263158 15.19736842],0
