Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.000512,12.072258,[42 13] ; [10 17],[34.87804878 20.12195122] ; [17.12195122  9.87804878],1
a7,1,0.005626,7.666218,[38 17] ; [10 17],[32.19512195 22.80487805] ; [15.80487805 11.19512195],0
s6,1,0.007551,7.13689,[33 21] ; [ 8 19],[27.33333333 26.66666667] ; [13.66666667 13.33333333],0
r3,1,0.007762,7.087647,[52  3] ; [20  7],[48.29268293  6.70731707] ; [23.70731707  3.29268293],0
a3,1,0.015064,5.908943,[32 23] ; [ 8 19],[26.82926829 28.17073171] ; [13.17073171 13.82926829],0
d3,1,0.022921,5.174488,[35 20] ; [10 17],[30.18292683 24.81707317] ; [14.81707317 12.18292683],0
r1,1,0.024985,5.024916,[42 13] ; [14 13],[37.56097561 17.43902439] ; [18.43902439  8.56097561],0
a5,1,0.034445,4.472463,[34 21] ; [10 17],[29.51219512 25.48780488] ; [14.48780488 12.51219512],0
a6,1,0.034445,4.472463,[34 21] ; [10 17],[29.51219512 25.48780488] ; [14.48780488 12.51219512],0
b5,1,0.047589,3.924432,[37 18] ; [12 15],[32.86585366 22.13414634] ; [16.13414634 10.86585366],0
u2,1,0.059258,3.558018,[14  7] ; [ 7 12],[11.025  9.975] ; [9.975 9.025],0
p10,1,0.064141,3.426923,[22 33] ; [ 5 21],[18.33333333 36.66666667] ; [ 8.66666667 17.33333333],0
d2,1,0.068041,3.32967,[28 27] ; [ 8 19],[24.14634146 30.85365854] ; [11.85365854 15.14634146],0
n3,1,0.069676,3.290625,[9 7] ; [9 1],[11.07692308  4.92307692] ; [6.92307692 3.07692308],0
p4,1,0.070678,3.267198,[25 30] ; [18  9],[28.84146341 26.15853659] ; [14.15853659 12.84146341],0
p3,1,0.094052,2.803607,[27 28] ; [ 8 19],[23.47560976 31.52439024] ; [11.52439024 15.47560976],0
r2,1,0.101077,2.688472,[50  5] ; [21  6],[47.62195122  7.37804878] ; [23.37804878  3.62195122],0
u3,1,0.121122,2.402746,[14  9] ; [ 7 12],[11.5 11.5] ; [9.5 9.5],0
s2,1,0.127509,2.322575,[26 29] ; [ 8 19],[22.80487805 32.19512195] ; [11.19512195 15.80487805],0
p8,1,0.13561,2.227079,[33 22] ; [11 15],[29.87654321 25.12345679] ; [14.12345679 11.87654321],0
p11,1,0.180941,1.789876,[35 20] ; [13 14],[32.19512195 22.80487805] ; [15.80487805 11.19512195],0
a4,1,0.238466,1.389638,[15 40] ; [ 4 22],[12.90123457 42.09876543] ; [ 6.09876543 19.90123457],0
r4,1,0.239206,1.385265,[45 10] ; [19  8],[42.92682927 12.07317073] ; [21.07317073  5.92682927],0
s7,1,0.273798,1.197617,[19 35] ; [ 6 20],[16.875 37.125] ; [ 8.125 17.875],0
n2,1,0.275234,1.190476,[12  3] ; [6 4],[10.8  4.2] ; [7.2 2.8],0
n1,1,0.285049,1.142857,[ 5 10] ; [5 4],[6.25 8.75] ; [3.75 5.25],0
b1,1,0.306474,1.045812,[35 20] ; [14 13],[32.86585366 22.13414634] ; [16.13414634 10.86585366],0
b4,1,0.309482,1.032886,[33 22] ; [13 14],[30.85365854 24.14634146] ; [15.14634146 11.85365854],0
p6,1,0.328972,0.952941,[18 36] ; [12 15],[20. 34.] ; [10. 17.],0
v2,1,0.342782,0.9,[26 28] ; [10 17],[24. 30.] ; [12. 15.],0
s8,1,0.362296,0.829918,[15 39] ; [ 5 22],[13.33333333 40.66666667] ; [ 6.66666667 20.33333333],0
p5,1,0.431545,0.618663,[ 2 53] ; [ 2 24],[ 2.71604938 52.28395062] ; [ 1.28395062 24.71604938],0
a8,1,0.432188,0.616936,[ 5 46] ; [ 4 21],[ 6.03947368 44.96052632] ; [ 2.96052632 22.03947368],0
p1,1,0.456274,0.55502,[ 2 53] ; [ 2 25],[ 2.68292683 52.31707317] ; [ 1.31707317 25.68292683],0
v1,1,0.459173,0.547909,[23 32] ; [ 9 18],[21.46341463 33.53658537] ; [10.53658537 16.46341463],0
n4,1,0.480835,0.49697,[35 20] ; [15 12],[33.53658537 21.46341463] ; [16.46341463 10.53658537],0
n6,1,0.500844,0.453147,[38 16] ; [17 10],[36.66666667 17.33333333] ; [18.33333333  8.66666667],0
s4,1,0.507018,0.440217,[ 9 45] ; [ 3 24],[ 8. 46.] ; [ 4. 23.],0
s5,1,0.51981,0.41427,[11 42] ; [ 4 23],[ 9.9375 43.0625] ; [ 5.0625 21.9375],0
b3,1,0.581909,0.303158,[ 7 23] ; [ 3 15],[ 6.25 23.75] ; [ 3.75 14.25],0
b2,1,0.581909,0.303158,[ 7 23] ; [ 3 15],[ 6.25 23.75] ; [ 3.75 14.25],0
n5,1,0.587266,0.294634,[32 23] ; [14 13],[30.85365854 24.14634146] ; [15.14634146 11.85365854],0
v3,1,0.764319,0.089888,[16 39] ; [ 7 20],[15.42682927 39.57317073] ; [ 7.57317073 19.42682927],0
v4,1,0.772017,0.083948,[50  5] ; [24  3],[49.63414634  5.36585366] ; [24.36585366  2.63414634],0
s3,1,0.818191,0.052841,[30 25] ; [14 13],[29.51219512 25.48780488] ; [14.48780488 12.51219512],0
p2,1,0.897076,0.016733,[40 15] ; [20  7],[40.24390244 14.75609756] ; [19.75609756  7.24390244],0
s1,1,0.94633,0.004531,[ 4 51] ; [ 2 24],[ 4.07407407 50.92592593] ; [ 1.92592593 24.07407407],0
