Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1.8e-05,18.367011,[35 66] ; [28  9],[46.10869565 54.89130435] ; [16.89130435 20.10869565],1
a5,1,0.005367,7.751366,[61 46] ; [32  7],[68.15753425 38.84246575] ; [24.84246575 14.15753425],0
v1,1,0.046294,3.970857,[39 64] ; [22 17],[44.24647887 58.75352113] ; [16.75352113 22.24647887],0
r1,1,0.096683,2.759427,[69 37] ; [31  8],[73.10344828 32.89655172] ; [26.89655172 12.10344828],0
r4,1,0.10529,2.623526,[67 40] ; [30  9],[71.0890411 35.9109589] ; [25.9109589 13.0890411],0
b4,1,0.14819,2.090785,[57 50] ; [26 13],[60.82876712 46.17123288] ; [22.17123288 16.82876712],0
p1,1,0.148763,2.084892,[  6 100] ; [ 5 34],[ 8.04137931 97.95862069] ; [ 2.95862069 36.04137931],0
v4,1,0.149032,2.082128,[80 25] ; [34  5],[83.125 21.875] ; [30.875  8.125],0
p8,1,0.159326,1.980613,[35 71] ; [17 20],[38.54545455 67.45454545] ; [13.45454545 23.54545455],0
a2,1,0.183604,1.768205,[21 86] ; [ 4 35],[18.32191781 88.67808219] ; [ 6.67808219 32.32191781],0
s7,1,0.184511,1.760912,[21 77] ; [12 25],[23.95555556 74.04444444] ; [ 9.04444444 27.95555556],0
s8,1,0.196614,1.66735,[22 85] ; [12 27],[24.91780822 82.08219178] ; [ 9.08219178 29.91780822],0
p9,1,0.204334,1.611122,[63 43] ; [27 11],[66.25 39.75] ; [23.75 14.25],0
r2,1,0.208413,1.582418,[85 20] ; [35  4],[87.5 17.5] ; [32.5  6.5],0
d2,1,0.216118,1.529965,[45 62] ; [12 27],[41.7739726 65.2260274] ; [15.2260274 23.7739726],0
a7,1,0.221097,1.497234,[68 39] ; [29 10],[71.0890411 35.9109589] ; [25.9109589 13.0890411],0
s2,1,0.227467,1.456629,[30 77] ; [15 24],[32.97945205 74.02054795] ; [12.02054795 26.97945205],0
p12,1,0.263771,1.248854,[  2 104] ; [ 2 35],[  2.96503497 103.03496503] ; [ 1.03496503 35.96503497],0
n1,1,0.281528,1.159698,[17 24] ; [2 7],[15.58 25.42] ; [3.42 5.58],0
a8,1,0.281986,1.157495,[12 89] ; [ 2 34],[10.32116788 90.67883212] ; [ 3.67883212 32.32116788],0
p10,1,0.325676,0.966014,[56 50] ; [23 14],[58.55944056 47.44055944] ; [20.44055944 16.55944056],0
u2,1,0.327735,0.957828,[23 16] ; [11  4],[24.55555556 14.44444444] ; [9.44444444 5.55555556],0
b5,1,0.337938,0.91824,[67 40] ; [21 18],[64.49315068 42.50684932] ; [23.50684932 15.49315068],0
p7,1,0.350123,0.873011,[52 50] ; [16 22],[49.54285714 52.45714286] ; [18.45714286 19.54285714],0
r3,1,0.351232,0.869,[83 24] ; [33  6],[85.01369863 21.98630137] ; [30.98630137  8.01369863],0
b1,1,0.373112,0.793273,[61 46] ; [19 20],[58.63013699 48.36986301] ; [21.36986301 17.63013699],0
d5,1,0.413084,0.669907,[72 35] ; [29 10],[74.02054795 32.97945205] ; [26.97945205 12.02054795],0
d3,1,0.416234,0.660923,[60 46] ; [25 14],[62.13793103 43.86206897] ; [22.86206897 16.13793103],0
p4,1,0.625422,0.23832,[41 65] ; [16 21],[42.25174825 63.74825175] ; [14.74825175 22.25174825],0
n2,1,0.632811,0.228268,[26 16] ; [7 3],[26.65384615 15.34615385] ; [6.34615385 3.65384615],0
n4,1,0.644614,0.212758,[53 54] ; [21 18],[54.23287671 52.76712329] ; [19.76712329 19.23287671],0
