Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,2e-06,22.742089,[36 11] ; [ 9 28],[25.17857143 21.82142857] ; [19.82142857 17.17857143],1
v2,1,1.1e-05,19.352557,[28 17] ; [ 5 31],[18.33333333 26.66666667] ; [14.66666667 21.33333333],1
p2,1,5.1e-05,16.4025,[34 11] ; [11 25],[25. 20.] ; [20. 16.],1
p9,1,9.5e-05,15.235587,[36  9] ; [13 22],[27.5625 17.4375] ; [21.4375 13.5625],1
p10,1,0.001229,10.44632,[30 13] ; [12 24],[22.86075949 20.13924051] ; [19.13924051 16.86075949],0
s7,1,0.001306,10.334181,[24 19] ; [ 7 28],[17.08974359 25.91025641] ; [13.91025641 21.08974359],0
d4,1,0.001882,9.660725,[38  9] ; [18 19],[31.33333333 15.66666667] ; [24.66666667 12.33333333],0
n2,1,0.00238,9.230769,[18  2] ; [ 9 11],[13.5  6.5] ; [13.5  6.5],0
s6,1,0.005698,7.643378,[25 21] ; [ 9 28],[18.84337349 27.15662651] ; [15.15662651 21.84337349],0
s8,1,0.007706,7.100633,[17 30] ; [ 4 33],[11.75 35.25] ; [ 9.25 27.75],0
n6,1,0.008692,6.885,[34 11] ; [17 19],[28.33333333 16.66666667] ; [22.66666667 13.33333333],0
p8,1,0.009547,6.717574,[18 28] ; [ 5 32],[12.74698795 33.25301205] ; [10.25301205 26.74698795],0
s2,1,0.017602,5.635329,[20 26] ; [ 7 30],[14.96385542 31.03614458] ; [12.03614458 24.96385542],0
v1,1,0.019957,5.415628,[20 23] ; [ 8 29],[15.05 27.95] ; [12.95 24.05],0
p7,1,0.026484,4.924126,[22 24] ; [ 8 26],[17.25 28.75] ; [12.75 21.25],0
p4,1,0.027646,4.850015,[21 25] ; [ 8 28],[16.26829268 29.73170732] ; [12.73170732 23.26829268],0
v4,1,0.035864,4.403583,[31 14] ; [17 20],[26.34146341 18.65853659] ; [21.65853659 15.34146341],0
p6,1,0.044943,4.020787,[13 31] ; [ 4 32],[ 9.35 34.65] ; [ 7.65 28.35],0
n3,1,0.05653,3.636364,[14  6] ; [ 8 12],[11.  9.] ; [11.  9.],0
p1,1,0.063744,3.437184,[ 2 45] ; [ 6 31],[ 4.47619048 42.52380952] ; [ 3.52380952 33.47619048],0
u3,1,0.069913,3.285068,[4 9] ; [ 1 16],[ 2.16666667 10.83333333] ; [ 2.83333333 14.16666667],0
a1,1,0.088236,2.906268,[ 4 43] ; [ 8 29],[ 6.71428571 40.28571429] ; [ 5.28571429 31.71428571],0
d2,1,0.105631,2.618391,[19 28] ; [21 15],[22.65060241 24.34939759] ; [17.34939759 18.65060241],0
s3,1,0.167546,1.904762,[21 24] ; [11 24],[18. 27.] ; [14. 21.],0
a3,1,0.168357,1.89751,[33 14] ; [20 16],[30.01204819 16.98795181] ; [22.98795181 13.01204819],0
v3,1,0.178656,1.808765,[15 32] ; [ 7 30],[12.30952381 34.69047619] ; [ 9.69047619 27.30952381],0
b3,1,0.203388,1.617875,[ 8 20] ; [13 16],[10.31578947 17.68421053] ; [10.68421053 18.31578947],0
b2,1,0.203388,1.617875,[ 8 20] ; [13 16],[10.31578947 17.68421053] ; [10.68421053 18.31578947],0
a4,1,0.224019,1.478439,[16 31] ; [17 19],[18.68674699 28.31325301] ; [14.31325301 21.68674699],0
p3,1,0.248222,1.333284,[17 29] ; [ 9 27],[14.58536585 31.41463415] ; [11.41463415 24.58536585],0
s4,1,0.279618,1.168948,[ 6 41] ; [ 8 29],[ 7.83333333 39.16666667] ; [ 6.16666667 30.83333333],0
d5,1,0.321385,0.983304,[34 13] ; [23 14],[31.89285714 15.10714286] ; [25.10714286 11.89285714],0
n1,1,0.337287,0.920716,[ 7 13] ; [10 10],[ 8.5 11.5] ; [ 8.5 11.5],0
u2,1,0.345702,0.889173,[6 7] ; [ 5 12],[4.76666667 8.23333333] ; [ 6.23333333 10.76666667],0
b1,1,0.365177,0.820011,[22 25] ; [21 16],[24.05952381 22.94047619] ; [18.94047619 18.05952381],0
r2,1,0.380438,0.769286,[23 19] ; [22 12],[24.86842105 17.13157895] ; [20.13157895 13.86842105],0
b5,1,0.393548,0.727952,[26 21] ; [17 20],[24.05952381 22.94047619] ; [18.94047619 18.05952381],0
a7,1,0.409492,0.680276,[22 25] ; [14 23],[20.14285714 26.85714286] ; [15.85714286 21.14285714],0
u1,1,0.583276,0.300969,[ 4 43] ; [ 2 35],[ 3.35714286 43.64285714] ; [ 2.64285714 34.35714286],0
d3,1,0.641317,0.217024,[24 23] ; [17 20],[22.94047619 24.05952381] ; [18.05952381 18.94047619],0
n5,1,0.659199,0.194498,[36  9] ; [31  6],[36.76829268  8.23170732] ; [30.23170732  6.76829268],0
p12,1,0.675914,0.174762,[ 2 43] ; [ 1 36],[ 1.64634146 43.35365854] ; [ 1.35365854 35.64634146],0
p5,1,0.690743,0.158282,[ 4 43] ; [ 4 32],[ 4.53012048 42.46987952] ; [ 3.46987952 32.53012048],0
r1,1,0.712454,0.135838,[12 34] ; [11 26],[12.74698795 33.25301205] ; [10.25301205 26.74698795],0
s1,1,0.760533,0.092892,[ 3 44] ; [ 3 34],[ 3.35714286 43.64285714] ; [ 2.64285714 34.35714286],0
b4,1,0.794827,0.067625,[28 19] ; [21 16],[27.41666667 19.58333333] ; [21.58333333 15.41666667],0
a5,1,0.834499,0.043654,[29 18] ; [22 15],[28.53571429 18.46428571] ; [22.46428571 14.53571429],0
a8,1,0.841347,0.040068,[ 3 41] ; [ 2 33],[ 2.78481013 41.21518987] ; [ 2.21518987 32.78481013],0
a2,1,0.919688,0.010166,[ 6 41] ; [ 5 32],[ 6.1547619 40.8452381] ; [ 4.8452381 32.1547619],0
a6,1,0.937276,0.006193,[25 22] ; [20 17],[25.17857143 21.82142857] ; [19.82142857 17.17857143],0
s5,1,0.942185,0.00526,[ 6 39] ; [ 5 31],[ 6.11111111 38.88888889] ; [ 4.88888889 31.11111111],0
d1,1,0.949412,0.004025,[20 27] ; [16 21],[20.14285714 26.85714286] ; [15.85714286 21.14285714],0
