Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.029273,4.751515,[ 2 10] ; [3 1],[3.75 8.25] ; [1.25 2.75],0
s6,1,0.037987,4.305585,[ 7 22] ; [3 1],[ 8.78787879 20.21212121] ; [1.21212121 2.78787879],0
p6,1,0.086926,2.930403,[ 4 24] ; [2 2],[ 5.25 22.75] ; [0.75 3.25],0
p12,1,0.09037,2.86777,[ 1 28] ; [1 3],[ 1.75757576 27.24242424] ; [0.24242424 3.75757576],0
a1,1,0.09037,2.86777,[ 1 28] ; [1 3],[ 1.75757576 27.24242424] ; [0.24242424 3.75757576],0
p1,1,0.09037,2.86777,[ 1 28] ; [1 3],[ 1.75757576 27.24242424] ; [0.24242424 3.75757576],0
s7,1,0.119088,2.429275,[ 4 21] ; [2 2],[ 5.17241379 19.82758621] ; [0.82758621 3.17241379],0
s2,1,0.133002,2.257105,[ 5 24] ; [2 2],[ 6.15151515 22.84848485] ; [0.84848485 3.15151515],0
p3,1,0.145775,2.115918,[ 5 23] ; [2 2],[ 6.125 21.875] ; [0.875 3.125],0
b5,1,0.159657,1.977476,[18 11] ; [1 3],[16.6969697 12.3030303] ; [2.3030303 1.6969697],0
p4,1,0.159657,1.977476,[11 18] ; [3 1],[12.3030303 16.6969697] ; [1.6969697 2.3030303],0
n1,1,0.201352,1.63254,[ 2 13] ; [1 1],[ 2.64705882 12.35294118] ; [0.35294118 1.64705882],0
s4,1,0.237737,1.393966,[ 2 27] ; [1 3],[ 2.63636364 26.36363636] ; [0.36363636 3.63636364],0
p5,1,0.251739,1.313629,[ 2 26] ; [1 3],[ 2.625 25.375] ; [0.375 3.625],0
a5,1,0.257673,1.281218,[16 13] ; [1 3],[14.93939394 14.06060606] ; [2.06060606 1.93939394],0
b1,1,0.360505,0.836132,[21  8] ; [2 2],[20.21212121  8.78787879] ; [2.78787879 1.21212121],0
v1,1,0.45067,0.568966,[ 9 20] ; [2 2],[ 9.66666667 19.33333333] ; [1.33333333 2.66666667],0
p2,1,0.45195,0.565757,[16 13] ; [3 1],[16.6969697 12.3030303] ; [2.3030303 1.6969697],0
n5,1,0.45195,0.565757,[13 16] ; [1 3],[12.3030303 16.6969697] ; [1.6969697 2.3030303],0
p11,1,0.45195,0.565757,[16 13] ; [3 1],[16.6969697 12.3030303] ; [2.3030303 1.6969697],0
r3,1,0.545323,0.365764,[19 10] ; [2 2],[18.45454545 10.54545455] ; [2.54545455 1.45454545],0
u2,1,0.550985,0.355556,[7 5] ; [3 1],[7.5 4.5] ; [2.5 1.5],0
v3,1,0.557867,0.343411,[ 4 25] ; [1 3],[ 4.39393939 24.60606061] ; [0.60606061 3.39393939],0
s8,1,0.557867,0.343411,[ 4 25] ; [1 3],[ 4.39393939 24.60606061] ; [0.60606061 3.39393939],0
d3,1,0.643297,0.214456,[18 11] ; [2 2],[17.57575758 11.42424242] ; [2.42424242 1.57575758],0
p8,1,0.683178,0.16657,[11 17] ; [2 2],[11.375 16.625] ; [1.625 2.375],0
v4,1,0.706063,0.142241,[19 10] ; [3 1],[19.33333333  9.66666667] ; [2.66666667 1.33333333],0
a7,1,0.743645,0.106948,[17 12] ; [2 2],[16.6969697 12.3030303] ; [2.3030303 1.6969697],0
n6,1,0.845582,0.037931,[13 16] ; [2 2],[13.18181818 15.81818182] ; [1.81818182 2.18181818],0
d5,1,0.845582,0.037931,[13 16] ; [2 2],[13.18181818 15.81818182] ; [1.81818182 2.18181818],0
p9,1,0.893488,0.017927,[15 13] ; [2 2],[14.875 13.125] ; [2.125 1.875],0
d2,1,0.913303,0.011853,[ 8 21] ; [1 3],[ 7.90909091 21.09090909] ; [1.09090909 2.90909091],0
n2,1,0.929308,0.00787,[8 7] ; [1 1],[7.94117647 7.05882353] ; [1.05882353 0.94117647],0
p7,1,0.948428,0.004184,[14 15] ; [2 2],[14.06060606 14.93939394] ; [1.93939394 2.06060606],0
p10,1,0.948428,0.004184,[15 14] ; [2 2],[14.93939394 14.06060606] ; [2.06060606 1.93939394],0
b4,1,0.948428,0.004184,[14 15] ; [2 2],[14.06060606 14.93939394] ; [1.93939394 2.06060606],0
s3,1,0.969915,0.001422,[ 7 22] ; [1 3],[ 7.03030303 21.96969697] ; [0.96969697 3.03030303],0
r4,1,0.969915,0.001422,[ 7 22] ; [1 3],[ 7.03030303 21.96969697] ; [0.96969697 3.03030303],0
