Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,2.3e-05,17.935228,[17 43] ; [25  9],[26.80851064 33.19148936] ; [15.19148936 18.80851064],1
s8,1,0.000129,14.655264,[ 7 55] ; [16 19],[14.70103093 47.29896907] ; [ 8.29896907 26.70103093],1
s6,1,0.000254,13.381441,[18 44] ; [23 11],[26.47916667 35.52083333] ; [14.52083333 19.47916667],1
r3,1,0.001041,10.752747,[32 30] ; [29  5],[39.39583333 22.60416667] ; [21.60416667 12.39583333],0
s7,1,0.00125,10.414449,[16 42] ; [21 13],[23.32608696 34.67391304] ; [13.67391304 20.32608696],0
p7,1,0.001671,9.880177,[15 43] ; [20 14],[22.06521739 35.93478261] ; [12.93478261 21.06521739],0
p6,1,0.001919,9.62498,[ 5 53] ; [12 23],[10.60215054 47.39784946] ; [ 6.39784946 28.60215054],0
s4,1,0.00681,7.322461,[ 6 56] ; [11 24],[10.86597938 51.13402062] ; [ 6.13402062 28.86597938],0
p2,1,0.010983,6.468053,[28 31] ; [26  9],[33.89361702 25.10638298] ; [20.10638298 14.89361702],0
v2,1,0.025223,5.008533,[21 39] ; [20 14],[26.17021277 33.82978723] ; [14.82978723 19.17021277],0
b4,1,0.025865,4.965041,[41 21] ; [15 20],[35.79381443 26.20618557] ; [20.20618557 14.79381443],0
p11,1,0.026398,4.929735,[28 34] ; [24 11],[33.2371134 28.7628866] ; [18.7628866 16.2371134],0
u3,1,0.034592,4.465211,[ 5 15] ; [7 4],[ 7.74193548 12.25806452] ; [4.25806452 6.74193548],0
s5,1,0.060874,3.513416,[ 9 52] ; [10 22],[12.46236559 48.53763441] ; [ 6.53763441 25.46236559],0
p3,1,0.065864,3.383207,[16 43] ; [16 19],[20.08510638 38.91489362] ; [11.91489362 23.08510638],0
p10,1,0.066454,3.368502,[29 30] ; [24 11],[33.26595745 25.73404255] ; [19.73404255 15.26595745],0
p4,1,0.070277,3.276531,[18 42] ; [17 18],[22.10526316 37.89473684] ; [12.89473684 22.10526316],0
p8,1,0.076131,3.145623,[13 48] ; [13 21],[16.69473684 44.30526316] ; [ 9.30526316 24.69473684],0
p9,1,0.113193,2.50907,[33 27] ; [25 10],[36.63157895 23.36842105] ; [21.36842105 13.63157895],0
v1,1,0.16915,1.890462,[20 39] ; [16 17],[23.08695652 35.91304348] ; [12.91304348 20.08695652],0
p5,1,0.253259,1.305236,[ 8 53] ; [ 2 33],[ 6.35416667 54.64583333] ; [ 3.64583333 31.35416667],0
b1,1,0.257016,1.284758,[34 28] ; [15 20],[31.31958763 30.68041237] ; [17.68041237 17.31958763],0
a6,1,0.271332,1.209999,[30 32] ; [21 14],[32.59793814 29.40206186] ; [18.40206186 16.59793814],0
a4,1,0.278057,1.176564,[26 35] ; [11 24],[23.51041667 37.48958333] ; [13.48958333 21.51041667],0
d1,1,0.284363,1.146118,[32 30] ; [22 13],[34.51546392 27.48453608] ; [19.48453608 15.51546392],0
a2,1,0.294052,1.100974,[10 52] ; [ 3 32],[ 8.30927835 53.69072165] ; [ 4.69072165 30.30927835],0
p1,1,0.306572,1.045385,[ 5 57] ; [ 1 34],[ 3.83505155 58.16494845] ; [ 2.16494845 32.83505155],0
n2,1,0.306944,1.043778,[16 13] ; [10  4],[17.53488372 11.46511628] ; [8.46511628 5.53488372],0
v3,1,0.338668,0.915465,[14 48] ; [11 24],[15.97938144 46.02061856] ; [ 9.02061856 25.97938144],0
r1,1,0.366384,0.815892,[22 40] ; [ 9 25],[20.02083333 41.97916667] ; [10.97916667 23.02083333],0
n1,1,0.382443,0.762833,[10 19] ; [ 3 11],[ 8.76744186 20.23255814] ; [4.23255814 9.76744186],0
b5,1,0.442636,0.589439,[34 28] ; [22 13],[35.79381443 26.20618557] ; [20.20618557 14.79381443],0
n5,1,0.448252,0.575068,[32 29] ; [20 13],[33.74468085 27.25531915] ; [18.25531915 14.74468085],0
u1,1,0.495606,0.464332,[ 6 56] ; [ 2 33],[ 5.11340206 56.88659794] ; [ 2.88659794 32.11340206],0
n6,1,0.534213,0.386372,[36 25] ; [21 11],[37.38709677 23.61290323] ; [19.61290323 12.38709677],0
v4,1,0.573593,0.316708,[39 22] ; [23 10],[40.23404255 20.76595745] ; [21.76595745 11.23404255],0
a1,1,0.583401,0.300769,[ 5 57] ; [ 4 31],[ 5.75257732 56.24742268] ; [ 3.24742268 31.75257732],0
u2,1,0.602332,0.271493,[ 8 12] ; [5 5],[ 8.66666667 11.33333333] ; [4.33333333 5.66666667],0
r2,1,0.622939,0.241758,[32 24] ; [20 12],[33.09090909 22.90909091] ; [18.90909091 13.09090909],0
b3,1,0.657155,0.196997,[13 25] ; [ 6 15],[12.23728814 25.76271186] ; [ 6.76271186 14.23728814],0
b2,1,0.657155,0.196997,[13 25] ; [ 6 15],[12.23728814 25.76271186] ; [ 6.76271186 14.23728814],0
d3,1,0.664926,0.187595,[38 24] ; [23 12],[38.98969072 23.01030928] ; [22.01030928 12.98969072],0
s1,1,0.698405,0.150137,[ 4 58] ; [ 3 32],[ 4.4742268 57.5257732] ; [ 2.5257732 32.4742268],0
n4,1,0.734044,0.115431,[35 27] ; [21 14],[35.79381443 26.20618557] ; [20.20618557 14.79381443],0
n3,1,0.827066,0.047727,[13 15] ; [7 7],[13.33333333 14.66666667] ; [6.66666667 7.33333333],0
d5,1,0.828222,0.047081,[49 13] ; [27  8],[48.57731959 13.42268041] ; [27.42268041  7.57731959],0
d2,1,0.862944,0.0298,[29 32] ; [16 19],[28.59375 32.40625] ; [16.40625 18.59375],0
a3,1,0.891037,0.018767,[41 20] ; [24 11],[41.30208333 19.69791667] ; [23.69791667 11.30208333],0
p12,1,0.898129,0.016391,[ 2 58] ; [ 1 34],[ 1.89473684 58.10526316] ; [ 1.10526316 33.89473684],0
a5,1,0.900504,0.015631,[38 24] ; [21 14],[37.71134021 24.28865979] ; [21.28865979 13.71134021],0
a8,1,0.926169,0.008587,[ 3 54] ; [ 2 33],[ 3.09782609 53.90217391] ; [ 1.90217391 33.09782609],0
a7,1,0.92968,0.007788,[36 26] ; [20 15],[35.79381443 26.20618557] ; [20.20618557 14.79381443],0
