Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,58.245501,[230  14] ; [50 33],[208.92966361  35.07033639] ; [71.07033639 11.92966361],1
r2,1,0.0,28.1209,[239   5] ; [67 15],[229.03067485  14.96932515] ; [76.96932515  5.03067485],1
s6,1,0.000998,10.832157,[155  85] ; [36 46],[142.36024845  97.63975155] ; [48.63975155 33.36024845],1
v2,1,0.001143,10.579548,[122 109] ; [25 54],[109.53870968 121.46129032] ; [37.46129032 41.53870968],0
a6,1,0.002251,9.332708,[174  70] ; [44 39],[162.66666667  81.33333333] ; [55.33333333 27.66666667],0
d3,1,0.002734,8.977152,[168  76] ; [42 41],[156.69724771  87.30275229] ; [53.30275229 29.69724771],0
a2,1,0.005591,7.677762,[ 58 186] ; [ 8 75],[ 49.24770642 194.75229358] ; [16.75229358 66.24770642],0
r3,1,0.007724,7.096477,[228  15] ; [70 13],[222.12883436  20.87116564] ; [75.87116564  7.12883436],0
a5,1,0.010015,6.632242,[178  66] ; [48 35],[168.63608563  75.36391437] ; [57.36391437 25.63608563],0
s8,1,0.010606,6.530089,[ 96 146] ; [20 63],[ 86.37538462 155.62461538] ; [29.62461538 53.37538462],0
a7,1,0.010932,6.47629,[182  61] ; [50 33],[172.93251534  70.06748466] ; [59.06748466 23.93251534],0
d1,1,0.011362,6.40785,[142 102] ; [35 48],[132.0733945 111.9266055] ; [44.9266055 38.0733945],0
u1,1,0.015003,5.916091,[ 45 199] ; [ 6 77],[ 38.05504587 205.94495413] ; [12.94495413 70.05504587],0
p12,1,0.016449,5.754181,[ 22 220] ; [ 1 81],[ 17.17901235 224.82098765] ; [ 5.82098765 76.17901235],0
v3,1,0.01902,5.499636,[ 84 144] ; [18 62],[ 75.50649351 152.49350649] ; [26.49350649 53.50649351],0
n4,1,0.019754,5.433521,[180  64] ; [50 33],[171.62079511  72.37920489] ; [58.37920489 24.62079511],0
s3,1,0.066006,3.379649,[123 116] ; [33 50],[115.78881988 123.21118012] ; [40.21118012 42.78881988],0
s7,1,0.067205,3.350012,[ 96 135] ; [24 56],[ 89.1318328 141.8681672] ; [30.8681672 49.1318328],0
d4,1,0.075148,3.166825,[198  45] ; [60 23],[192.31288344  50.68711656] ; [65.68711656 17.31288344],0
a1,1,0.119685,2.421444,[  6 238] ; [ 5 78],[  8.20795107 235.79204893] ; [ 2.79204893 80.20795107],0
p6,1,0.12427,2.362656,[ 33 209] ; [17 65],[ 37.34567901 204.65432099] ; [12.65432099 69.34567901],0
b3,1,0.155882,2.013726,[48 91] ; [20 23],[51.93406593 87.06593407] ; [16.06593407 26.93406593],0
b2,1,0.155882,2.013726,[48 91] ; [20 23],[51.93406593 87.06593407] ; [16.06593407 26.93406593],0
d5,1,0.156533,2.0074,[192  52] ; [59 24],[187.29051988  56.70948012] ; [63.70948012 19.29051988],0
v1,1,0.192142,1.70112,[113 124] ; [31 48],[108. 129.] ; [36. 43.],0
b1,1,0.231203,1.433445,[ 85 159] ; [35 48],[ 89.5412844 154.4587156] ; [30.4587156 52.5412844],0
p4,1,0.259135,1.273374,[108 135] ; [31 52],[103.61042945 139.38957055] ; [35.38957055 47.61042945],0
n1,1,0.262734,1.254294,[33 42] ; [10 21],[30.4245283 44.5754717] ; [12.5754717 18.4245283],0
b4,1,0.263937,1.24799,[155  89] ; [47 36],[150.72782875  93.27217125] ; [51.27217125 31.72782875],0
u3,1,0.299459,1.076601,[54 27] ; [18 14],[51.61061947 29.38938053] ; [20.38938053 11.61061947],0
s2,1,0.307954,1.03943,[110 128] ; [33 50],[106.02492212 131.97507788] ; [36.97507788 46.02492212],0
u2,1,0.333998,0.933333,[48 32] ; [16 16],[45.71428571 34.28571429] ; [18.28571429 13.71428571],0
p10,1,0.346613,0.885818,[172  69] ; [54 28],[168.625387  72.374613] ; [57.374613 24.625387],0
p9,1,0.350501,0.871644,[183  58] ; [64 15],[186.021875  54.978125] ; [60.978125 18.021875],0
a3,1,0.350878,0.870278,[163  80] ; [51 32],[159.51533742  83.48466258] ; [54.48466258 28.51533742],0
p2,1,0.393637,0.727678,[171  73] ; [54 29],[167.88990826  76.11009174] ; [57.11009174 25.88990826],0
p3,1,0.412171,0.67253,[ 80 163] ; [23 59],[ 77.01230769 165.98769231] ; [25.98769231 56.01230769],0
s4,1,0.413024,0.670079,[ 37 203] ; [16 67],[ 39.38080495 200.61919505] ; [13.61919505 69.38080495],0
b5,1,0.473604,0.513555,[157  87] ; [57 26],[159.68195719  84.31804281] ; [54.31804281 28.68195719],0
u4,1,0.495273,0.46505,[  6 238] ; [ 1 82],[  5.22324159 238.77675841] ; [ 1.77675841 81.22324159],0
