Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,23.728331,[39 11] ; [47 79],[24.43181818 25.56818182] ; [61.56818182 64.43181818],1
v1,1,0.002166,9.402907,[32 19] ; [48 80],[22.79329609 28.20670391] ; [57.20670391 70.79329609],0
b1,1,0.005498,7.707757,[10 41] ; [54 76],[18.03314917 32.96685083] ; [45.96685083 84.03314917],0
p12,1,0.008882,6.846362,[ 5 45] ; [  2 127],[ 1.95530726 48.04469274] ; [  5.04469274 123.95530726],0
u2,1,0.016442,5.755021,[14  3] ; [24 25],[9.78787879 7.21212121] ; [28.21212121 20.78787879],0
n1,1,0.052242,3.768015,[ 2 20] ; [14 32],[ 5.17647059 16.82352941] ; [10.82352941 35.17647059],0
u1,1,0.111711,2.529846,[ 9 42] ; [ 12 118],[ 5.91712707 45.08287293] ; [ 15.08287293 114.91712707],0
a2,1,0.115016,2.483916,[12 39] ; [ 18 112],[ 8.45303867 42.54696133] ; [ 21.54696133 108.45303867],0
p6,1,0.138283,2.196961,[ 8 41] ; [34 92],[11.76 37.24] ; [30.24 95.76],0
p5,1,0.151129,2.060823,[ 4 46] ; [  4 126],[ 2.22222222 47.77777778] ; [  5.77777778 124.22222222],0
s6,1,0.15113,2.060807,[34 16] ; [72 56],[29.7752809 20.2247191] ; [76.2247191 51.7752809],0
r4,1,0.160829,1.966415,[43  8] ; [97 33],[39.44751381 11.55248619] ; [100.55248619  29.44751381],0
b3,1,0.166868,1.910854,[10 13] ; [19 49],[ 7.32967033 15.67032967] ; [21.67032967 46.32967033],0
b2,1,0.166868,1.910854,[10 13] ; [19 49],[ 7.32967033 15.67032967] ; [21.67032967 46.32967033],0
r1,1,0.205373,1.603747,[40 11] ; [89 40],[36.55 14.45] ; [92.45 36.55],0
a5,1,0.206455,1.596114,[35 16] ; [76 54],[31.27624309 19.72375691] ; [79.72375691 50.27624309],0
b4,1,0.206455,1.596114,[35 16] ; [76 54],[31.27624309 19.72375691] ; [79.72375691 50.27624309],0
a7,1,0.221656,1.493615,[41 10] ; [93 37],[37.75690608 13.24309392] ; [96.24309392 33.75690608],0
s8,1,0.233207,1.421196,[18 33] ; [34 95],[14.73333333 36.26666667] ; [37.26666667 91.73333333],0
s7,1,0.241225,1.373421,[18 31] ; [34 89],[14.81395349 34.18604651] ; [37.18604651 85.81395349],0
p10,1,0.24143,1.372227,[37 13] ; [83 45],[33.70786517 16.29213483] ; [86.29213483 41.70786517],0
r2,1,0.259393,1.271994,[47  4] ; [111  18],[44.76666667  6.23333333] ; [113.23333333  15.76666667],0
p7,1,0.297925,1.083458,[29 20] ; [62 61],[25.9244186 23.0755814] ; [65.0755814 57.9244186],0
p8,1,0.299005,1.078626,[25 25] ; [53 75],[21.91011236 28.08988764] ; [56.08988764 71.91011236],0
v4,1,0.304181,1.055776,[48  3] ; [115  14],[46.18333333  4.81666667] ; [116.81666667  12.18333333],0
b5,1,0.305196,1.051351,[30 21] ; [87 43],[32.96685083 18.03314917] ; [84.03314917 45.96685083],0
d3,1,0.365867,0.817654,[42  9] ; [99 31],[39.72928177 11.27071823] ; [101.27071823  28.72928177],0
s4,1,0.397947,0.71452,[11 40] ; [36 94],[13.24309392 37.75690608] ; [33.75690608 96.24309392],0
p9,1,0.427985,0.628286,[38 11] ; [91 36],[35.91477273 13.08522727] ; [93.08522727 33.91477273],0
a6,1,0.444418,0.58485,[36 15] ; [84 46],[33.8121547 17.1878453] ; [86.1878453 43.8121547],0
a4,1,0.482265,0.493736,[16 35] ; [48 82],[18.03314917 32.96685083] ; [45.96685083 84.03314917],0
s3,1,0.494067,0.467658,[27 24] ; [61 68],[24.93333333 26.06666667] ; [63.06666667 65.93333333],0
p4,1,0.550593,0.356255,[23 27] ; [53 76],[21.22905028 28.77094972] ; [54.77094972 74.22905028],0
s1,1,0.55711,0.344733,[ 2 49] ; [  3 126],[ 1.41666667 49.58333333] ; [  3.58333333 125.41666667],0
a3,1,0.559545,0.340492,[34 17] ; [80 49],[32.3 18.7] ; [81.7 47.3],0
a8,1,0.672337,0.17888,[ 1 47] ; [  4 117],[ 1.42011834 46.57988166] ; [  3.57988166 117.42011834],0
p1,1,0.702631,0.145749,[ 2 48] ; [  7 123],[ 2.5 47.5] ; [  6.5 123.5],0
n6,1,0.714587,0.133738,[33 17] ; [82 48],[31.94444444 18.05555556] ; [83.05555556 46.94444444],0
p3,1,0.735567,0.114061,[18 32] ; [43 86],[17.03910615 32.96089385] ; [43.96089385 85.03910615],0
n5,1,0.800625,0.063776,[16 35] ; [43 86],[16.71666667 34.28333333] ; [42.28333333 86.71666667],0
n3,1,0.80199,0.062887,[12 10] ; [26 19],[12.47761194  9.52238806] ; [25.52238806 19.47761194],0
n2,1,0.806201,0.060187,[14  8] ; [30 15],[14.44776119  7.55223881] ; [29.55223881 15.44776119],0
r3,1,0.836513,0.042583,[46  5] ; [115  14],[45.61666667  5.38333333] ; [115.38333333  13.61666667],0
p11,1,0.837708,0.041954,[33 18] ; [82 48],[32.40331492 18.59668508] ; [82.59668508 47.40331492],0
a1,1,0.838118,0.041739,[ 2 49] ; [  6 124],[ 2.25414365 48.74585635] ; [  5.74585635 124.25414365],0
s2,1,0.89833,0.016325,[22 29] ; [57 72],[22.38333333 28.61666667] ; [56.61666667 72.38333333],0
d5,1,0.91415,0.011622,[40 11] ; [101  29],[39.72928177 11.27071823] ; [101.27071823  28.72928177],0
d1,1,0.919113,0.010313,[29 22] ; [75 55],[29.3038674 21.6961326] ; [74.6961326 55.3038674],0
