Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1.6e-05,18.656421,[85  1] ; [7 3],[82.41666667  3.58333333] ; [9.58333333 0.41666667],1
r1,1,0.002575,9.086868,[76 11] ; [5 5],[72.64948454 14.35051546] ; [8.35051546 1.64948454],0
r4,1,0.003282,8.643636,[83  4] ; [7 3],[80.72164948  6.27835052] ; [9.27835052 0.72164948],0
s3,1,0.003713,8.419187,[57 28] ; [2 8],[52.78947368 32.21052632] ; [6.21052632 3.78947368],0
s8,1,0.008125,7.005764,[54 31] ; [2 8],[50.10526316 34.89473684] ; [5.89473684 4.10526316],0
n4,1,0.008281,6.971679,[82  5] ; [7 3],[79.82474227  7.17525773] ; [9.17525773 0.82474227],0
s7,1,0.008395,6.947115,[61 20] ; [3 6],[57.6 23.4] ; [6.4 2.6],0
p6,1,0.024902,5.030698,[57 29] ; [3 7],[53.75 32.25] ; [6.25 3.75],0
a7,1,0.02812,4.820713,[64 23] ; [4 6],[60.98969072 26.01030928] ; [7.01030928 2.98969072],0
s2,1,0.045682,3.993296,[54 32] ; [3 7],[51.0625 34.9375] ; [5.9375 4.0625],0
r3,1,0.057715,3.60186,[82  4] ; [8 2],[80.625  5.375] ; [9.375 0.625],0
n2,1,0.083709,2.991369,[13  3] ; [1 2],[11.78947368  4.21052632] ; [2.21052632 0.78947368],0
p8,1,0.090152,2.871653,[71 15] ; [6 4],[68.97916667 17.02083333] ; [8.02083333 1.97916667],0
n5,1,0.153706,2.035083,[81  6] ; [8 2],[79.82474227  7.17525773] ; [9.17525773 0.82474227],0
v1,1,0.225843,1.466852,[58 26] ; [5 5],[56.29787234 27.70212766] ; [6.70212766 3.29787234],0
d3,1,0.295502,1.094382,[58 29] ; [5 5],[56.50515464 30.49484536] ; [6.49484536 3.50515464],0
n3,1,0.347756,0.881629,[10  6] ; [1 2],[9.26315789 6.73684211] ; [1.73684211 1.26315789],0
p2,1,0.361807,0.83161,[78  9] ; [8 2],[77.13402062  9.86597938] ; [8.86597938 1.13402062],0
a4,1,0.37014,0.803193,[39 48] ; [3 7],[37.67010309 49.32989691] ; [4.32989691 5.67010309],0
p1,1,0.429839,0.623258,[28 59] ; [2 8],[26.90721649 60.09278351] ; [3.09278351 6.90721649],0
p4,1,0.44864,0.574086,[76 10] ; [8 2],[75.25 10.75] ; [8.75 1.25],0
d1,1,0.459025,0.548271,[54 33] ; [5 5],[52.91752577 34.08247423] ; [6.08247423 3.91752577],0
u1,1,0.462373,0.540143,[17 70] ; [1 9],[16.1443299 70.8556701] ; [1.8556701 8.1443299],0
p3,1,0.4984,0.458342,[69 18] ; [7 3],[68.16494845 18.83505155] ; [7.83505155 2.16494845],0
a2,1,0.508634,0.436877,[16 71] ; [1 9],[15.24742268 71.75257732] ; [1.75257732 8.24742268],0
p7,1,0.524747,0.404554,[67 18] ; [7 3],[66.21052632 18.78947368] ; [7.78947368 2.21052632],0
d5,1,0.559465,0.340632,[68 19] ; [7 3],[67.26804124 19.73195876] ; [7.73195876 2.26804124],0
a3,1,0.559465,0.340632,[68 19] ; [7 3],[67.26804124 19.73195876] ; [7.73195876 2.26804124],0
v3,1,0.563378,0.333888,[50 34] ; [5 5],[49.14893617 34.85106383] ; [5.85106383 4.14893617],0
s5,1,0.595371,0.282034,[54 25] ; [6 4],[53.25842697 25.74157303] ; [6.74157303 3.25842697],0
b1,1,0.601226,0.273151,[36 51] ; [5 5],[36.77319588 50.22680412] ; [4.22680412 5.77319588],0
b2,1,0.602662,0.270999,[29 33] ; [4 3],[29.65217391 32.34782609] ; [3.34782609 3.65217391],0
b3,1,0.602662,0.270999,[29 33] ; [4 3],[29.65217391 32.34782609] ; [3.34782609 3.65217391],0
p9,1,0.604739,0.267907,[81  5] ; [9 1],[80.625  5.375] ; [9.375 0.625],0
d2,1,0.619642,0.246371,[45 42] ; [6 4],[45.74226804 41.25773196] ; [5.25773196 4.74226804],0
a5,1,0.621507,0.243754,[67 20] ; [7 3],[66.37113402 20.62886598] ; [7.62886598 2.37113402],0
a8,1,0.649994,0.205907,[13 67] ; [2 7],[13.48314607 66.51685393] ; [1.51685393 7.48314607],0
u2,1,0.650041,0.205848,[10  9] ; [2 1],[10.36363636  8.63636364] ; [1.63636364 1.36363636],0
u3,1,0.650041,0.205848,[10  9] ; [2 1],[10.36363636  8.63636364] ; [1.63636364 1.36363636],0
p11,1,0.673607,0.177412,[74 13] ; [9 1],[74.44329897 12.55670103] ; [8.55670103 1.44329897],0
s6,1,0.680848,0.169173,[68 12] ; [8 2],[67.55555556 12.44444444] ; [8.44444444 1.55555556],0
b5,1,0.703117,0.14525,[38 49] ; [5 5],[38.56701031 48.43298969] ; [4.43298969 5.56701031],0
v2,1,0.720414,0.128096,[47 37] ; [5 5],[46.46808511 37.53191489] ; [5.53191489 4.46808511],0
a1,1,0.738796,0.111188,[12 75] ; [1 9],[11.65979381 75.34020619] ; [1.34020619 8.65979381],0
d4,1,0.827971,0.047221,[72 15] ; [8 2],[71.75257732 15.24742268] ; [8.24742268 1.75257732],0
p10,1,0.840328,0.040592,[79  7] ; [9 1],[78.83333333  7.16666667] ; [9.16666667 0.83333333],0
a6,1,0.841863,0.039805,[55 32] ; [6 4],[54.71134021 32.28865979] ; [6.28865979 3.71134021],0
b4,1,0.878156,0.023503,[50 37] ; [6 4],[50.22680412 36.77319588] ; [5.77319588 4.22680412],0
p12,1,0.889187,0.019414,[24 62] ; [3 7],[24.1875 61.8125] ; [2.8125 7.1875],0
