Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,0.850235,0.035653,[ 6 95] ; [ 2 27],[ 6.21538462 94.78461538] ; [ 1.78461538 27.21538462],0
v2,1,0.858403,0.031829,[45 52] ; [14 15],[45.42063492 51.57936508] ; [13.57936508 15.42063492],0
p3,1,0.868462,0.027427,[54 47] ; [15 14],[53.60769231 47.39230769] ; [15.39230769 13.60769231],0
p6,1,0.894185,0.017692,[43 56] ; [13 16],[43.3125 55.6875] ; [12.6875 16.3125],0
d1,1,0.898461,0.016283,[64 37] ; [18 11],[63.70769231 37.29230769] ; [18.29230769 10.70769231],0
a8,1,0.90307,0.014831,[ 3 90] ; [ 1 26],[ 3.1 89.9] ; [ 0.9 26.1],0
p10,1,0.925131,0.008831,[82 18] ; [24  5],[82.17054264 17.82945736] ; [23.82945736  5.17054264],0
n3,1,0.931859,0.007311,[20  7] ; [8 3],[19.89473684  7.10526316] ; [8.10526316 2.89473684],0
n1,1,0.931859,0.007311,[ 7 20] ; [3 8],[ 7.10526316 19.89473684] ; [2.89473684 8.10526316],0
v3,1,0.940864,0.005503,[29 70] ; [ 8 20],[28.84251969 70.15748031] ; [ 8.15748031 19.84251969],0
d4,1,0.942447,0.005212,[83 18] ; [24  5],[83.13076923 17.86923077] ; [23.86923077  5.13076923],0
v1,1,0.986889,0.00027,[45 55] ; [13 16],[44.96124031 55.03875969] ; [13.03875969 15.96124031],0
