Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a1,1,0.105252,2.624109,[1 3] ; [ 4 74],[0.24390244 3.75609756] ; [ 4.75609756 73.24390244],0
p8,1,0.106832,2.600477,[3 1] ; [27 50],[1.48148148 2.51851852] ; [28.51851852 48.48148148],0
p4,1,0.130445,2.287196,[3 1] ; [29 49],[1.56097561 2.43902439] ; [30.43902439 47.56097561],0
r2,1,0.251838,1.313077,[2 2] ; [59 19],[2.97560976 1.02439024] ; [58.02439024 19.97560976],0
s5,1,0.259795,1.269852,[2 2] ; [19 58],[1.03703704 2.96296296] ; [19.96296296 57.03703704],0
b1,1,0.259872,1.269437,[3 1] ; [36 42],[1.90243902 2.09756098] ; [37.09756098 40.90243902],0
a6,1,0.282081,1.157036,[3 1] ; [37 41],[1.95121951 2.04878049] ; [38.04878049 39.95121951],0
p6,1,0.292193,1.109489,[2 2] ; [20 57],[1.08641975 2.91358025] ; [20.91358025 56.08641975],0
u3,1,0.294266,1.1,[3 1] ; [19 21],[2. 2.] ; [20. 20.],0
b4,1,0.406984,0.687595,[3 1] ; [42 36],[2.19512195 1.80487805] ; [42.80487805 35.19512195],0
v1,1,0.431545,0.618663,[2 2] ; [24 53],[1.28395062 2.71604938] ; [24.71604938 52.28395062],0
p3,1,0.468304,0.525974,[2 2] ; [25 52],[1.33333333 2.66666667] ; [25.66666667 51.33333333],0
d4,1,0.530218,0.393974,[2 2] ; [51 27],[2.58536585 1.41463415] ; [50.41463415 27.58536585],0
n6,1,0.555486,0.34758,[3 1] ; [47 31],[2.43902439 1.56097561] ; [47.56097561 30.43902439],0
b5,1,0.555486,0.34758,[3 1] ; [47 31],[2.43902439 1.56097561] ; [47.56097561 30.43902439],0
n5,1,0.567925,0.326167,[2 2] ; [28 50],[1.46341463 2.53658537] ; [28.53658537 49.46341463],0
s3,1,0.588151,0.293242,[1 3] ; [30 48],[1.51219512 2.48780488] ; [29.48780488 48.51219512],0
p2,1,0.621849,0.243277,[3 1] ; [49 29],[2.53658537 1.46341463] ; [49.46341463 28.53658537],0
d5,1,0.659702,0.193886,[2 2] ; [47 30],[2.41975309 1.58024691] ; [46.58024691 30.41975309],0
s2,1,0.683298,0.166437,[2 2] ; [31 47],[1.6097561 2.3902439] ; [31.3902439 46.6097561],0
r3,1,0.722013,0.126572,[3 1] ; [64 14],[3.26829268 0.73170732] ; [63.73170732 14.26829268],0
d1,1,0.729424,0.119641,[1 3] ; [26 52],[1.31707317 2.68292683] ; [25.68292683 52.31707317],0
a7,1,0.778576,0.079059,[2 2] ; [44 33],[2.27160494 1.72839506] ; [43.72839506 33.27160494],0
a5,1,0.801073,0.063483,[2 2] ; [34 44],[1.75609756 2.24390244] ; [34.24390244 43.75609756],0
d3,1,0.836612,0.042531,[2 2] ; [42 34],[2.2 1.8] ; [41.8 34.2],0
s6,1,0.858772,0.031662,[2 2] ; [35 42],[1.82716049 2.17283951] ; [35.17283951 41.82716049],0
v2,1,0.877257,0.023854,[1 3] ; [22 55],[1.13580247 2.86419753] ; [21.86419753 55.13580247],0
p7,1,0.91818,0.010553,[2 2] ; [36 40],[1.9 2.1] ; [36.1 39.9],0
r4,1,1.0,0.0,[2 2] ; [39 39],[2. 2.] ; [39. 39.],0
