Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.001604,9.955556,[13  1] ; [5 9],[9. 5.] ; [9. 5.],0
v3,1,0.01796,5.6,[8 6] ; [ 2 12],[5. 9.] ; [5. 9.],0
d2,1,0.023342,5.142857,[10  4] ; [ 4 10],[7. 7.] ; [7. 7.],0
s2,1,0.029345,4.747253,[7 6] ; [ 2 12],[4.33333333 8.66666667] ; [4.66666667 9.33333333],0
p7,1,0.058137,3.589744,[5 9] ; [10  4],[7.5 6.5] ; [7.5 6.5],0
u2,1,0.065087,3.402778,[1 3] ; [5 1],[2.4 1.6] ; [3.6 2.4],0
d5,1,0.065436,3.393939,[13  1] ; [9 5],[11.  3.] ; [11.  3.],0
n3,1,0.09769,2.742857,[2 3] ; [6 1],[3.33333333 1.66666667] ; [4.66666667 2.33333333],0
n6,1,0.114653,2.488889,[11  3] ; [7 7],[9. 5.] ; [9. 5.],0
p5,1,0.138792,2.191304,[ 4 10] ; [ 1 13],[ 2.5 11.5] ; [ 2.5 11.5],0
r1,1,0.245699,1.347594,[ 4 10] ; [7 7],[5.5 8.5] ; [5.5 8.5],0
a4,1,0.245699,1.347594,[7 7] ; [ 4 10],[5.5 8.5] ; [5.5 8.5],0
v1,1,0.245699,1.347594,[10  4] ; [7 7],[8.5 5.5] ; [8.5 5.5],0
p4,1,0.245699,1.347594,[10  4] ; [7 7],[8.5 5.5] ; [8.5 5.5],0
b1,1,0.255623,1.292308,[6 8] ; [9 5],[7.5 6.5] ; [7.5 6.5],0
a6,1,0.255623,1.292308,[9 5] ; [6 8],[7.5 6.5] ; [7.5 6.5],0
p3,1,0.33281,0.937934,[5 8] ; [ 3 11],[3.85185185 9.14814815] ; [4.14814815 9.85185185],0
s3,1,0.33281,0.937934,[5 8] ; [ 3 11],[3.85185185 9.14814815] ; [4.14814815 9.85185185],0
s4,1,0.356981,0.848485,[ 2 12] ; [ 4 10],[ 3. 11.] ; [ 3. 11.],0
p2,1,0.402784,0.7,[11  3] ; [9 5],[10.  4.] ; [10.  4.],0
a3,1,0.430223,0.622222,[10  4] ; [8 6],[9. 5.] ; [9. 5.],0
s6,1,0.445009,0.583333,[9 5] ; [7 7],[8. 6.] ; [8. 6.],0
p6,1,0.515759,0.422366,[4 9] ; [6 8],[4.81481481 8.18518519] ; [5.18518519 8.81481481],0
s5,1,0.621705,0.243478,[ 2 12] ; [ 3 11],[ 2.5 11.5] ; [ 2.5 11.5],0
r3,1,0.621705,0.243478,[11  3] ; [12  2],[11.5  2.5] ; [11.5  2.5],0
p11,1,0.621705,0.243478,[12  2] ; [11  3],[11.5  2.5] ; [11.5  2.5],0
n4,1,0.662521,0.190476,[10  4] ; [11  3],[10.5  3.5] ; [10.5  3.5],0
n5,1,0.662521,0.190476,[10  4] ; [11  3],[10.5  3.5] ; [10.5  3.5],0
n2,1,0.678845,0.171429,[3 2] ; [5 2],[3.33333333 1.66666667] ; [4.66666667 2.33333333],0
r4,1,0.685734,0.163743,[5 9] ; [ 4 10],[4.5 9.5] ; [4.5 9.5],0
v4,1,0.685734,0.163743,[9 5] ; [10  4],[9.5 4.5] ; [9.5 4.5],0
a7,1,0.698791,0.149733,[9 5] ; [8 6],[8.5 5.5] ; [8.5 5.5],0
p8,1,0.704738,0.14359,[6 8] ; [7 7],[6.5 7.5] ; [6.5 7.5],0
a5,1,0.704738,0.14359,[8 6] ; [7 7],[7.5 6.5] ; [7.5 6.5],0
b5,1,0.704738,0.14359,[7 7] ; [8 6],[7.5 6.5] ; [7.5 6.5],0
b4,1,0.704738,0.14359,[7 7] ; [8 6],[7.5 6.5] ; [7.5 6.5],0
b3,1,0.70663,0.141667,[3 6] ; [2 6],[2.64705882 6.35294118] ; [2.35294118 5.64705882],0
b2,1,0.70663,0.141667,[3 6] ; [2 6],[2.64705882 6.35294118] ; [2.35294118 5.64705882],0
p10,1,0.785351,0.074176,[9 4] ; [9 5],[8.66666667 4.33333333] ; [9.33333333 4.66666667],0
s7,1,0.813025,0.055944,[3 8] ; [ 3 10],[2.75 8.25] ; [3.25 9.75],0
p9,1,0.882577,0.021816,[8 5] ; [9 5],[8.18518519 4.81481481] ; [8.81481481 5.18518519],0
a8,1,0.952933,0.003484,[ 1 11] ; [ 1 12],[ 0.96 11.04] ; [ 1.04 11.96],0
s1,1,1.0,0.0,[ 1 13] ; [ 1 13],[ 1. 13.] ; [ 1. 13.],0
u1,1,1.0,0.0,[ 1 13] ; [ 1 13],[ 1. 13.] ; [ 1. 13.],0
s8,1,1.0,0.0,[ 4 10] ; [ 4 10],[ 4. 10.] ; [ 4. 10.],0
u3,1,1.0,0.0,[2 2] ; [3 3],[2. 2.] ; [3. 3.],0
p12,1,1.0,0.0,[ 2 12] ; [ 2 12],[ 2. 12.] ; [ 2. 12.],0
