Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,2.7e-05,17.610059,[ 4 22] ; [22  9],[11.85964912 14.14035088] ; [14.14035088 16.85964912],1
p3,1,0.000923,10.975909,[ 7 19] ; [22  9],[13.22807018 12.77192982] ; [15.77192982 15.22807018],1
a3,1,0.002706,8.995622,[ 9 17] ; [23  8],[14.59649123 11.40350877] ; [17.40350877 13.59649123],0
s5,1,0.008202,6.988804,[ 5 20] ; [16 13],[ 9.72222222 15.27777778] ; [11.27777778 17.72222222],0
p9,1,0.00989,6.654566,[16 10] ; [28  3],[20.07017544  5.92982456] ; [23.92982456  7.07017544],0
d2,1,0.011591,6.372341,[ 5 21] ; [16 15],[ 9.57894737 16.42105263] ; [11.42105263 19.57894737],0
p10,1,0.012039,6.305158,[15 11] ; [27  4],[19.15789474  6.84210526] ; [22.84210526  8.15789474],0
p4,1,0.014503,5.975806,[13 13] ; [25  6],[17.33333333  8.66666667] ; [20.66666667 10.33333333],0
v3,1,0.023663,5.119163,[ 1 24] ; [ 8 22],[ 4.09090909 20.90909091] ; [ 4.90909091 25.09090909],0
n6,1,0.027765,4.842619,[12 13] ; [23  7],[15.90909091  9.09090909] ; [19.09090909 10.90909091],0
b5,1,0.029082,4.762757,[22  4] ; [18 13],[18.24561404  7.75438596] ; [21.75438596  9.24561404],0
r1,1,0.030321,4.691006,[12 14] ; [23  8],[15.96491228 10.03508772] ; [19.03508772 11.96491228],0
s6,1,0.055422,3.669347,[13 12] ; [23  7],[16.36363636  8.63636364] ; [19.63636364 10.36363636],0
a4,1,0.058434,3.581288,[ 7 19] ; [16 15],[10.49122807 15.50877193] ; [12.50877193 18.49122807],0
p1,1,0.068314,3.323077,[ 1 25] ; [ 6 24],[ 3.25 22.75] ; [ 3.75 26.25],0
u1,1,0.075596,3.157125,[ 1 25] ; [ 6 25],[ 3.19298246 22.80701754] ; [ 3.80701754 27.19298246],0
s8,1,0.088815,2.895726,[ 8 18] ; [16 14],[11.14285714 14.85714286] ; [12.85714286 17.14285714],0
a6,1,0.100133,2.703418,[12 14] ; [21 10],[15.05263158 10.94736842] ; [17.94736842 13.05263158],0
d3,1,0.128754,2.307459,[14 10] ; [24  7],[16.58181818  7.41818182] ; [21.41818182  9.58181818],0
v1,1,0.140382,2.173763,[ 8 17] ; [16 15],[10.71428571 14.28571429] ; [13.28571429 17.71428571],0
d5,1,0.162028,1.955197,[16  9] ; [25  6],[18.30357143  6.69642857] ; [22.69642857  8.30357143],0
r4,1,0.181583,1.784622,[19  7] ; [27  4],[20.98245614  5.01754386] ; [25.01754386  5.98245614],0
d4,1,0.1895,1.721503,[18  8] ; [26  5],[20.07017544  5.92982456] ; [23.92982456  7.07017544],0
s7,1,0.197715,1.65917,[ 9 17] ; [16 15],[11.40350877 14.59649123] ; [13.59649123 17.40350877],0
p12,1,0.228611,1.44948,[ 1 25] ; [ 4 27],[ 2.28070175 23.71929825] ; [ 2.71929825 28.28070175],0
s4,1,0.266273,1.235848,[ 8 18] ; [14 17],[10.03508772 15.96491228] ; [11.96491228 19.03508772],0
n1,1,0.285049,1.142857,[5 4] ; [ 5 10],[3.75 5.25] ; [6.25 8.75],0
s3,1,0.345901,0.888437,[11 15] ; [17 14],[12.77192982 13.22807018] ; [15.22807018 15.77192982],0
b4,1,0.369712,0.804632,[12 14] ; [18 13],[13.68421053 12.31578947] ; [16.31578947 14.68421053],0
a1,1,0.390661,0.736885,[ 1 25] ; [ 3 28],[ 1.8245614 24.1754386] ; [ 2.1754386 28.8245614],0
p8,1,0.45195,0.565757,[16 10] ; [22  9],[17.33333333  8.66666667] ; [20.66666667 10.33333333],0
a8,1,0.462433,0.54,[ 3 21] ; [ 2 28],[ 2.22222222 21.77777778] ; [ 2.77777778 27.22222222],0
a7,1,0.49648,0.462452,[19  6] ; [21 10],[17.85714286  7.14285714] ; [22.14285714  8.85714286],0
v2,1,0.592034,0.287179,[12 14] ; [16 14],[13. 13.] ; [15. 15.],0
n5,1,0.666417,0.185822,[11 15] ; [11 19],[10.21428571 15.78571429] ; [11.78571429 18.21428571],0
b3,1,0.71038,0.137898,[5 9] ; [ 8 11],[5.51515152 8.48484848] ; [ 7.48484848 11.51515152],0
b2,1,0.71038,0.137898,[5 9] ; [ 8 11],[5.51515152 8.48484848] ; [ 7.48484848 11.51515152],0
n3,1,0.743971,0.106667,[6 3] ; [9 6],[5.625 3.375] ; [9.375 5.625],0
p7,1,0.780007,0.078014,[21  4] ; [26  4],[21.36363636  3.63636364] ; [25.63636364  4.36363636],0
s2,1,0.79003,0.0709,[16 10] ; [18 13],[15.50877193 10.49122807] ; [18.49122807 12.50877193],0
p5,1,0.791874,0.069632,[ 2 24] ; [ 3 28],[ 2.28070175 23.71929825] ; [ 2.71929825 28.28070175],0
u2,1,0.818733,0.052521,[12  5] ; [6 2],[12.24  4.76] ; [5.76 2.24],0
r2,1,0.819619,0.052,[23  3] ; [28  3],[23.26315789  2.73684211] ; [27.73684211  3.26315789],0
r3,1,0.855078,0.033358,[24  2] ; [29  2],[24.1754386  1.8245614] ; [28.8245614  2.1754386],0
v4,1,0.855078,0.033358,[24  2] ; [29  2],[24.1754386  1.8245614] ; [28.8245614  2.1754386],0
p11,1,0.859894,0.031155,[19  7] ; [22  9],[18.70175439  7.29824561] ; [22.29824561  8.70175439],0
u3,1,0.861052,0.030637,[10  7] ; [5 3],[10.2  6.8] ; [4.8 3.2],0
n2,1,0.896743,0.016842,[7 2] ; [12  3],[7.125 1.875] ; [11.875  3.125],0
s1,1,0.899116,0.016073,[ 1 25] ; [ 1 30],[ 0.9122807 25.0877193] ; [ 1.0877193 29.9122807],0
b1,1,0.903437,0.014719,[13 13] ; [16 15],[13.22807018 12.77192982] ; [15.77192982 15.22807018],0
p2,1,0.964524,0.001978,[20  6] ; [24  7],[20.07017544  5.92982456] ; [23.92982456  7.07017544],0
