Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,9.4e-05,15.253941,[ 4 71] ; [10 19],[10.09615385 64.90384615] ; [ 3.90384615 25.09615385],1
s8,1,0.001306,10.333411,[ 4 72] ; [ 8 21],[ 8.68571429 67.31428571] ; [ 3.31428571 25.68571429],0
s5,1,0.016133,5.788339,[ 7 69] ; [ 8 21],[10.85714286 65.14285714] ; [ 4.14285714 24.85714286],0
s7,1,0.025792,4.96988,[ 8 64] ; [ 8 19],[11.63636364 60.36363636] ; [ 4.36363636 22.63636364],0
d4,1,0.035117,4.439487,[49 26] ; [25  4],[53.36538462 21.63461538] ; [20.63461538  8.36538462],0
n2,1,0.044094,4.052949,[15 17] ; [9 2],[17.86046512 14.13953488] ; [6.13953488 4.86046512],0
u3,1,0.051638,3.787461,[15 23] ; [8 3],[17.83673469 20.16326531] ; [5.16326531 5.83673469],0
v2,1,0.062722,3.4639,[26 48] ; [16 13],[30.17475728 43.82524272] ; [11.82524272 17.17475728],0
p4,1,0.084513,2.975907,[19 56] ; [12 16],[22.57281553 52.42718447] ; [ 8.42718447 19.57281553],0
d3,1,0.103144,2.656239,[39 37] ; [20  9],[42.7047619 33.2952381] ; [16.2952381 12.7047619],0
v1,1,0.106886,2.599664,[17 59] ; [11 18],[20.26666667 55.73333333] ; [ 7.73333333 21.26666667],0
a1,1,0.140739,2.16986,[ 4 72] ; [ 4 25],[ 5.79047619 70.20952381] ; [ 2.20952381 26.79047619],0
n6,1,0.149628,2.076038,[45 29] ; [22  7],[48.13592233 25.86407767] ; [18.86407767 10.13592233],0
s4,1,0.162027,1.955202,[ 6 70] ; [ 5 24],[ 7.96190476 68.03809524] ; [ 3.03809524 25.96190476],0
b5,1,0.190707,1.712145,[39 37] ; [19 10],[41.98095238 34.01904762] ; [16.01904762 12.98095238],0
r3,1,0.194929,1.679963,[52 22] ; [24  5],[54.60194175 19.39805825] ; [21.39805825  7.60194175],0
v3,1,0.206534,1.595557,[17 56] ; [10 18],[19.51485149 53.48514851] ; [ 7.48514851 20.51485149],0
s1,1,0.213334,1.548656,[ 3 72] ; [ 3 26],[ 4.32692308 70.67307692] ; [ 1.67307692 27.32692308],0
b4,1,0.231179,1.433595,[49 27] ; [15 14],[46.32380952 29.67619048] ; [17.67619048 11.32380952],0
u1,1,0.247494,1.337396,[ 7 69] ; [ 5 24],[ 8.68571429 67.31428571] ; [ 3.31428571 25.68571429],0
b1,1,0.267709,1.228448,[38 38] ; [18 11],[40.53333333 35.46666667] ; [15.46666667 13.53333333],0
a3,1,0.295569,1.094078,[38 37] ; [18 11],[40.38461538 34.61538462] ; [15.61538462 13.38461538],0
a2,1,0.320452,0.9871,[12 64] ; [ 7 22],[13.75238095 62.24761905] ; [ 5.24761905 23.75238095],0
a7,1,0.37102,0.800246,[44 30] ; [20  9],[45.98058252 28.01941748] ; [18.01941748 10.98058252],0
d2,1,0.399426,0.710055,[34 40] ; [16 13],[35.9223301 38.0776699] ; [14.0776699 14.9223301],0
p1,1,0.406097,0.6902,[ 6 69] ; [ 1 28],[ 5.04807692 69.95192308] ; [ 1.95192308 27.04807692],0
p2,1,0.429051,0.625392,[38 38] ; [12 17],[36.19047619 39.80952381] ; [13.80952381 15.19047619],0
a8,1,0.437583,0.602611,[ 6 65] ; [ 1 25],[ 5.12371134 65.87628866] ; [ 1.87628866 24.12371134],0
r1,1,0.442145,0.590709,[50 25] ; [17 12],[48.31730769 26.68269231] ; [18.68269231 10.31730769],0
p11,1,0.45328,0.562437,[35 41] ; [11 18],[33.2952381 42.7047619] ; [12.7047619 16.2952381],0
p7,1,0.469905,0.5222,[25 49] ; [12 17],[26.58252427 47.41747573] ; [10.41747573 18.58252427],0
p5,1,0.474765,0.510865,[ 1 75] ; [ 1 28],[ 1.44761905 74.55238095] ; [ 0.55238095 28.44761905],0
r4,1,0.475933,0.508167,[44 32] ; [19 10],[45.6 30.4] ; [17.4 11.6],0
n4,1,0.483107,0.491841,[47 28] ; [16 13],[45.43269231 29.56730769] ; [17.56730769 11.43269231],0
n3,1,0.491251,0.473785,[16 15] ; [7 4],[16.97619048 14.02380952] ; [6.02380952 4.97619048],0
p10,1,0.523395,0.407198,[15 61] ; [ 4 24],[13.88461538 62.11538462] ; [ 5.11538462 22.88461538],0
a5,1,0.581761,0.303396,[40 36] ; [17 12],[41.25714286 34.74285714] ; [15.74285714 13.25714286],0
u2,1,0.5914,0.288163,[15 22] ; [5 5],[15.74468085 21.25531915] ; [4.25531915 5.74468085],0
p6,1,0.629522,0.232709,[10 64] ; [ 5 24],[10.77669903 63.22330097] ; [ 4.22330097 24.77669903],0
