Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,5.4e-05,16.289476,[ 4 30] ; [7 2],[ 8.69767442 25.30232558] ; [2.30232558 6.69767442],1
p2,1,0.000633,11.676392,[ 7 26] ; [8 2],[11.51162791 21.48837209] ; [3.48837209 6.51162791],1
s3,1,0.000633,11.676392,[ 7 26] ; [8 2],[11.51162791 21.48837209] ; [3.48837209 6.51162791],1
p3,1,0.001424,10.174398,[ 6 28] ; [7 3],[10.04545455 23.95454545] ; [2.95454545 7.04545455],0
v2,1,0.019301,5.474064,[ 7 26] ; [6 4],[ 9.97674419 23.02325581] ; [3.02325581 6.97674419],0
p6,1,0.023313,5.145,[ 3 29] ; [4 6],[ 5.33333333 26.66666667] ; [1.66666667 8.33333333],0
p4,1,0.029508,4.737703,[ 8 26] ; [6 4],[10.81818182 23.18181818] ; [3.18181818 6.81818182],0
d3,1,0.030894,4.658824,[14 20] ; [8 2],[17. 17.] ; [5. 5.],0
r3,1,0.0373,4.336665,[14 19] ; [8 2],[16.88372093 16.11627907] ; [5.11627907 4.88372093],0
n6,1,0.0373,4.336665,[14 19] ; [8 2],[16.88372093 16.11627907] ; [5.11627907 4.88372093],0
p10,1,0.060605,3.520754,[12 21] ; [7 3],[14.58139535 18.41860465] ; [4.41860465 5.58139535],0
s8,1,0.086282,2.942415,[ 3 31] ; [3 7],[ 4.63636364 29.36363636] ; [1.36363636 8.63636364],0
s5,1,0.143171,2.143541,[ 2 31] ; [2 7],[ 3.14285714 29.85714286] ; [0.85714286 8.14285714],0
p7,1,0.160237,1.971989,[ 9 25] ; [5 5],[10.81818182 23.18181818] ; [3.18181818 6.81818182],0
b3,1,0.160506,1.969449,[10 13] ; [1 6],[ 8.43333333 14.56666667] ; [2.56666667 4.43333333],0
b2,1,0.160506,1.969449,[10 13] ; [1 6],[ 8.43333333 14.56666667] ; [2.56666667 4.43333333],0
p9,1,0.201224,1.633466,[15 17] ; [7 3],[16.76190476 15.23809524] ; [5.23809524 4.76190476],0
v1,1,0.232915,1.422968,[ 7 26] ; [4 6],[ 8.44186047 24.55813953] ; [2.55813953 7.44186047],0
a6,1,0.26419,1.246667,[17 17] ; [7 3],[18.54545455 15.45454545] ; [5.45454545 4.54545455],0
p11,1,0.293321,1.104314,[14 20] ; [6 4],[15.45454545 18.54545455] ; [4.54545455 5.45454545],0
s7,1,0.326134,0.964187,[ 6 27] ; [3 6],[ 7.07142857 25.92857143] ; [1.92857143 7.07142857],0
b5,1,0.338394,0.916508,[18 16] ; [7 3],[19.31818182 14.68181818] ; [5.68181818 4.31818182],0
d5,1,0.338394,0.916508,[18 16] ; [7 3],[19.31818182 14.68181818] ; [5.68181818 4.31818182],0
a3,1,0.338394,0.916508,[18 16] ; [7 3],[19.31818182 14.68181818] ; [5.68181818 4.31818182],0
u2,1,0.363823,0.824653,[ 2 14] ; [1 2],[ 2.52631579 13.47368421] ; [0.47368421 2.52631579],0
b1,1,0.376746,0.781293,[19 15] ; [4 6],[17.77272727 16.22727273] ; [5.22727273 4.77272727],0
a2,1,0.504721,0.444995,[ 4 30] ; [2 8],[ 4.63636364 29.36363636] ; [1.36363636 8.63636364],0
d1,1,0.50595,0.442433,[13 21] ; [5 5],[13.90909091 20.09090909] ; [4.09090909 5.90909091],0
d2,1,0.52336,0.407267,[17 16] ; [4 6],[16.11627907 16.88372093] ; [4.88372093 5.11627907],0
s4,1,0.561119,0.33777,[ 6 28] ; [1 9],[ 5.40909091 28.59090909] ; [1.59090909 8.40909091],0
v3,1,0.56444,0.332075,[ 7 26] ; [3 7],[ 7.6744186 25.3255814] ; [2.3255814 7.6744186],0
a5,1,0.577845,0.309731,[17 17] ; [6 4],[17.77272727 16.22727273] ; [5.22727273 4.77272727],0
p8,1,0.613893,0.254545,[ 5 28] ; [2 7],[ 5.5 27.5] ; [1.5 7.5],0
u1,1,0.649749,0.206217,[ 2 32] ; [1 9],[ 2.31818182 31.68181818] ; [0.68181818 9.31818182],0
n4,1,0.653827,0.201109,[23 11] ; [6 4],[22.40909091 11.59090909] ; [6.59090909 3.40909091],0
a8,1,0.687423,0.16189,[ 5 29] ; [2 8],[ 5.40909091 28.59090909] ; [1.59090909 8.40909091],0
a7,1,0.693527,0.155294,[16 18] ; [4 6],[15.45454545 18.54545455] ; [4.54545455 5.45454545],0
r4,1,0.703064,0.145304,[ 5 29] ; [1 9],[ 4.63636364 29.36363636] ; [1.36363636 8.63636364],0
b4,1,0.756206,0.096389,[22 12] ; [7 3],[22.40909091 11.59090909] ; [6.59090909 3.40909091],0
r2,1,0.929299,0.007873,[15 16] ; [5 5],[15.12195122 15.87804878] ; [4.87804878 5.12195122],0
d4,1,0.946967,0.004424,[20 14] ; [6 4],[20.09090909 13.90909091] ; [5.90909091 4.09090909],0
n5,1,0.97141,0.001284,[24 10] ; [7 3],[23.95454545 10.04545455] ; [7.04545455 2.95454545],0
a4,1,0.985417,0.000334,[10 23] ; [3 7],[ 9.97674419 23.02325581] ; [3.02325581 6.97674419],0
