Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,3e-06,21.779996,[13 35] ; [63 29],[26.05714286 21.94285714] ; [49.94285714 42.05714286],1
a4,1,1.7e-05,18.470499,[ 5 43] ; [43 49],[16.45714286 31.54285714] ; [31.54285714 60.45714286],1
d2,1,2e-05,18.172437,[ 7 41] ; [47 44],[18.64748201 29.35251799] ; [35.35251799 55.64748201],1
v3,1,0.000968,10.887466,[ 7 39] ; [38 49],[15.56390977 30.43609023] ; [29.43609023 57.56390977],1
a3,1,0.001725,9.821448,[18 30] ; [60 32],[26.74285714 21.25714286] ; [51.25714286 40.74285714],0
d5,1,0.002229,9.350965,[29 18] ; [78 14],[36.17985612 10.82014388] ; [70.82014388 21.17985612],0
u1,1,0.004146,8.218539,[ 1 47] ; [18 74],[ 6.51428571 41.48571429] ; [12.48571429 79.51428571],0
d4,1,0.008875,6.847826,[36 12] ; [84  8],[41.14285714  6.85714286] ; [78.85714286 13.14285714],0
p3,1,0.011703,6.355378,[13 34] ; [46 46],[19.94964029 27.05035971] ; [39.05035971 52.94964029],0
p4,1,0.029471,4.739916,[20 27] ; [57 35],[26.03597122 20.96402878] ; [50.96402878 41.03597122],0
b2,1,0.034627,4.463487,[ 4 22] ; [17 26],[ 7.91304348 18.08695652] ; [13.08695652 29.91304348],0
b3,1,0.034627,4.463487,[ 4 22] ; [17 26],[ 7.91304348 18.08695652] ; [13.08695652 29.91304348],0
s5,1,0.046835,3.95132,[11 36] ; [36 53],[16.24264706 30.75735294] ; [30.75735294 58.24264706],0
a6,1,0.047472,3.928579,[27 21] ; [67 25],[32.22857143 15.77142857] ; [61.77142857 30.22857143],0
s8,1,0.047853,3.915132,[ 9 39] ; [32 60],[14.05714286 33.94285714] ; [26.94285714 65.05714286],0
p7,1,0.083754,2.990506,[31 14] ; [48 42],[26.33333333 18.66666667] ; [52.66666667 37.33333333],0
r1,1,0.098976,2.721968,[30 18] ; [69 22],[34.18705036 13.81294964] ; [64.81294964 26.18705036],0
p8,1,0.121264,2.400918,[17 30] ; [46 46],[21.30215827 25.69784173] ; [41.69784173 50.30215827],0
r4,1,0.13242,2.263899,[39  9] ; [83  9],[41.82857143  6.17142857] ; [80.17142857 11.82857143],0
p2,1,0.139556,2.182854,[33 13] ; [76 16],[36.33333333  9.66666667] ; [72.66666667 19.33333333],0
p12,1,0.140158,2.176224,[ 2 45] ; [11 81],[ 4.39568345 42.60431655] ; [ 8.60431655 83.39568345],0
v2,1,0.142272,2.153209,[19 27] ; [46 38],[23. 23.] ; [42. 42.],0
b1,1,0.151772,2.054348,[21 27] ; [29 63],[17.14285714 30.85714286] ; [32.85714286 59.14285714],0
a8,1,0.154952,2.02281,[ 7 37] ; [ 7 82],[ 4.63157895 39.36842105] ; [ 9.36842105 79.63157895],0
p9,1,0.18205,1.780808,[34 12] ; [76 15],[36.93430657  9.06569343] ; [73.06569343 17.93430657],0
v1,1,0.222974,1.485131,[21 26] ; [49 39],[24.37037037 22.62962963] ; [45.62962963 42.37037037],0
r2,1,0.23842,1.38991,[42  6] ; [85  6],[43.85611511  4.14388489] ; [83.14388489  7.85611511],0
a7,1,0.24857,1.331323,[33 13] ; [74 18],[35.66666667 10.33333333] ; [71.33333333 20.66666667],0
p10,1,0.281246,1.161058,[35 11] ; [77 15],[37.33333333  8.66666667] ; [74.66666667 17.33333333],0
