Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,4e-06,21.128286,[40  8] ; [32 45],[27.648 20.352] ; [44.352 32.648],1
d1,1,1.2e-05,19.139695,[30 20] ; [17 61],[18.359375 31.640625] ; [28.640625 49.359375],1
d5,1,0.000157,14.284715,[41  9] ; [38 40],[30.859375 19.140625] ; [48.140625 29.859375],1
s6,1,0.000195,13.874819,[28 21] ; [19 59],[18.13385827 30.86614173] ; [28.86614173 49.13385827],1
v1,1,0.003334,8.614987,[23 24] ; [18 59],[15.54032258 31.45967742] ; [25.45967742 51.54032258],0
p11,1,0.003748,8.402051,[33 17] ; [31 47],[25. 25.] ; [39. 39.],0
v3,1,0.007889,7.058473,[17 33] ; [11 67],[10.9375 39.0625] ; [17.0625 60.9375],0
d4,1,0.011127,6.4449,[39 10] ; [45 33],[32.40944882 16.59055118] ; [51.59055118 26.40944882],0
d3,1,0.024382,5.067245,[31 19] ; [32 45],[24.80314961 25.19685039] ; [38.19685039 38.80314961],0
s2,1,0.02474,5.041972,[22 27] ; [20 58],[16.20472441 32.79527559] ; [25.79527559 52.20472441],0
d2,1,0.030596,4.675514,[24 25] ; [23 54],[18.27777778 30.72222222] ; [28.72222222 48.27777778],0
a7,1,0.037935,4.307935,[30 19] ; [33 45],[24.30708661 24.69291339] ; [38.69291339 39.30708661],0
s5,1,0.052855,3.748484,[12 36] ; [ 9 68],[ 8.064 39.936] ; [12.936 64.064],0
n3,1,0.055812,3.657658,[14  7] ; [15 22],[10.5 10.5] ; [18.5 18.5],0
a3,1,0.06345,3.444822,[34 16] ; [39 37],[28.96825397 21.03174603] ; [44.03174603 31.96825397],0
v4,1,0.066589,3.365169,[33 13] ; [43 35],[28.19354839 17.80645161] ; [47.80645161 30.19354839],0
s8,1,0.083484,2.995726,[14 36] ; [12 66],[10.15625 39.84375] ; [15.84375 62.15625],0
n1,1,0.11282,2.514266,[ 4 18] ; [14 23],[ 6.71186441 15.28813559] ; [11.28813559 25.71186441],0
a5,1,0.126185,2.338822,[30 20] ; [36 42],[25.78125 24.21875] ; [40.21875 37.78125],0
a4,1,0.133941,2.246223,[20 30] ; [21 56],[16.14173228 33.85826772] ; [24.85826772 52.14173228],0
b2,1,0.137855,2.201736,[ 6 23] ; [18 31],[ 8.92307692 20.07692308] ; [15.07692308 33.92307692],0
b3,1,0.137855,2.201736,[ 6 23] ; [18 31],[ 8.92307692 20.07692308] ; [15.07692308 33.92307692],0
b5,1,0.141347,2.163235,[31 19] ; [38 40],[26.953125 23.046875] ; [42.046875 35.953125],0
n4,1,0.173193,1.85509,[33 17] ; [42 36],[29.296875 20.703125] ; [45.703125 32.296875],0
b4,1,0.183313,1.770562,[31 19] ; [39 39],[27.34375 22.65625] ; [42.65625 35.34375],0
p6,1,0.193643,1.689678,[12 36] ; [12 65],[ 9.216 38.784] ; [14.784 62.216],0
n2,1,0.205835,1.600478,[15  7] ; [19 18],[12.6779661  9.3220339] ; [21.3220339 15.6779661],0
u3,1,0.207821,1.586541,[7 9] ; [10 28],[ 5.03703704 10.96296296] ; [11.96296296 26.03703704],0
n6,1,0.247719,1.336123,[30 18] ; [40 37],[26.88 21.12] ; [43.12 33.88],0
a2,1,0.249065,1.328539,[ 7 43] ; [ 6 72],[ 5.078125 44.921875] ; [ 7.921875 70.078125],0
p7,1,0.329889,0.949335,[21 28] ; [26 50],[18.424 30.576] ; [28.576 47.424],0
r1,1,0.345885,0.888498,[15 34] ; [18 60],[12.73228346 36.26771654] ; [20.26771654 57.73228346],0
s7,1,0.364405,0.822655,[17 28] ; [22 52],[14.74789916 30.25210084] ; [24.25210084 49.74789916],0
r2,1,0.393905,0.726853,[27 17] ; [40 35],[24.77310924 19.22689076] ; [42.22689076 32.77310924],0
p1,1,0.401871,0.702721,[ 3 47] ; [ 8 70],[ 4.296875 45.703125] ; [ 6.703125 71.296875],0
s4,1,0.419753,0.651006,[ 8 42] ; [17 61],[ 9.765625 40.234375] ; [15.234375 62.765625],0
p9,1,0.445019,0.583307,[28 20] ; [39 37],[25.93548387 22.06451613] ; [41.06451613 34.93548387],0
s3,1,0.486843,0.483496,[19 28] ; [26 50],[17.19512195 29.80487805] ; [27.80487805 48.19512195],0
u1,1,0.512551,0.428855,[ 4 46] ; [ 4 74],[ 3.125 46.875] ; [ 4.875 73.125],0
a1,1,0.517895,0.418083,[ 4 46] ; [ 9 69],[ 5.078125 44.921875] ; [ 7.921875 70.078125],0
p4,1,0.531031,0.392418,[18 30] ; [25 53],[16.38095238 31.61904762] ; [26.61904762 51.38095238],0
p8,1,0.584997,0.298225,[12 36] ; [23 55],[13.33333333 34.66666667] ; [21.66666667 56.33333333],0
p2,1,0.69354,0.15528,[30 19] ; [45 33],[28.93700787 20.06299213] ; [46.06299213 31.93700787],0
p12,1,0.738125,0.111781,[ 1 48] ; [ 1 77],[ 0.77165354 48.22834646] ; [ 1.22834646 76.77165354],0
p10,1,0.766316,0.088326,[25 23] ; [38 39],[24.192 23.808] ; [38.808 38.192],0
a6,1,0.777018,0.080207,[25 25] ; [37 41],[24.21875 25.78125] ; [37.78125 40.21875],0
p3,1,0.811552,0.056846,[12 36] ; [21 57],[12.57142857 35.42857143] ; [20.42857143 57.57142857],0
u2,1,0.905036,0.014233,[6 8] ; [16 23],[5.81132075 8.18867925] ; [16.18867925 22.81132075],0
s1,1,0.925464,0.008752,[ 3 47] ; [ 5 73],[ 3.125 46.875] ; [ 4.875 73.125],0
n5,1,0.944741,0.004804,[29 19] ; [47 30],[29.184 18.816] ; [46.816 30.184],0
b1,1,0.950289,0.003887,[26 24] ; [41 37],[26.171875 23.828125] ; [40.828125 37.171875],0
a8,1,0.975155,0.00097,[ 3 43] ; [ 5 70],[ 3.04132231 42.95867769] ; [ 4.95867769 70.04132231],0
