Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,78.907892,[136   1] ; [41 40],[111.23394495  25.76605505] ; [65.76605505 15.23394495],1
d3,1,0.0,71.186755,[119  18] ; [25 56],[90.49541284 46.50458716] ; [53.50458716 27.49541284],1
d5,1,0.0,57.178403,[134   3] ; [47 34],[113.74770642  23.25229358] ; [67.25229358 13.74770642],1
d2,1,0.0,44.884781,[101  36] ; [22 59],[77.29816514 59.70183486] ; [45.70183486 35.29816514],1
a4,1,1e-06,25.064575,[80 57] ; [19 62],[62.21559633 74.78440367] ; [36.78440367 44.21559633],1
a2,1,1e-06,24.824326,[55 82] ; [ 7 74],[38.96330275 98.03669725] ; [23.03669725 57.96330275],1
u1,1,7e-06,20.068846,[39 98] ; [ 3 78],[ 26.39449541 110.60550459] ; [15.60550459 65.39449541],1
a5,1,0.000123,14.752182,[116  21] ; [50 31],[104.32110092  32.67889908] ; [61.67889908 19.32110092],1
a7,1,0.001393,10.215405,[106  31] ; [46 35],[95.52293578 41.47706422] ; [56.47706422 24.52293578],0
n4,1,0.001538,10.032442,[114  22] ; [52 28],[104.51851852  31.48148148] ; [61.48148148 18.51851852],0
b5,1,0.001826,9.716711,[92 45] ; [37 44],[81.06880734 55.93119266] ; [47.93119266 33.06880734],0
r2,1,0.002127,9.43673,[133   3] ; [70 10],[127.81481481   8.18518519] ; [75.18518519  4.81481481],0
v3,1,0.008744,6.874308,[69 57] ; [28 50],[59.91176471 66.08823529] ; [37.08823529 40.91176471],0
a6,1,0.011737,6.350222,[102  35] ; [47 34],[93.63761468 43.36238532] ; [55.36238532 25.63761468],0
n5,1,0.014881,5.930472,[109  25] ; [54 27],[101.59069767  32.40930233] ; [61.40930233 19.59069767],0
r1,1,0.016365,5.763278,[124  12] ; [63 16],[118.28837209  17.71162791] ; [68.71162791 10.28837209],0
v4,1,0.055422,3.669334,[134   2] ; [75  5],[131.59259259   4.40740741] ; [77.40740741  2.59259259],0
p4,1,0.060264,3.5301,[80 56] ; [37 44],[73.32718894 62.67281106] ; [43.67281106 37.32718894],0
s2,1,0.069713,3.289771,[98 36] ; [49 31],[92.04672897 41.95327103] ; [54.95327103 25.04672897],0
p3,1,0.091619,2.845696,[72 65] ; [33 48],[65.98623853 71.01376147] ; [39.01376147 41.98623853],0
n2,1,0.09318,2.818554,[24 11] ; [21  3],[26.69491525  8.30508475] ; [18.30508475  5.69491525],0
v2,1,0.094814,2.790681,[82 49] ; [38 37],[76.31067961 54.68932039] ; [43.68932039 31.31067961],0
u2,1,0.137564,2.205,[19  6] ; [11  9],[16.66666667  8.33333333] ; [13.33333333  6.66666667],0
p12,1,0.166484,1.914319,[ 14 122] ; [ 4 77],[ 11.28110599 124.71889401] ; [ 6.71889401 74.28110599],0
p11,1,0.179426,1.802369,[112  25] ; [60 21],[108.09174312  28.90825688] ; [63.90825688 17.09174312],0
