Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,48.645032,[ 25 113] ; [167 146],[58.74944568 79.25055432] ; [133.25055432 179.74944568],1
d2,1,0.0,46.360629,[ 32 107] ; [181 133],[65.35761589 73.64238411] ; [147.64238411 166.35761589],1
d1,1,0.0,45.981787,[41 98] ; [202 114],[74.23516484 64.76483516] ; [168.76483516 147.23516484],1
a3,1,0.0,40.569209,[64 73] ; [243  72],[93.05088496 43.94911504] ; [213.94911504 101.05088496],1
d5,1,0.0,26.629777,[87 52] ; [266  49],[108.07709251  30.92290749] ; [244.92290749  70.07709251],1
u1,1,1e-06,25.184534,[  4 135] ; [ 68 248],[ 21.9956044 117.0043956] ; [ 50.0043956 265.9956044],1
a6,1,1e-06,23.633672,[72 67] ; [236  79],[94.29955947 44.70044053] ; [213.70044053 101.29955947],1
d4,1,1e-06,23.185988,[85 53] ; [260  55],[105.09933775  32.90066225] ; [239.90066225  75.09933775],1
r1,1,4e-06,21.330575,[84 54] ; [256  59],[103.57615894  34.42384106] ; [236.42384106  78.57615894],1
d3,1,9.4e-05,15.247109,[69 69] ; [218  97],[87.43046358 50.56953642] ; [199.56953642 115.43046358],1
n4,1,0.000926,10.970467,[107  32] ; [281  35],[118.53186813  20.46813187] ; [269.46813187  46.53186813],1
p4,1,0.003975,8.295312,[64 74] ; [192 123],[77.98675497 60.01324503] ; [178.01324503 136.98675497],0
p11,1,0.004888,7.920573,[97 42] ; [258  58],[108.45054945  30.54945055] ; [246.54945055  69.45054945],0
s7,1,0.007639,7.116253,[43 89] ; [139 161],[55.61111111 76.38888889] ; [126.38888889 173.61111111],0
p9,1,0.008498,6.925339,[102  35] ; [264  47],[111.92410714  25.07589286] ; [254.07589286  56.92410714],0
p3,1,0.01088,6.484743,[50 89] ; [153 160],[62.42699115 76.57300885] ; [140.57300885 172.42699115],0
r4,1,0.01267,6.214636,[107  32] ; [273  43],[116.08791209  22.91208791] ; [263.91208791  52.08791209],0
r2,1,0.014058,6.030878,[118  19] ; [292  21],[124.82222222  12.17777778] ; [285.17777778  27.82222222],0
a7,1,0.017564,5.63916,[86 52] ; [232  84],[96.66079295 41.33920705] ; [221.33920705  94.66079295],0
n6,1,0.02319,5.154252,[110  28] ; [276  38],[117.84955752  20.15044248] ; [268.15044248  45.84955752],0
v4,1,0.023639,5.120912,[119  18] ; [295  21],[125.20529801  11.79470199] ; [288.79470199  27.20529801],0
p10,1,0.023709,5.115767,[99 38] ; [255  57],[108.01336303  28.98663697] ; [245.98663697  66.01336303],0
p8,1,0.036233,4.386085,[56 81] ; [159 149],[66.19101124 70.80898876] ; [148.80898876 159.19101124],0
s8,1,0.053864,3.716903,[42 97] ; [125 190],[51.12995595 87.87004405] ; [115.87004405 199.12995595],0
v1,1,0.065975,3.380437,[62 74] ; [169 138],[70.91647856 65.08352144] ; [160.08352144 146.91647856],0
r3,1,0.066934,3.356642,[120  18] ; [291  24],[125.20529801  12.79470199] ; [285.79470199  29.20529801],0
v2,1,0.094331,2.798865,[60 70] ; [168 138],[67.98165138 62.01834862] ; [160.01834862 145.98165138],0
p2,1,0.110145,2.552138,[103  36] ; [252  60],[109.41241685  29.58758315] ; [245.58758315  66.41241685],0
a1,1,0.129245,2.301545,[  4 135] ; [ 20 296],[  7.33186813 131.66813187] ; [ 16.66813187 299.33186813],0
s4,1,0.223979,1.478695,[ 19 119] ; [ 31 283],[ 15.26548673 122.73451327] ; [ 34.73451327 279.26548673],0
n3,1,0.228358,1.451057,[20 15] ; [51 23],[22.79816514 12.20183486] ; [48.20183486 25.79816514],0
a8,1,0.265435,1.240186,[ 15 111] ; [ 46 239],[ 18.70072993 107.29927007] ; [ 42.29927007 242.70072993],0
s3,1,0.289513,1.121886,[72 65] ; [148 166],[66.82926829 70.17073171] ; [153.17073171 160.82926829],0
v3,1,0.309,1.034944,[48 89] ; [122 182],[52.81179138 84.18820862] ; [117.18820862 186.81179138],0
p5,1,0.314197,1.012952,[ 12 126] ; [ 19 293],[  9.50666667 128.49333333] ; [ 21.49333333 290.50666667],0
u2,1,0.363267,0.826569,[35 39] ; [40 33],[37.75510204 36.24489796] ; [37.24489796 35.75510204],0
p12,1,0.378392,0.775919,[  6 133] ; [ 20 292],[  8.01330377 130.98669623] ; [ 17.98669623 294.01330377],0
n2,1,0.387891,0.745543,[22 13] ; [54 22],[23.96396396 11.03603604] ; [52.03603604 23.96396396],0
u3,1,0.4134,0.669002,[34 41] ; [38 35],[36.48648649 38.51351351] ; [35.51351351 37.48648649],0
b2,1,0.426084,0.633474,[27 52] ; [ 79 122],[29.90714286 49.09285714] ; [ 76.09285714 124.90714286],0
