Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3e-06,21.612935,[44  9] ; [30 42],[31.376 21.624] ; [42.624 29.376],1
s8,1,0.000131,14.622123,[24 30] ; [10 62],[14.57142857 39.42857143] ; [19.42857143 52.57142857],1
r1,1,0.000856,11.115836,[48  6] ; [45 27],[39.85714286 14.14285714] ; [53.14285714 18.85714286],1
s7,1,0.004226,8.184029,[22 27] ; [14 55],[14.94915254 34.05084746] ; [21.05084746 47.94915254],0
p7,1,0.008607,6.902547,[47  7] ; [48 24],[40.71428571 13.28571429] ; [54.28571429 17.71428571],0
n4,1,0.010046,6.626748,[50  4] ; [54 18],[44.57142857  9.42857143] ; [59.42857143 12.57142857],0
v1,1,0.011749,6.348397,[37 16] ; [34 38],[30.104 22.896] ; [40.896 31.104],0
n5,1,0.011898,6.326002,[46  8] ; [47 25],[39.85714286 14.14285714] ; [53.14285714 18.85714286],0
p10,1,0.022151,5.233846,[48  6] ; [52 20],[42.85714286 11.14285714] ; [57.14285714 14.85714286],0
p11,1,0.023602,5.123681,[49  5] ; [54 18],[44.14285714  9.85714286] ; [58.85714286 13.14285714],0
p5,1,0.036131,4.390909,[ 8 46] ; [ 3 69],[ 4.71428571 49.28571429] ; [ 6.28571429 65.71428571],0
r4,1,0.037149,4.343581,[50  4] ; [57 15],[45.85714286  8.14285714] ; [61.14285714 10.85714286],0
p2,1,0.053337,3.733333,[49  5] ; [56 16],[45.  9.] ; [60. 12.],0
b5,1,0.070076,3.28125,[25 29] ; [45 27],[30. 24.] ; [40. 32.],0
v4,1,0.072988,3.214513,[53  1] ; [65  7],[50.57142857  3.42857143] ; [67.42857143  4.57142857],0
r3,1,0.12806,2.315861,[51  3] ; [62 10],[48.42857143  5.57142857] ; [64.57142857  7.42857143],0
b2,1,0.140672,2.170594,[21 20] ; [14 26],[17.71604938 23.28395062] ; [17.28395062 22.71604938],0
b3,1,0.140672,2.170594,[21 20] ; [14 26],[17.71604938 23.28395062] ; [17.28395062 22.71604938],0
p6,1,0.143332,2.141817,[24 29] ; [23 48],[20.08870968 32.91129032] ; [26.91129032 44.08870968],0
u1,1,0.150625,2.065912,[11 43] ; [ 8 64],[ 8.14285714 45.85714286] ; [10.85714286 61.14285714],0
p1,1,0.152647,2.045602,[10 44] ; [ 7 65],[ 7.28571429 46.71428571] ; [ 9.71428571 62.28571429],0
p8,1,0.164889,1.928804,[38 16] ; [42 30],[34.28571429 19.71428571] ; [45.71428571 26.28571429],0
a5,1,0.169645,1.886078,[44 10] ; [51 21],[40.71428571 13.28571429] ; [54.28571429 17.71428571],0
s2,1,0.203737,1.615385,[14 40] ; [12 60],[11.14285714 42.85714286] ; [14.85714286 57.14285714],0
p9,1,0.220489,1.501188,[46  8] ; [55 17],[43.28571429 10.71428571] ; [57.71428571 14.28571429],0
d1,1,0.235866,1.405135,[32 22] ; [35 37],[28.71428571 25.28571429] ; [38.28571429 33.71428571],0
s5,1,0.251369,1.315678,[12 42] ; [10 60],[ 9.58064516 44.41935484] ; [12.41935484 57.58064516],0
u2,1,0.260681,1.265138,[9 7] ; [10 16],[7.23809524 8.76190476] ; [11.76190476 14.23809524],0
s4,1,0.274272,1.195257,[ 3 51] ; [ 8 64],[ 4.71428571 49.28571429] ; [ 6.28571429 65.71428571],0
r2,1,0.274272,1.195257,[51  3] ; [64  8],[49.28571429  4.71428571] ; [65.71428571  6.28571429],0
a3,1,0.358073,0.844639,[38 15] ; [46 26],[35.616 17.384] ; [48.384 23.616],0
a4,1,0.404552,0.694753,[25 29] ; [28 44],[22.71428571 31.28571429] ; [30.28571429 41.71428571],0
a1,1,0.429272,0.624793,[ 3 51] ; [ 2 70],[ 2.14285714 51.85714286] ; [ 2.85714286 69.14285714],0
s1,1,0.4633,0.53791,[ 1 53] ; [ 3 69],[ 1.71428571 52.28571429] ; [ 2.28571429 69.71428571],0
a7,1,0.478334,0.50266,[42 12] ; [52 20],[40.28571429 13.71428571] ; [53.71428571 18.28571429],0
a8,1,0.515661,0.422562,[ 6 39] ; [ 6 58],[ 4.95412844 40.04587156] ; [ 7.04587156 56.95412844],0
a2,1,0.561664,0.336832,[12 42] ; [13 59],[10.71428571 43.28571429] ; [14.28571429 57.71428571],0
b1,1,0.569789,0.323036,[26 28] ; [31 41],[24.42857143 29.57142857] ; [32.57142857 39.42857143],0
d2,1,0.605853,0.266258,[23 31] ; [27 44],[21.6 32.4] ; [28.4 42.6],0
p4,1,0.614038,0.254336,[39 15] ; [49 23],[37.71428571 16.28571429] ; [50.28571429 21.71428571],0
n6,1,0.662717,0.19024,[45  9] ; [57 14],[44.064  9.936] ; [57.936 13.064],0
u3,1,0.693696,0.155114,[9 7] ; [13 13],[8.38095238 7.61904762] ; [13.61904762 12.38095238],0
d3,1,0.702549,0.145833,[35 19] ; [49 23],[36. 18.] ; [48. 24.],0
d4,1,0.71714,0.13125,[42 12] ; [54 18],[41.14285714 12.85714286] ; [54.85714286 17.14285714],0
s3,1,0.723423,0.125237,[16 38] ; [19 52],[15.12 38.88] ; [19.88 51.12],0
n3,1,0.746188,0.104762,[6 1] ; [12  3],[5.72727273 1.27272727] ; [12.27272727  2.72727273],0
n1,1,0.823261,0.049887,[2 5] ; [ 5 10],[2.22727273 4.77272727] ; [ 4.77272727 10.22727273],0
a6,1,0.864395,0.029167,[39 15] ; [51 21],[38.57142857 15.42857143] ; [51.42857143 20.57142857],0
n2,1,0.925558,0.00873,[5 2] ; [11  4],[5.09090909 1.90909091] ; [10.90909091  4.09090909],0
b4,1,0.95885,0.002662,[29 25] ; [39 33],[29.14285714 24.85714286] ; [38.85714286 33.14285714],0
d5,1,1.0,0.0,[42 12] ; [56 16],[42. 12.] ; [56. 16.],0
