Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.000772,11.30817,[9 6] ; [16 68],[ 3.78787879 11.21212121] ; [21.21212121 62.78787879],1
a5,1,0.000961,10.901999,[ 4 11] ; [63 26],[9.66346154 5.33653846] ; [57.33653846 31.66346154],1
r4,1,0.005761,7.623507,[8 7] ; [75 14],[11.97115385  3.02884615] ; [71.02884615 17.97115385],0
s7,1,0.006557,7.390451,[10  5] ; [25 58],[5.35714286 9.64285714] ; [29.64285714 53.35714286],0
r1,1,0.013791,6.064664,[7 8] ; [68 20],[10.9223301  4.0776699] ; [64.0776699 23.9223301],0
v2,1,0.018612,5.537611,[ 3 11] ; [46 37],[7.07216495 6.92783505] ; [41.92783505 41.07216495],0
s2,1,0.021489,5.286691,[10  5] ; [31 57],[5.97087379 9.02912621] ; [35.02912621 52.97087379],0
s5,1,0.031247,4.639327,[6 9] ; [14 73],[ 2.94117647 12.05882353] ; [17.05882353 69.94117647],0
s3,1,0.102441,2.667117,[11  4] ; [44 43],[8.08823529 6.91176471] ; [46.91176471 40.08823529],0
r2,1,0.114776,2.487192,[11  4] ; [77 10],[12.94117647  2.05882353] ; [75.05882353 11.94117647],0
s6,1,0.119131,2.428707,[11  4] ; [46 43],[8.22115385 6.77884615] ; [48.77884615 40.22115385],0
n3,1,0.123819,2.368333,[2 3] ; [18  6],[3.44827586 1.55172414] ; [16.55172414  7.44827586],0
b1,1,0.139853,2.179573,[ 5 10] ; [48 41],[7.64423077 7.35576923] ; [45.35576923 43.64423077],0
p2,1,0.148781,2.084705,[14  1] ; [67 20],[11.91176471  3.08823529] ; [69.08823529 17.91176471],0
v3,1,0.248703,1.330575,[ 2 13] ; [23 61],[ 3.78787879 11.21212121] ; [21.21212121 62.78787879],0
b5,1,0.248928,1.329312,[8 7] ; [61 28],[9.95192308 5.04807692] ; [59.04807692 29.95192308],0
v1,1,0.250019,1.323195,[ 5 10] ; [42 43],[7.05 7.95] ; [39.95 45.05],0
r3,1,0.269914,1.217185,[13  2] ; [84  5],[13.99038462  1.00961538] ; [83.00961538  5.99038462],0
d1,1,0.318468,0.995229,[ 5 10] ; [42 47],[6.77884615 8.22115385] ; [40.22115385 48.77884615],0
a3,1,0.332144,0.940519,[8 7] ; [59 30],[9.66346154 5.33653846] ; [57.33653846 31.66346154],0
a7,1,0.378545,0.775423,[8 7] ; [58 31],[9.51923077 5.48076923] ; [56.48076923 32.51923077],0
a2,1,0.460237,0.545318,[ 1 14] ; [12 77],[ 1.875 13.125] ; [11.125 77.875],0
d2,1,0.484235,0.48931,[ 4 11] ; [32 57],[5.19230769 9.80769231] ; [30.80769231 58.19230769],0
u2,1,0.491776,0.472638,[6 1] ; [22  8],[5.2972973 1.7027027] ; [22.7027027  7.2972973],0
n4,1,0.493441,0.469015,[7 8] ; [50 39],[8.22115385 6.77884615] ; [48.77884615 40.22115385],0
d5,1,0.545147,0.366084,[10  5] ; [66 23],[10.96153846  4.03846154] ; [65.03846154 23.96153846],0
d3,1,0.601865,0.272192,[10  5] ; [53 36],[9.08653846 5.91346154] ; [53.91346154 35.08653846],0
a4,1,0.648728,0.207508,[ 4 11] ; [29 60],[ 4.75961538 10.24038462] ; [28.24038462 60.75961538],0
n1,1,0.686239,0.163187,[3 2] ; [11 11],[2.59259259 2.40740741] ; [11.40740741 10.59259259],0
a6,1,0.698904,0.149615,[9 6] ; [58 31],[9.66346154 5.33653846] ; [57.33653846 31.66346154],0
p9,1,0.72131,0.127241,[11  4] ; [69 20],[11.53846154  3.46153846] ; [68.46153846 20.53846154],0
p8,1,0.751303,0.10044,[7 7] ; [40 48],[6.45098039 7.54901961] ; [40.54901961 47.45098039],0
p4,1,0.779805,0.078161,[7 8] ; [44 43],[7.5 7.5] ; [43.5 43.5],0
p3,1,0.787323,0.072786,[6 9] ; [32 56],[5.53398058 9.46601942] ; [32.46601942 55.53398058],0
b4,1,0.837309,0.042163,[8 7] ; [50 39],[8.36538462 6.63461538] ; [49.63461538 39.36538462],0
p7,1,0.864902,0.028947,[9 5] ; [52 32],[8.71428571 5.28571429] ; [52.28571429 31.71428571],0
u1,1,0.87198,0.025968,[ 1 14] ; [ 7 82],[ 1.15384615 13.84615385] ; [ 6.84615385 82.15384615],0
d4,1,0.87198,0.025968,[11  4] ; [67 22],[11.25  3.75] ; [66.75 22.25],0
p10,1,0.889695,0.019235,[11  4] ; [63 25],[10.77669903  4.22330097] ; [63.22330097 24.77669903],0
s8,1,0.894673,0.017528,[6 9] ; [34 55],[5.76923077 9.23076923] ; [34.23076923 54.76923077],0
v4,1,0.916434,0.01101,[13  1] ; [81  7],[12.90196078  1.09803922] ; [81.09803922  6.90196078],0
n5,1,0.930578,0.00759,[7 8] ; [40 48],[6.84466019 8.15533981] ; [40.15533981 47.84466019],0
u3,1,0.940643,0.005544,[5 2] ; [21  9],[4.91891892 2.08108108] ; [21.08108108  8.91891892],0
p1,1,0.982806,0.000464,[ 1 14] ; [ 6 82],[ 1.01941748 13.98058252] ; [ 5.98058252 82.01941748],0
b3,1,0.99041,0.000144,[3 8] ; [14 37],[3.01612903 7.98387097] ; [13.98387097 37.01612903],0
b2,1,0.99041,0.000144,[3 8] ; [14 37],[3.01612903 7.98387097] ; [13.98387097 37.01612903],0
