Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.000454,12.294643,[ 5 30] ; [10  6],[10.29411765 24.70588235] ; [ 4.70588235 11.29411765],1
p8,1,0.000946,10.93074,[ 2 33] ; [7 9],[ 6.17647059 28.82352941] ; [ 2.82352941 13.17647059],1
p10,1,0.001652,9.900382,[11 22] ; [13  3],[16.16326531 16.83673469] ; [7.83673469 8.16326531],0
p6,1,0.002451,9.176476,[ 3 31] ; [7 8],[ 6.93877551 27.06122449] ; [ 3.06122449 11.93877551],0
s8,1,0.002585,9.079121,[ 4 31] ; [8 8],[ 8.23529412 26.76470588] ; [ 3.76470588 12.23529412],0
p4,1,0.002813,8.925,[ 7 28] ; [10  6],[11.66666667 23.33333333] ; [ 5.33333333 10.66666667],0
p5,1,0.003499,8.527321,[ 1 34] ; [ 5 11],[ 4.11764706 30.88235294] ; [ 1.88235294 14.11764706],0
p9,1,0.007748,7.090909,[13 19] ; [13  3],[17.33333333 14.66666667] ; [8.66666667 7.33333333],0
b5,1,0.012094,6.297099,[13 22] ; [12  4],[17.15686275 17.84313725] ; [7.84313725 8.15686275],0
n6,1,0.01519,5.894327,[17 17] ; [13  2],[20.81632653 13.18367347] ; [9.18367347 5.81632653],0
s3,1,0.017629,5.632656,[ 9 24] ; [10  6],[12.79591837 20.20408163] ; [6.20408163 9.79591837],0
s6,1,0.020776,5.345455,[ 8 27] ; [8 6],[11.42857143 23.57142857] ; [4.57142857 9.42857143],0
p11,1,0.021726,5.267577,[12 23] ; [11  5],[15.78431373 19.21568627] ; [7.21568627 8.78431373],0
u3,1,0.028108,4.821429,[ 1 13] ; [3 3],[ 2.8 11.2] ; [1.2 4.8],0
p2,1,0.034532,4.468151,[12 23] ; [10  5],[15.4 19.6] ; [6.6 8.4],0
r3,1,0.035373,4.427083,[17 17] ; [13  3],[20.4 13.6] ; [9.6 6.4],0
r4,1,0.052576,3.757347,[ 8 27] ; [8 8],[10.98039216 24.01960784] ; [ 5.01960784 10.98039216],0
s7,1,0.101066,2.68864,[ 5 26] ; [ 6 10],[ 7.25531915 23.74468085] ; [ 3.74468085 12.25531915],0
a8,1,0.135938,2.223353,[ 5 29] ; [ 5 10],[ 6.93877551 27.06122449] ; [ 3.06122449 11.93877551],0
a5,1,0.159755,1.976544,[19 16] ; [12  4],[21.2745098 13.7254902] ; [9.7254902 6.2745098],0
v2,1,0.161365,1.961388,[12 22] ; [9 7],[14.28 19.72] ; [6.72 9.28],0
s5,1,0.193348,1.691918,[ 4 30] ; [ 4 11],[ 5.55102041 28.44897959] ; [ 2.44897959 12.55102041],0
v1,1,0.221769,1.49289,[ 9 25] ; [7 9],[10.88 23.12] ; [ 5.12 10.88],0
b3,1,0.2473,1.33849,[11 12] ; [ 4 10],[ 9.32432432 13.67567568] ; [5.67567568 8.32432432],0
b2,1,0.2473,1.33849,[11 12] ; [ 4 10],[ 9.32432432 13.67567568] ; [5.67567568 8.32432432],0
a6,1,0.265855,1.238011,[16 19] ; [10  6],[17.84313725 17.15686275] ; [8.15686275 7.84313725],0
n3,1,0.268925,1.222222,[ 8 10] ; [3 1],[9. 9.] ; [2. 2.],0
n5,1,0.387355,0.74723,[27  8] ; [14  2],[28.1372549  6.8627451] ; [12.8627451  3.1372549],0
