Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,73.886375,[ 1 39] ; [133  43],[24.81481481 15.18518519] ; [109.18518519  66.81481481],1
d3,1,0.0,41.906961,[ 9 31] ; [134  42],[26.48148148 13.51851852] ; [116.51851852  59.48148148],1
d5,1,0.0,33.858006,[20 20] ; [157  19],[32.77777778  7.22222222] ; [144.22222222  31.77777778],1
n4,1,0.002025,9.526325,[26 14] ; [151  25],[32.77777778  7.22222222] ; [144.22222222  31.77777778],0
a5,1,0.00309,8.753489,[22 18] ; [137  39],[29.44444444 10.55555556] ; [129.55555556  46.44444444],0
r1,1,0.003194,8.693464,[26 13] ; [152  24],[32.28837209  6.71162791] ; [145.71162791  30.28837209],0
u1,1,0.003861,8.347965,[ 1 39] ; [ 39 137],[ 7.40740741 32.59259259] ; [ 32.59259259 143.40740741],0
d2,1,0.004651,8.010541,[14 26] ; [105  71],[22.03703704 17.96296296] ; [96.96296296 79.03703704],0
a3,1,0.008052,7.021972,[23 17] ; [137  39],[29.62962963 10.37037037] ; [130.37037037  45.62962963],0
v3,1,0.009768,6.676809,[10 29] ; [80 85],[17.20588235 21.79411765] ; [72.79411765 92.20588235],0
p6,1,0.016117,5.790022,[ 9 31] ; [75 99],[15.70093458 24.29906542] ; [ 68.29906542 105.70093458],0
p8,1,0.021914,5.252604,[15 25] ; [99 73],[21.50943396 18.49056604] ; [92.49056604 79.50943396],0
a4,1,0.023588,5.124666,[11 29] ; [83 93],[17.40740741 22.59259259] ; [76.59259259 99.40740741],0
a2,1,0.024733,5.04245,[ 4 36] ; [ 47 129],[ 9.44444444 30.55555556] ; [ 41.55555556 134.44444444],0
u3,1,0.027788,4.841153,[8 9] ; [30  9],[11.53571429  5.46428571] ; [26.46428571 12.53571429],0
u2,1,0.032604,4.566459,[8 9] ; [29  9],[11.43636364  5.56363636] ; [25.56363636 12.43636364],0
a7,1,0.036229,4.386295,[22 18] ; [126  49],[27.53488372 12.46511628] ; [120.46511628  54.53488372],0
r3,1,0.040822,4.183399,[36  4] ; [171   5],[38.33333333  1.66666667] ; [168.66666667   7.33333333],0
v2,1,0.081293,3.038863,[17 21] ; [100  66],[21.79411765 16.20588235] ; [95.20588235 70.79411765],0
r2,1,0.0815,3.034725,[34  5] ; [165   9],[36.43661972  2.56338028] ; [162.56338028  11.43661972],0
n1,1,0.086335,2.941415,[7 5] ; [10 23],[4.53333333 7.46666667] ; [12.46666667 20.53333333],0
