Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.248091,1.33402,[19 48] ; [ 5 24],[16.75 50.25] ; [ 7.25 21.75],0
s4,1,0.264738,1.243811,[ 8 59] ; [ 6 23],[ 9.77083333 57.22916667] ; [ 4.22916667 24.77083333],0
u1,1,0.34065,0.907983,[ 6 61] ; [ 1 28],[ 4.88541667 62.11458333] ; [ 2.11458333 26.88541667],0
n3,1,0.340943,0.906883,[12  7] ; [6 7],[10.6875  8.3125] ; [7.3125 5.6875],0
a8,1,0.346998,0.884404,[11 50] ; [ 3 26],[ 9.48888889 51.51111111] ; [ 4.51111111 24.48888889],0
v1,1,0.35092,0.870128,[30 35] ; [10 18],[27.95698925 37.04301075] ; [12.04301075 15.95698925],0
u2,1,0.453323,0.562329,[8 3] ; [10  7],[7.07142857 3.92857143] ; [10.92857143  6.07142857],0
p9,1,0.462621,0.539547,[43 23] ; [16 12],[41.42553191 24.57446809] ; [17.57446809 10.42553191],0
v2,1,0.504203,0.446078,[30 35] ; [10 16],[28.57142857 36.42857143] ; [11.42857143 14.57142857],0
p4,1,0.554161,0.349915,[27 39] ; [10 19],[25.70526316 40.29473684] ; [11.29473684 17.70526316],0
p7,1,0.602931,0.270597,[31 34] ; [15 13],[32.15053763 32.84946237] ; [13.84946237 14.15053763],0
p10,1,0.632819,0.228258,[36 29] ; [14 14],[34.94623656 30.05376344] ; [15.05376344 12.94623656],0
b1,1,0.651524,0.203985,[38 29] ; [15 14],[36.98958333 30.01041667] ; [16.01041667 12.98958333],0
a1,1,0.737551,0.112291,[ 6 61] ; [ 2 27],[ 5.58333333 61.41666667] ; [ 2.41666667 26.58333333],0
p8,1,0.755284,0.097144,[20 45] ; [ 8 21],[19.36170213 45.63829787] ; [ 8.63829787 20.36170213],0
b4,1,0.758044,0.094895,[37 30] ; [17 12],[37.6875 29.3125] ; [16.3125 12.6875],0
s6,1,0.791415,0.069946,[32 35] ; [13 16],[31.40625 35.59375] ; [13.59375 15.40625],0
s3,1,0.804091,0.061532,[32 33] ; [13 15],[31.4516129 33.5483871] ; [13.5483871 14.4516129],0
p5,1,0.806285,0.060134,[ 3 63] ; [ 1 28],[ 2.77894737 63.22105263] ; [ 1.22105263 27.77894737],0
s2,1,0.825812,0.048433,[22 44] ; [ 9 20],[21.53684211 44.46315789] ; [ 9.46315789 19.53684211],0
b2,1,0.837788,0.041912,[11 27] ; [ 6 13],[11.33333333 26.66666667] ; [ 5.66666667 13.33333333],0
b3,1,0.837788,0.041912,[11 27] ; [ 6 13],[11.33333333 26.66666667] ; [ 5.66666667 13.33333333],0
p1,1,0.907104,0.013617,[ 5 61] ; [ 2 27],[ 4.86315789 61.13684211] ; [ 2.13684211 26.86315789],0
p11,1,0.921136,0.009802,[40 27] ; [17 12],[39.78125 27.21875] ; [17.21875 11.78125],0
n1,1,0.948139,0.004231,[ 9 11] ; [6 7],[ 9.09090909 10.90909091] ; [5.90909091 7.09090909],0
s7,1,0.96066,0.002433,[21 41] ; [ 9 18],[20.8988764 41.1011236] ; [ 9.1011236 17.8988764],0
n2,1,0.960968,0.002395,[16  5] ; [10  3],[16.05882353  4.94117647] ; [9.94117647 3.05882353],0
