Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,5.4e-05,16.289476,[7 2] ; [ 4 30],[2.30232558 6.69767442] ; [ 8.69767442 25.30232558],1
p2,1,0.000633,11.676392,[8 2] ; [ 7 26],[3.48837209 6.51162791] ; [11.51162791 21.48837209],1
s3,1,0.000633,11.676392,[8 2] ; [ 7 26],[3.48837209 6.51162791] ; [11.51162791 21.48837209],1
p3,1,0.001424,10.174398,[7 3] ; [ 6 28],[2.95454545 7.04545455] ; [10.04545455 23.95454545],0
v2,1,0.019301,5.474064,[6 4] ; [ 7 26],[3.02325581 6.97674419] ; [ 9.97674419 23.02325581],0
p6,1,0.023313,5.145,[4 6] ; [ 3 29],[1.66666667 8.33333333] ; [ 5.33333333 26.66666667],0
p4,1,0.029508,4.737703,[6 4] ; [ 8 26],[3.18181818 6.81818182] ; [10.81818182 23.18181818],0
d3,1,0.030894,4.658824,[8 2] ; [14 20],[5. 5.] ; [17. 17.],0
r3,1,0.0373,4.336665,[8 2] ; [14 19],[5.11627907 4.88372093] ; [16.88372093 16.11627907],0
n6,1,0.0373,4.336665,[8 2] ; [14 19],[5.11627907 4.88372093] ; [16.88372093 16.11627907],0
p10,1,0.060605,3.520754,[7 3] ; [12 21],[4.41860465 5.58139535] ; [14.58139535 18.41860465],0
s8,1,0.086282,2.942415,[3 7] ; [ 3 31],[1.36363636 8.63636364] ; [ 4.63636364 29.36363636],0
s5,1,0.143171,2.143541,[2 7] ; [ 2 31],[0.85714286 8.14285714] ; [ 3.14285714 29.85714286],0
p7,1,0.160237,1.971989,[5 5] ; [ 9 25],[3.18181818 6.81818182] ; [10.81818182 23.18181818],0
b3,1,0.160506,1.969449,[1 6] ; [10 13],[2.56666667 4.43333333] ; [ 8.43333333 14.56666667],0
b2,1,0.160506,1.969449,[1 6] ; [10 13],[2.56666667 4.43333333] ; [ 8.43333333 14.56666667],0
p9,1,0.201224,1.633466,[7 3] ; [15 17],[5.23809524 4.76190476] ; [16.76190476 15.23809524],0
v1,1,0.232915,1.422968,[4 6] ; [ 7 26],[2.55813953 7.44186047] ; [ 8.44186047 24.55813953],0
a6,1,0.26419,1.246667,[7 3] ; [17 17],[5.45454545 4.54545455] ; [18.54545455 15.45454545],0
p11,1,0.293321,1.104314,[6 4] ; [14 20],[4.54545455 5.45454545] ; [15.45454545 18.54545455],0
s7,1,0.326134,0.964187,[3 6] ; [ 6 27],[1.92857143 7.07142857] ; [ 7.07142857 25.92857143],0
b5,1,0.338394,0.916508,[7 3] ; [18 16],[5.68181818 4.31818182] ; [19.31818182 14.68181818],0
d5,1,0.338394,0.916508,[7 3] ; [18 16],[5.68181818 4.31818182] ; [19.31818182 14.68181818],0
a3,1,0.338394,0.916508,[7 3] ; [18 16],[5.68181818 4.31818182] ; [19.31818182 14.68181818],0
u2,1,0.363823,0.824653,[1 2] ; [ 2 14],[0.47368421 2.52631579] ; [ 2.52631579 13.47368421],0
b1,1,0.376746,0.781293,[4 6] ; [19 15],[5.22727273 4.77272727] ; [17.77272727 16.22727273],0
a2,1,0.504721,0.444995,[2 8] ; [ 4 30],[1.36363636 8.63636364] ; [ 4.63636364 29.36363636],0
d1,1,0.50595,0.442433,[5 5] ; [13 21],[4.09090909 5.90909091] ; [13.90909091 20.09090909],0
d2,1,0.52336,0.407267,[4 6] ; [17 16],[4.88372093 5.11627907] ; [16.11627907 16.88372093],0
s4,1,0.561119,0.33777,[1 9] ; [ 6 28],[1.59090909 8.40909091] ; [ 5.40909091 28.59090909],0
v3,1,0.56444,0.332075,[3 7] ; [ 7 26],[2.3255814 7.6744186] ; [ 7.6744186 25.3255814],0
a5,1,0.577845,0.309731,[6 4] ; [17 17],[5.22727273 4.77272727] ; [17.77272727 16.22727273],0
p8,1,0.613893,0.254545,[2 7] ; [ 5 28],[1.5 7.5] ; [ 5.5 27.5],0
u1,1,0.649749,0.206217,[1 9] ; [ 2 32],[0.68181818 9.31818182] ; [ 2.31818182 31.68181818],0
n4,1,0.653827,0.201109,[6 4] ; [23 11],[6.59090909 3.40909091] ; [22.40909091 11.59090909],0
a8,1,0.687423,0.16189,[2 8] ; [ 5 29],[1.59090909 8.40909091] ; [ 5.40909091 28.59090909],0
a7,1,0.693527,0.155294,[4 6] ; [16 18],[4.54545455 5.45454545] ; [15.45454545 18.54545455],0
r4,1,0.703064,0.145304,[1 9] ; [ 5 29],[1.36363636 8.63636364] ; [ 4.63636364 29.36363636],0
b4,1,0.756206,0.096389,[7 3] ; [22 12],[6.59090909 3.40909091] ; [22.40909091 11.59090909],0
r2,1,0.929299,0.007873,[5 5] ; [15 16],[4.87804878 5.12195122] ; [15.12195122 15.87804878],0
d4,1,0.946967,0.004424,[6 4] ; [20 14],[5.90909091 4.09090909] ; [20.09090909 13.90909091],0
n5,1,0.97141,0.001284,[7 3] ; [24 10],[7.04545455 2.95454545] ; [23.95454545 10.04545455],0
a4,1,0.985417,0.000334,[3 7] ; [10 23],[3.02325581 6.97674419] ; [ 9.97674419 23.02325581],0
