Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,7.9e-05,15.584416,[22 20] ; [ 3 30],[14. 28.] ; [11. 22.],1
u2,1,0.000578,11.84625,[14  2] ; [2 8],[9.84615385 6.15384615] ; [6.15384615 3.84615385],1
p11,1,0.001418,10.181818,[32 12] ; [12 21],[25.14285714 18.85714286] ; [18.85714286 14.14285714],0
r3,1,0.001757,9.788037,[39  5] ; [19 14],[33.14285714 10.85714286] ; [24.85714286  8.14285714],0
p4,1,0.002347,9.255928,[24 19] ; [ 7 26],[17.53947368 25.46052632] ; [13.46052632 19.53947368],0
p10,1,0.002737,8.975079,[31 12] ; [12 20],[24.65333333 18.34666667] ; [18.34666667 13.65333333],0
v2,1,0.003021,8.794749,[25 16] ; [ 8 23],[18.79166667 22.20833333] ; [14.20833333 16.79166667],0
p6,1,0.004146,8.218802,[16 26] ; [ 3 30],[10.64 31.36] ; [ 8.36 24.64],0
v4,1,0.004855,7.932534,[38  4] ; [21 12],[33.04  8.96] ; [25.96  7.04],0
s6,1,0.005522,7.7,[26 18] ; [ 9 24],[20. 24.] ; [15. 18.],0
s8,1,0.005653,7.657576,[18 26] ; [ 4 29],[12.57142857 31.42857143] ; [ 9.42857143 23.57142857],0
p2,1,0.006574,7.385854,[33  9] ; [16 17],[27.44 14.56] ; [21.56 11.44],0
p3,1,0.013823,6.060566,[16 27] ; [ 4 29],[11.31578947 31.68421053] ; [ 8.68421053 24.31578947],0
p9,1,0.014426,5.985249,[35  9] ; [17 15],[30.10526316 13.89473684] ; [21.89473684 10.10526316],0
s7,1,0.016975,5.698959,[17 24] ; [ 5 27],[12.35616438 28.64383562] ; [ 9.64383562 22.35616438],0
b3,1,0.019385,5.466463,[ 4 22] ; [ 9 10],[ 7.51111111 18.48888889] ; [ 5.48888889 13.51111111],0
b2,1,0.019385,5.466463,[ 4 22] ; [ 9 10],[ 7.51111111 18.48888889] ; [ 5.48888889 13.51111111],0
d5,1,0.021569,5.280243,[33 10] ; [17 16],[28.28947368 14.71052632] ; [21.71052632 11.28947368],0
b5,1,0.04522,4.010417,[30 14] ; [15 18],[25.71428571 18.28571429] ; [19.28571429 13.71428571],0
b1,1,0.04522,4.010417,[30 14] ; [15 18],[25.71428571 18.28571429] ; [19.28571429 13.71428571],0
d2,1,0.054319,3.702864,[14 29] ; [18 15],[18.10526316 24.89473684] ; [13.89473684 19.10526316],0
r1,1,0.081144,3.041842,[30 14] ; [16 17],[26.28571429 17.71428571] ; [19.71428571 13.28571429],0
s5,1,0.082763,3.009793,[11 33] ; [ 3 29],[ 8.10526316 35.89473684] ; [ 5.89473684 26.10526316],0
n1,1,0.114653,2.488889,[3 7] ; [11  7],[5. 5.] ; [9. 9.],0
s4,1,0.117395,2.451741,[ 8 36] ; [ 2 31],[ 5.71428571 38.28571429] ; [ 4.28571429 28.71428571],0
a4,1,0.137778,2.2026,[14 30] ; [16 17],[17.14285714 26.85714286] ; [12.85714286 20.14285714],0
u1,1,0.177007,1.822574,[ 5 39] ; [ 1 32],[ 3.42857143 40.57142857] ; [ 2.57142857 30.42857143],0
p1,1,0.182154,1.779966,[ 1 43] ; [ 3 30],[ 2.28571429 41.71428571] ; [ 1.71428571 31.28571429],0
u3,1,0.191473,1.70625,[9 7] ; [3 7],[7.38461538 8.61538462] ; [4.61538462 5.38461538],0
s3,1,0.205667,1.60167,[24 18] ; [14 19],[21.28 20.72] ; [16.72 16.28],0
a7,1,0.221669,1.493534,[30 14] ; [18 15],[27.42857143 16.57142857] ; [20.57142857 12.42857143],0
r2,1,0.290516,1.11723,[33  9] ; [29  4],[34.72  7.28] ; [27.28  5.72],0
s2,1,0.300536,1.071814,[18 25] ; [10 23],[15.84210526 27.15789474] ; [12.15789474 20.84210526],0
n4,1,0.301071,1.069444,[30 14] ; [26  7],[32. 12.] ; [24.  9.],0
r4,1,0.311587,1.023936,[29 15] ; [18 15],[26.85714286 17.14285714] ; [20.14285714 12.85714286],0
n2,1,0.423925,0.639408,[9 2] ; [13  6],[8.06666667 2.93333333] ; [13.93333333  5.06666667],0
a6,1,0.431796,0.617987,[31 12] ; [21 12],[29.42105263 13.57894737] ; [22.57894737 10.42105263],0
a3,1,0.450394,0.569661,[28 16] ; [23  9],[29.52631579 14.47368421] ; [21.47368421 10.52631579],0
v1,1,0.50388,0.446755,[19 23] ; [12 20],[17.59459459 24.40540541] ; [13.40540541 18.59459459],0
a5,1,0.546028,0.364481,[25 19] ; [21 12],[26.28571429 17.71428571] ; [19.71428571 13.28571429],0
