Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,3e-06,21.590668,[85 13] ; [15 17],[75.38461538 22.61538462] ; [24.61538462  7.38461538],1
n4,1,6e-06,20.347568,[86 12] ; [16 16],[76.89230769 21.10769231] ; [25.10769231  6.89230769],1
p10,1,0.000461,12.267226,[84 15] ; [17 14],[76.91538462 22.08461538] ; [24.08461538  6.91538462],1
p9,1,0.000467,12.241773,[86 13] ; [18 13],[79.2 19.8] ; [24.8  6.2],1
p7,1,0.000507,12.090207,[74 24] ; [13 18],[66.09302326 31.90697674] ; [20.90697674 10.09302326],1
p8,1,0.00159,9.971591,[56 42] ; [ 8 24],[48.24615385 49.75384615] ; [15.75384615 16.24615385],0
s7,1,0.002729,8.980279,[79 17] ; [16 13],[72.96 23.04] ; [22.04  6.96],0
n6,1,0.002785,8.943301,[84 13] ; [20 12],[78.20155039 18.79844961] ; [25.79844961  6.20155039],0
s1,1,0.008089,7.013725,[ 3 96] ; [ 5 26],[ 6.09230769 92.90769231] ; [ 1.90769231 29.09230769],0
p3,1,0.009624,6.703144,[60 39] ; [11 21],[53.65648855 45.34351145] ; [17.34351145 14.65648855],0
p6,1,0.016277,5.772659,[46 52] ; [ 7 24],[40.26356589 57.73643411] ; [12.73643411 18.26356589],0
p11,1,0.034149,4.487252,[80 19] ; [20 12],[75.57251908 23.42748092] ; [24.42748092  7.57251908],0
p4,1,0.036286,4.383607,[64 35] ; [14 18],[58.94656489 40.05343511] ; [19.05343511 12.94656489],0
a8,1,0.057535,3.607053,[15 78] ; [ 1 31],[11.904 81.096] ; [ 4.096 27.904],0
s5,1,0.087187,2.925567,[50 44] ; [11 20],[45.872 48.128] ; [15.128 15.872],0
v4,1,0.093545,2.812291,[92  6] ; [27  5],[89.70769231  8.29230769] ; [29.29230769  2.70769231],0
v3,1,0.109062,2.567756,[49 49] ; [10 20],[45.171875 52.828125] ; [13.828125 16.171875],0
s8,1,0.122433,2.385923,[73 26] ; [19 13],[69.52671756 29.47328244] ; [22.47328244  9.52671756],0
d3,1,0.139364,2.184969,[52 47] ; [12 20],[48.36641221 50.63358779] ; [15.63358779 16.36641221],0
r3,1,0.147537,2.097528,[94  5] ; [28  4],[92.19847328  6.80152672] ; [29.80152672  2.19847328],0
u3,1,0.159982,1.974401,[10 10] ; [7 2],[11.72413793  8.27586207] ; [5.27586207 3.72413793],0
d4,1,0.185696,1.751435,[81 17] ; [23  9],[78.4 19.6] ; [25.6  6.4],0
d1,1,0.244922,1.352037,[55 44] ; [14 18],[52.14503817 46.85496183] ; [16.85496183 15.14503817],0
p5,1,0.276549,1.18397,[14 85] ; [ 2 28],[12.27906977 86.72093023] ; [ 3.72093023 26.27906977],0
u1,1,0.335308,0.928289,[ 8 91] ; [ 1 31],[ 6.80152672 92.19847328] ; [ 2.19847328 29.80152672],0
a3,1,0.348006,0.880715,[79 20] ; [23  9],[77.08396947 21.91603053] ; [24.91603053  7.08396947],0
s4,1,0.379904,0.771012,[23 75] ; [10 22],[24.87692308 73.12307692] ; [ 8.12307692 23.87692308],0
v1,1,0.399075,0.711111,[58 38] ; [22 10],[60. 36.] ; [20. 12.],0
a2,1,0.423966,0.639296,[11 88] ; [ 2 30],[ 9.82442748 89.17557252] ; [ 3.17557252 28.82442748],0
s3,1,0.432657,0.615679,[86 13] ; [26  6],[84.64122137 14.35877863] ; [27.35877863  4.64122137],0
a5,1,0.441509,0.592358,[72 27] ; [21 11],[70.28244275 28.71755725] ; [22.71755725  9.28244275],0
d2,1,0.445018,0.583309,[51 48] ; [14 18],[49.1221374 49.8778626] ; [15.8778626 16.1221374],0
b5,1,0.453236,0.562546,[42 57] ; [16 16],[43.83206107 55.16793893] ; [14.16793893 17.83206107],0
a4,1,0.512119,0.429736,[46 53] ; [17 15],[47.61068702 51.38931298] ; [15.38931298 16.61068702],0
b2,1,0.512964,0.428016,[31 42] ; [ 8 15],[29.65625 43.34375] ; [ 9.34375 13.65625],0
b3,1,0.512964,0.428016,[31 42] ; [ 8 15],[29.65625 43.34375] ; [ 9.34375 13.65625],0
p1,1,0.519339,0.415205,[ 6 93] ; [ 3 29],[ 6.80152672 92.19847328] ; [ 2.19847328 29.80152672],0
d5,1,0.58327,0.300978,[78 20] ; [24  8],[76.89230769 21.10769231] ; [25.10769231  6.89230769],0
n1,1,0.586682,0.295556,[14 14] ; [6 4],[14.73684211 13.26315789] ; [5.26315789 4.73684211],0
b4,1,0.648113,0.208288,[48 51] ; [17 15],[49.1221374 49.8778626] ; [15.8778626 16.1221374],0
b1,1,0.648113,0.208288,[48 51] ; [17 15],[49.1221374 49.8778626] ; [15.8778626 16.1221374],0
r1,1,0.663955,0.188755,[72 27] ; [22 10],[71.03816794 27.96183206] ; [22.96183206  9.03816794],0
r2,1,0.716032,0.132326,[88 10] ; [28  4],[87.44615385 10.55384615] ; [28.55384615  3.44615385],0
s6,1,0.719513,0.128959,[83 13] ; [26  5],[82.39370079 13.60629921] ; [26.60629921  4.39370079],0
p12,1,0.766416,0.088248,[ 8 91] ; [ 2 29],[ 7.61538462 91.38461538] ; [ 2.38461538 28.61538462],0
n3,1,0.772484,0.083595,[17 12] ; [7 4],[17.4 11.6] ; [6.6 4.4],0
u4,1,0.814249,0.0552,[ 4 95] ; [ 1 31],[ 3.77862595 95.22137405] ; [ 1.22137405 30.77862595],0
n2,1,0.883708,0.021395,[21  7] ; [8 3],[20.82051282  7.17948718] ; [8.17948718 2.82051282],0
v2,1,0.900138,0.015747,[53 44] ; [16 14],[52.7007874 44.2992126] ; [16.2992126 13.7007874],0
a1,1,0.904947,0.01426,[10 89] ; [ 3 29],[ 9.82442748 89.17557252] ; [ 3.17557252 28.82442748],0
a6,1,0.919699,0.010163,[35 64] ; [11 21],[34.76335878 64.23664122] ; [11.23664122 20.76335878],0
r4,1,0.942419,0.005217,[81 18] ; [26  6],[80.86259542 18.13740458] ; [26.13740458  5.86259542],0
u2,1,0.977797,0.000775,[11  9] ; [5 4],[11.03448276  8.96551724] ; [4.96551724 4.03448276],0
