Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,4.4e-05,16.708174,[ 8 67] ; [11 11],[14.69072165 60.30927835] ; [ 4.30927835 17.69072165],1
p7,1,0.000603,11.766412,[13 60] ; [12 10],[19.21052632 53.78947368] ; [ 5.78947368 16.21052632],1
p4,1,0.002421,9.199017,[ 9 65] ; [ 9 13],[13.875 60.125] ; [ 4.125 17.875],0
p10,1,0.005646,7.659835,[29 45] ; [16  6],[34.6875 39.3125] ; [10.3125 11.6875],0
r4,1,0.027423,4.863977,[35 41] ; [16  6],[39.55102041 36.44897959] ; [11.44897959 10.55102041],0
n3,1,0.029921,4.713805,[16 17] ; [8 1],[18.85714286 14.14285714] ; [5.14285714 3.85714286],0
n4,1,0.036591,4.369364,[43 32] ; [18  4],[47.16494845 27.83505155] ; [13.83505155  8.16494845],0
p11,1,0.044796,4.0263,[30 46] ; [14  8],[34.12244898 41.87755102] ; [ 9.87755102 12.12244898],0
n5,1,0.054205,3.706372,[44 30] ; [18  4],[47.79166667 26.20833333] ; [14.20833333  7.79166667],0
v1,1,0.056688,3.631735,[13 62] ; [ 8 14],[16.2371134 58.7628866] ; [ 4.7628866 17.2371134],0
p9,1,0.061012,3.509647,[29 42] ; [14  8],[32.82795699 38.17204301] ; [10.17204301 11.82795699],0
a7,1,0.067021,3.354504,[38 37] ; [16  6],[41.75257732 33.24742268] ; [12.24742268  9.75257732],0
v2,1,0.070705,3.266573,[19 52] ; [10 11],[22.38043478 48.61956522] ; [ 6.61956522 14.38043478],0
n6,1,0.072468,3.226214,[37 38] ; [15  6],[40.625 34.375] ; [11.375  9.625],0
p1,1,0.097013,2.75398,[ 5 71] ; [ 4 18],[ 6.97959184 69.02040816] ; [ 2.02040816 19.97959184],0
s2,1,0.137347,2.207435,[ 8 68] ; [ 5 17],[10.08163265 65.91836735] ; [ 2.91836735 19.08163265],0
s8,1,0.160401,1.970444,[ 6 70] ; [ 4 18],[ 7.75510204 68.24489796] ; [ 2.24489796 19.75510204],0
s4,1,0.179295,1.80346,[ 4 72] ; [ 3 19],[ 5.42857143 70.57142857] ; [ 1.57142857 20.42857143],0
p6,1,0.182685,1.775647,[ 2 73] ; [ 2 20],[ 3.09278351 71.90721649] ; [ 0.90721649 21.09278351],0
a3,1,0.19294,1.695024,[49 26] ; [11 11],[46.39175258 28.60824742] ; [13.60824742  8.39175258],0
a6,1,0.234794,1.411583,[41 35] ; [15  7],[43.42857143 32.57142857] ; [12.57142857  9.42857143],0
a5,1,0.234794,1.411583,[41 35] ; [15  7],[43.42857143 32.57142857] ; [12.57142857  9.42857143],0
r1,1,0.237449,1.395673,[37 38] ; [14  8],[39.43298969 35.56701031] ; [11.56701031 10.43298969],0
r3,1,0.244312,1.355541,[48 27] ; [17  5],[50.25773196 24.74226804] ; [14.74226804  7.25773196],0
v4,1,0.244312,1.355541,[48 27] ; [17  5],[50.25773196 24.74226804] ; [14.74226804  7.25773196],0
a4,1,0.28666,1.13524,[28 47] ; [11 11],[30.15463918 44.84536082] ; [ 8.84536082 13.15463918],0
n2,1,0.307213,1.042621,[22 15] ; [7 2],[23.32608696 13.67391304] ; [5.67391304 3.32608696],0
p5,1,0.336627,0.923233,[ 1 73] ; [ 1 20],[ 1.55789474 72.44210526] ; [ 0.44210526 20.55789474],0
s3,1,0.381743,0.765081,[17 58] ; [ 7 15],[18.55670103 56.44329897] ; [ 5.44329897 16.55670103],0
