Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,44.601266,[280  36] ; [14 18],[266.96551724  49.03448276] ; [27.03448276  4.96551724],1
r2,1,3e-06,22.098462,[294  18] ; [21  9],[287.36842105  24.63157895] ; [27.63157895  2.36842105],1
p2,1,4e-06,21.267946,[250  66] ; [13 18],[239.50432277  76.49567723] ; [23.49567723  7.50432277],1
r1,1,9e-06,19.726307,[249  66] ; [14 18],[238.74639769  76.25360231] ; [24.25360231  7.74639769],1
r3,1,0.000369,12.681624,[293  21] ; [24  8],[287.68208092  26.31791908] ; [29.31791908  2.68208092],1
p7,1,0.001183,10.51657,[180 130] ; [ 9 23],[171.31578947 138.68421053] ; [17.68421053 14.31578947],0
p10,1,0.002041,9.51208,[236  77] ; [16 16],[228.62608696  84.37391304] ; [23.37391304  8.62608696],0
s2,1,0.00335,8.606179,[144 171] ; [ 6 26],[136.16714697 178.83285303] ; [13.83285303 18.16714697],0
p8,1,0.005563,7.686647,[141 171] ; [ 6 25],[133.71428571 178.28571429] ; [13.28571429 17.71428571],0
n6,1,0.009762,6.677744,[256  60] ; [19 12],[250.43227666  65.56772334] ; [24.56772334  6.43227666],0
s7,1,0.010835,6.492234,[137 166] ; [ 6 23],[130.50903614 172.49096386] ; [12.49096386 16.50903614],0
p9,1,0.01084,6.491298,[238  72] ; [18 14],[232.04678363  77.95321637] ; [23.95321637  8.04678363],0
s6,1,0.012989,6.170554,[193 120] ; [12 19],[186.52616279 126.47383721] ; [18.47383721 12.52616279],0
a2,1,0.016769,5.72035,[ 79 237] ; [ 2 30],[ 73.55172414 242.44827586] ; [ 7.44827586 24.55172414],0
u3,1,0.017478,5.647706,[50 34] ; [2 8],[46.46808511 37.53191489] ; [5.53191489 4.46808511],0
p4,1,0.0198,5.429434,[166 148] ; [10 22],[159.72254335 154.27745665] ; [16.27745665 15.72254335],0
a6,1,0.021121,5.316819,[221  95] ; [16 16],[215.20689655 100.79310345] ; [21.79310345 10.20689655],0
s8,1,0.039325,4.246768,[117 199] ; [ 6 26],[111.68965517 204.31034483] ; [11.31034483 20.68965517],0
b1,1,0.044027,4.055531,[120 196] ; [18 14],[125.31034483 190.68965517] ; [12.68965517 19.31034483],0
b4,1,0.044765,4.027486,[179 137] ; [24  8],[184.33333333 131.66666667] ; [18.66666667 13.33333333],0
n2,1,0.058584,3.577014,[67 30] ; [5 7],[64.0733945 32.9266055] ; [7.9266055 4.0733945],0
p6,1,0.063281,3.449231,[ 89 224] ; [ 4 27],[ 84.61918605 228.38081395] ; [ 8.38081395 22.61918605],0
a7,1,0.063877,3.433753,[235  80] ; [19 13],[230.57636888  84.42363112] ; [23.42363112  8.57636888],0
v3,1,0.071078,3.257945,[ 86 222] ; [ 4 27],[ 81.7699115 226.2300885] ; [ 8.2300885 22.7699115],0
p3,1,0.073181,3.210194,[130 185] ; [ 8 24],[125.27377522 189.72622478] ; [12.72622478 19.27377522],0
p11,1,0.079088,3.083544,[225  91] ; [18 14],[220.65517241  95.34482759] ; [22.34482759  9.65517241],0
a8,1,0.093674,2.810081,[ 28 263] ; [ 6 25],[ 30.72670807 260.27329193] ; [ 3.27329193 27.72670807],0
n3,1,0.097853,2.740185,[68 29] ; [5 6],[65.56481481 31.43518519] ; [7.43518519 3.56481481],0
u1,1,0.104208,2.639931,[ 55 261] ; [ 2 30],[ 51.75862069 264.24137931] ; [ 5.24137931 26.75862069],0
b3,1,0.113549,2.504115,[ 54 128] ; [ 9 10],[ 57.04477612 124.95522388] ; [ 5.95522388 13.04477612],0
b2,1,0.113549,2.504115,[ 54 128] ; [ 9 10],[ 57.04477612 124.95522388] ; [ 5.95522388 13.04477612],0
d3,1,0.128024,2.316308,[236  79] ; [20 12],[232.39193084  82.60806916] ; [23.60806916  8.39193084],0
u4,1,0.14619,2.111558,[  2 314] ; [ 1 31],[  2.72413793 313.27586207] ; [ 0.27586207 31.72413793],0
b5,1,0.172735,1.859048,[178 138] ; [14 18],[174.34482759 141.65517241] ; [17.65517241 14.34482759],0
s4,1,0.181412,1.786023,[ 59 253] ; [ 3 29],[ 56.23255814 255.76744186] ; [ 5.76744186 26.23255814],0
p5,1,0.191372,1.70702,[ 20 295] ; [ 4 28],[ 21.78674352 293.21325648] ; [ 2.21325648 29.78674352],0
d2,1,0.202378,1.625129,[165 149] ; [20 11],[168.37681159 145.62318841] ; [16.62318841 14.37681159],0
n1,1,0.203174,1.619409,[30 65] ; [6 6],[31.96261682 63.03738318] ; [4.03738318 7.96261682],0
u2,1,0.322275,0.979691,[48 37] ; [4 6],[46.52631579 38.47368421] ; [5.47368421 4.52631579],0
a5,1,0.389365,0.740924,[230  86] ; [21 11],[227.91954023  88.08045977] ; [23.08045977  8.91954023],0
n5,1,0.392668,0.730664,[210 104] ; [19 13],[207.82080925 106.17919075] ; [21.17919075 10.82080925],0
s3,1,0.452503,0.564376,[164 150] ; [14 17],[162.0057971 151.9942029] ; [15.9942029 15.0057971],0
p1,1,0.51557,0.422746,[ 20 294] ; [ 3 29],[ 20.87283237 293.12716763] ; [ 2.12716763 29.87283237],0
d4,1,0.555372,0.347781,[274  41] ; [29  3],[275.05763689  39.94236311] ; [27.94236311  4.05763689],0
a4,1,0.625163,0.238678,[147 169] ; [13 18],[145.70605187 170.29394813] ; [14.29394813 16.70605187],0
a3,1,0.626523,0.236805,[230  86] ; [22 10],[228.82758621  87.17241379] ; [23.17241379  8.82758621],0
n4,1,0.703611,0.144743,[227  89] ; [24  8],[227.91954023  88.08045977] ; [23.08045977  8.91954023],0
a1,1,0.706989,0.141303,[ 15 301] ; [ 2 30],[ 15.43678161 300.56321839] ; [ 1.56321839 30.43678161],0
s5,1,0.766879,0.087888,[ 81 224] ; [ 9 22],[ 81.69642857 223.30357143] ; [ 8.30357143 22.69642857],0
s1,1,0.778852,0.078858,[ 13 300] ; [ 1 31],[ 12.70144928 300.29855072] ; [ 1.29855072 30.70144928],0
