Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.0005,12.115837,[44  7] ; [7 9],[38.82089552 12.17910448] ; [12.17910448  3.82089552],1
n5,1,0.001071,10.700224,[41 10] ; [ 6 10],[35.7761194 15.2238806] ; [11.2238806  4.7761194],0
p4,1,0.001213,10.470166,[48  3] ; [10  6],[44.14925373  6.85074627] ; [13.85074627  2.14925373],0
p10,1,0.00633,7.453896,[48  3] ; [11  5],[44.91044776  6.08955224] ; [14.08955224  1.91044776],0
d1,1,0.009467,6.732457,[42  9] ; [8 8],[38.05970149 12.94029851] ; [11.94029851  4.05970149],0
n4,1,0.013832,6.059406,[39 12] ; [7 9],[35.01492537 15.98507463] ; [10.98507463  5.01492537],0
r2,1,0.014524,5.973266,[49  1] ; [13  3],[46.96969697  3.03030303] ; [15.03030303  0.96969697],0
r1,1,0.018797,5.520279,[43  8] ; [9 7],[39.58208955 11.41791045] ; [12.41791045  3.58208955],0
p8,1,0.032629,4.565136,[42  9] ; [9 7],[38.82089552 12.17910448] ; [12.17910448  3.82089552],0
s6,1,0.042783,4.103954,[44  5] ; [11  5],[41.46153846  7.53846154] ; [13.53846154  2.46153846],0
p11,1,0.052844,3.748851,[41 10] ; [9 7],[38.05970149 12.94029851] ; [11.94029851  4.05970149],0
r4,1,0.06482,3.409563,[47  4] ; [12  4],[44.91044776  6.08955224] ; [14.08955224  1.91044776],0
u2,1,0.072461,3.226364,[6 9] ; [5 1],[7.85714286 7.14285714] ; [3.14285714 2.85714286],0
p7,1,0.094345,2.798624,[46  5] ; [11  4],[44.04545455  6.95454545] ; [12.95454545  2.04545455],0
p9,1,0.115792,2.473331,[48  3] ; [13  3],[46.43283582  4.56716418] ; [14.56716418  1.43283582],0
d2,1,0.135962,2.22307,[33 18] ; [7 9],[30.44776119 20.55223881] ; [9.55223881 6.44776119],0
a2,1,0.137315,2.207789,[16 35] ; [ 2 14],[13.70149254 37.29850746] ; [ 4.29850746 11.70149254],0
n1,1,0.204894,1.607143,[3 6] ; [4 2],[4.2 4.8] ; [2.8 3.2],0
b1,1,0.230209,1.43957,[20 31] ; [9 7],[22.07462687 28.92537313] ; [6.92537313 9.07462687],0
a7,1,0.239082,1.386,[36 14] ; [9 7],[34.09090909 15.90909091] ; [10.90909091  5.09090909],0
s5,1,0.250548,1.320248,[33 12] ; [8 6],[31.27118644 13.72881356] ; [9.72881356 4.27118644],0
n3,1,0.263552,1.25,[7 2] ; [3 3],[6. 3.] ; [4. 2.],0
p5,1,0.264341,1.245878,[ 9 42] ; [ 1 15],[ 7.6119403 43.3880597] ; [ 2.3880597 13.6119403],0
v1,1,0.281092,1.161804,[27 24] ; [ 6 10],[25.11940299 25.88059701] ; [7.88059701 8.11940299],0
s8,1,0.292267,1.109149,[33 18] ; [8 8],[31.20895522 19.79104478] ; [9.79104478 6.20895522],0
b4,1,0.292267,1.109149,[33 18] ; [8 8],[31.20895522 19.79104478] ; [9.79104478 6.20895522],0
u3,1,0.305507,1.05,[9 6] ; [5 1],[10.  5.] ; [4. 2.],0
v4,1,0.379072,0.773709,[50  1] ; [15  1],[49.47761194  1.52238806] ; [15.52238806  0.47761194],0
d3,1,0.41656,0.66,[42  8] ; [12  4],[40.90909091  9.09090909] ; [13.09090909  2.90909091],0
v3,1,0.471847,0.517647,[15 36] ; [ 3 12],[13.90909091 37.09090909] ; [ 4.09090909 10.90909091],0
p2,1,0.474684,0.511051,[45  6] ; [13  3],[44.14925373  6.85074627] ; [13.85074627  2.14925373],0
u1,1,0.485292,0.486948,[14 37] ; [ 3 13],[12.94029851 38.05970149] ; [ 4.05970149 11.94029851],0
p1,1,0.517686,0.418501,[10 41] ; [ 2 14],[ 9.13432836 41.86567164] ; [ 2.86567164 13.13432836],0
d4,1,0.529226,0.395877,[45  6] ; [15  1],[45.67164179  5.32835821] ; [14.32835821  1.67164179],0
s2,1,0.535792,0.383395,[39 12] ; [11  5],[38.05970149 12.94029851] ; [11.94029851  4.05970149],0
a3,1,0.542868,0.37025,[36 15] ; [10  6],[35.01492537 15.98507463] ; [10.98507463  5.01492537],0
v2,1,0.585679,0.297143,[24 26] ; [6 9],[23.07692308 26.92307692] ; [6.92307692 8.07692308],0
s3,1,0.626971,0.236191,[35 16] ; [12  4],[35.7761194 15.2238806] ; [11.2238806  4.7761194],0
a6,1,0.648858,0.207343,[35 16] ; [10  6],[34.25373134 16.74626866] ; [10.74626866  5.25373134],0
r3,1,0.649723,0.20625,[45  5] ; [15  1],[45.45454545  4.54545455] ; [14.54545455  1.45454545],0
b2,1,0.701883,0.14652,[10 20] ; [4 6],[10.5 19.5] ; [3.5 6.5],0
b3,1,0.701883,0.14652,[10 20] ; [4 6],[10.5 19.5] ; [3.5 6.5],0
a4,1,0.731524,0.117717,[28 23] ; [8 8],[27.40298507 23.59701493] ; [8.59701493 7.40298507],0
p3,1,0.846983,0.037237,[37 14] ; [12  4],[37.29850746 13.70149254] ; [11.70149254  4.29850746],0
b5,1,0.902211,0.015097,[31 20] ; [10  6],[31.20895522 19.79104478] ; [9.79104478 6.20895522],0
d5,1,0.946024,0.004583,[41  9] ; [13  3],[40.90909091  9.09090909] ; [13.09090909  2.90909091],0
s7,1,0.958904,0.002655,[37 13] ; [11  4],[36.92307692 13.07692308] ; [11.07692308  3.92307692],0
