Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,8.3e-05,15.480616,[37  2] ; [24 18],[29.37037037  9.62962963] ; [31.62962963 10.37037037],1
v4,1,0.000143,14.459037,[38  1] ; [26 15],[31.2  7.8] ; [32.8  8.2],1
s2,1,0.000165,14.189817,[23 17] ; [ 7 34],[14.81481481 25.18518519] ; [15.18518519 25.81481481],1
p2,1,0.000177,14.065934,[34  6] ; [18 22],[26. 14.] ; [26. 14.],1
s3,1,0.00075,11.360609,[28 11] ; [14 27],[20.475 18.525] ; [21.525 19.475],1
s8,1,0.000854,11.11922,[18 22] ; [ 5 37],[11.2195122 28.7804878] ; [11.7804878 30.2195122],1
s7,1,0.001021,10.789145,[19 21] ; [ 5 33],[12.30769231 27.69230769] ; [11.69230769 26.30769231],0
r4,1,0.001175,10.529273,[32  8] ; [19 23],[24.87804878 15.12195122] ; [26.12195122 15.87804878],0
r1,1,0.002757,8.961551,[31  9] ; [19 23],[24.3902439 15.6097561] ; [25.6097561 16.3902439],0
p7,1,0.005522,7.7,[26  9] ; [18 24],[20. 15.] ; [24. 18.],0
p9,1,0.006634,7.369431,[32  6] ; [23 18],[26.4556962 11.5443038] ; [28.5443038 12.4556962],0
p11,1,0.006674,7.358637,[29 11] ; [18 24],[22.92682927 17.07317073] ; [24.07317073 17.92682927],0
p8,1,0.01038,6.568421,[18 20] ; [ 8 32],[12.66666667 25.33333333] ; [13.33333333 26.66666667],0
d4,1,0.032609,4.566187,[29 10] ; [21 20],[24.375 14.625] ; [25.625 15.375],0
p10,1,0.034536,4.46796,[27 11] ; [19 21],[22.41025641 15.58974359] ; [23.58974359 16.41025641],0
b2,1,0.036322,4.38193,[ 4 22] ; [ 9 12],[ 7.19148936 18.80851064] ; [ 5.80851064 15.19148936],0
b3,1,0.036322,4.38193,[ 4 22] ; [ 9 12],[ 7.19148936 18.80851064] ; [ 5.80851064 15.19148936],0
p4,1,0.056364,3.641271,[20 20] ; [12 29],[15.80246914 24.19753086] ; [16.19753086 24.80246914],0
s5,1,0.061617,3.493309,[10 29] ; [ 4 37],[ 6.825 32.175] ; [ 7.175 33.825],0
v2,1,0.068222,3.325281,[21 16] ; [14 25],[17.03947368 19.96052632] ; [17.96052632 21.03947368],0
b5,1,0.068858,3.310028,[27 13] ; [20 22],[22.92682927 17.07317073] ; [24.07317073 17.92682927],0
d3,1,0.070096,3.280775,[25 14] ; [18 23],[20.9625 18.0375] ; [22.0375 18.9625],0
u1,1,0.07861,3.093411,[ 5 35] ; [ 1 41],[ 2.92682927 37.07317073] ; [ 3.07317073 38.92682927],0
s4,1,0.087715,2.915822,[ 8 32] ; [ 3 39],[ 5.36585366 34.63414634] ; [ 5.63414634 36.36585366],0
v1,1,0.097324,2.748864,[20 18] ; [14 27],[16.35443038 21.64556962] ; [17.64556962 23.35443038],0
d1,1,0.124672,2.357622,[19 21] ; [13 29],[15.6097561 24.3902439] ; [16.3902439 25.6097561],0
u2,1,0.136519,2.216761,[9 3] ; [7 8],[7.11111111 4.88888889] ; [8.88888889 6.11111111],0
a4,1,0.154906,2.023264,[12 28] ; [19 23],[15.12195122 24.87804878] ; [15.87804878 26.12195122],0
d5,1,0.157014,2.002747,[29 10] ; [25 17],[26. 13.] ; [28. 14.],0
r2,1,0.18684,1.742358,[34  4] ; [33  9],[31.825  6.175] ; [35.175  6.825],0
b1,1,0.191105,1.709075,[20 20] ; [27 15],[22.92682927 17.07317073] ; [24.07317073 17.92682927],0
u3,1,0.193931,1.6875,[7 5] ; [ 5 10],[5.33333333 6.66666667] ; [6.66666667 8.33333333],0
a8,1,0.301992,1.065379,[ 9 28] ; [ 6 34],[ 7.20779221 29.79220779] ; [ 7.79220779 32.20779221],0
p6,1,0.322452,0.978977,[11 26] ; [ 8 32],[ 9.12987013 27.87012987] ; [ 9.87012987 30.12987013],0
v3,1,0.352332,0.865041,[ 7 28] ; [12 29],[ 8.75 26.25] ; [10.25 30.75],0
d2,1,0.392624,0.7308,[14 25] ; [19 23],[15.88888889 23.11111111] ; [17.11111111 24.88888889],0
a7,1,0.453532,0.56181,[27 13] ; [25 17],[25.36585366 14.63414634] ; [26.63414634 15.36585366],0
n1,1,0.456057,0.555556,[5 7] ; [10  8],[6. 6.] ; [9. 9.],0
s1,1,0.525896,0.402316,[ 2 36] ; [ 1 39],[ 1.46153846 36.53846154] ; [ 1.53846154 38.46153846],0
n4,1,0.54868,0.359687,[30 10] ; [29 13],[28.7804878 11.2195122] ; [30.2195122 11.7804878],0
p5,1,0.603219,0.270169,[ 3 36] ; [ 2 39],[ 2.4375 36.5625] ; [ 2.5625 38.4375],0
n3,1,0.625266,0.238535,[8 4] ; [11  8],[7.35483871 4.64516129] ; [11.64516129  7.35483871],0
a3,1,0.689427,0.159707,[28 12] ; [27 14],[27.16049383 12.83950617] ; [27.83950617 13.16049383],0
b4,1,0.829296,0.046485,[20 20] ; [22 20],[20.48780488 19.51219512] ; [21.51219512 20.48780488],0
a5,1,0.852492,0.034573,[23 17] ; [25 17],[23.41463415 16.58536585] ; [24.58536585 17.41463415],0
a2,1,0.92015,0.010049,[ 7 33] ; [ 7 35],[ 6.82926829 33.17073171] ; [ 7.17073171 34.82926829],0
p3,1,0.949267,0.004048,[10 30] ; [10 31],[ 9.87654321 30.12345679] ; [10.12345679 30.87654321],0
p12,1,0.971428,0.001283,[ 1 38] ; [ 1 40],[ 0.975 38.025] ; [ 1.025 39.975],0
a6,1,0.985775,0.000318,[27 12] ; [29 13],[26.96296296 12.03703704] ; [29.03703704 12.96296296],0
