Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,39.949606,[216  27] ; [31 27],[199.40531561  43.59468439] ; [47.59468439 10.40531561],1
p10,1,0.0,36.620615,[213  32] ; [30 28],[196.48514851  48.51485149] ; [46.51485149 11.48514851],1
p2,1,2.2e-05,18.043499,[208  39] ; [35 24],[196.14705882  50.85294118] ; [46.85294118 12.14705882],1
n5,1,0.000388,12.589022,[183  60] ; [30 28],[171.95681063  71.04318937] ; [41.04318937 16.95681063],1
n4,1,0.000952,10.917906,[192  54] ; [33 25],[182.07236842  63.92763158] ; [42.92763158 15.07236842],1
p7,1,0.001011,10.806401,[146  97] ; [21 37],[134.82059801 108.17940199] ; [32.17940199 25.82059801],0
r3,1,0.001789,9.754306,[242   3] ; [54  5],[238.55263158   6.44736842] ; [57.44736842  1.55263158],0
p8,1,0.004838,7.93901,[119 123] ; [17 42],[109.34219269 132.65780731] ; [26.65780731 32.34219269],0
a6,1,0.008015,7.030079,[178  69] ; [32 27],[169.50980392  77.49019608] ; [40.49019608 18.50980392],0
p3,1,0.015587,5.848892,[114 133] ; [17 42],[105.74183007 141.25816993] ; [25.25816993 33.74183007],0
n6,1,0.019202,5.483053,[209  36] ; [42 16],[202.95379538  42.04620462] ; [48.04620462  9.95379538],0
r4,1,0.022893,5.176642,[223  24] ; [47 12],[217.94117647  29.05882353] ; [52.05882353  6.94117647],0
a3,1,0.030138,4.70143,[189  58] ; [37 22],[182.4248366  64.5751634] ; [43.5751634 15.4248366],0
s4,1,0.032281,4.583531,[ 28 217] ; [13 46],[ 33.04276316 211.95723684] ; [ 7.95723684 51.04276316],0
n3,1,0.043513,4.075344,[39  8] ; [12  8],[35.7761194 11.2238806] ; [15.2238806  4.7761194],0
d1,1,0.071208,3.25496,[161  86] ; [31 28],[154.98039216  92.01960784] ; [37.01960784 21.98039216],0
p5,1,0.094021,2.804137,[ 19 228] ; [ 1 58],[ 16.14379085 230.85620915] ; [ 3.85620915 55.14379085],0
r1,1,0.099351,2.715934,[212  33] ; [46 13],[207.92763158  37.07236842] ; [50.07236842  8.92763158],0
