Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-05,19.557945,[7 3] ; [ 4 42],[1.96428571 8.03571429] ; [ 9.03571429 36.96428571],1
p8,1,0.001086,10.674867,[5 4] ; [ 5 43],[1.57894737 7.42105263] ; [ 8.42105263 39.57894737],0
p3,1,0.020767,5.346277,[4 6] ; [ 5 42],[1.57894737 8.42105263] ; [ 7.42105263 39.57894737],0
s2,1,0.062164,3.478691,[4 6] ; [ 7 41],[1.89655172 8.10344828] ; [ 9.10344828 38.89655172],0
s6,1,0.062164,3.478691,[4 6] ; [ 7 41],[1.89655172 8.10344828] ; [ 9.10344828 38.89655172],0
b3,1,0.072819,3.218294,[1 6] ; [16 15],[3.13157895 3.86842105] ; [13.86842105 17.13157895],0
b2,1,0.072819,3.218294,[1 6] ; [16 15],[3.13157895 3.86842105] ; [13.86842105 17.13157895],0
p6,1,0.081531,3.034114,[2 8] ; [ 2 44],[0.71428571 9.28571429] ; [ 3.28571429 42.71428571],0
b4,1,0.102245,2.670171,[3 7] ; [28 20],[5.34482759 4.65517241] ; [25.65517241 22.34482759],0
v2,1,0.110497,2.547094,[5 4] ; [13 33],[2.94545455 6.05454545] ; [15.05454545 30.94545455],0
u3,1,0.114653,2.488889,[2 1] ; [ 4 14],[0.85714286 2.14285714] ; [ 5.14285714 12.85714286],0
n4,1,0.125745,2.344261,[4 6] ; [31 16],[6.14035088 3.85964912] ; [28.85964912 18.14035088],0
s8,1,0.158736,1.986226,[2 8] ; [ 3 45],[0.86206897 9.13793103] ; [ 4.13793103 43.86206897],0
r3,1,0.163085,1.945388,[6 4] ; [17 30],[4.03508772 5.96491228] ; [18.96491228 28.03508772],0
d3,1,0.164394,1.933333,[7 3] ; [22 26],[5. 5.] ; [24. 24.],0
s5,1,0.1669,1.910573,[2 8] ; [ 3 44],[0.87719298 9.12280702] ; [ 4.12280702 42.87719298],0
s1,1,0.17473,1.841888,[3 7] ; [ 6 41],[1.57894737 8.42105263] ; [ 7.42105263 39.57894737],0
r1,1,0.196936,1.664954,[1 9] ; [14 33],[2.63157895 7.36842105] ; [12.36842105 34.63157895],0
v1,1,0.279158,1.171185,[4 6] ; [11 36],[2.63157895 7.36842105] ; [12.36842105 34.63157895],0
s7,1,0.317128,1.000754,[1 9] ; [11 34],[2.18181818 7.81818182] ; [ 9.81818182 35.18181818],0
p11,1,0.334307,0.932143,[4 6] ; [12 36],[2.75862069 7.24137931] ; [13.24137931 34.75862069],0
n6,1,0.334992,0.929505,[5 4] ; [18 29],[3.69642857 5.30357143] ; [19.30357143 27.69642857],0
b5,1,0.348663,0.878315,[6 4] ; [21 27],[4.65517241 5.34482759] ; [22.34482759 25.65517241],0
p5,1,0.391905,0.733025,[1 8] ; [ 2 46],[0.47368421 8.52631579] ; [ 2.52631579 45.47368421],0
v4,1,0.414644,0.665446,[5 5] ; [17 30],[3.85964912 6.14035088] ; [18.14035088 28.85964912],0
s3,1,0.454543,0.559299,[2 8] ; [15 32],[2.98245614 7.01754386] ; [14.01754386 32.98245614],0
a5,1,0.492654,0.470725,[7 3] ; [28 20],[6.03448276 3.96551724] ; [28.96551724 19.03448276],0
a4,1,0.493386,0.469133,[5 5] ; [18 29],[4.03508772 5.96491228] ; [18.96491228 28.03508772],0
a1,1,0.505168,0.444062,[1 9] ; [ 9 39],[1.72413793 8.27586207] ; [ 8.27586207 39.72413793],0
p9,1,0.52052,0.412863,[4 6] ; [13 31],[3.14814815 6.85185185] ; [13.85185185 30.14814815],0
n3,1,0.556664,0.345513,[3 3] ; [10 17],[2.36363636 3.63636364] ; [10.63636364 16.36363636],0
a2,1,0.596325,0.280574,[1 9] ; [ 8 40],[1.55172414 8.44827586] ; [ 7.44827586 40.55172414],0
n1,1,0.628439,0.234184,[3 3] ; [11 17],[2.47058824 3.52941176] ; [11.52941176 16.47058824],0
b1,1,0.647975,0.208463,[6 4] ; [25 23],[5.34482759 4.65517241] ; [25.65517241 22.34482759],0
d2,1,0.666516,0.185705,[5 5] ; [27 20],[5.61403509 4.38596491] ; [26.38596491 20.61403509],0
s4,1,0.702185,0.146208,[1 9] ; [ 7 41],[1.37931034 8.62068966] ; [ 6.62068966 41.37931034],0
a3,1,0.710449,0.137829,[7 3] ; [30 17],[6.49122807 3.50877193] ; [30.50877193 16.49122807],0
d1,1,0.717698,0.130709,[5 5] ; [21 27],[4.48275862 5.51724138] ; [21.51724138 26.48275862],0
a6,1,0.717698,0.130709,[5 5] ; [27 21],[5.51724138 4.48275862] ; [26.48275862 21.51724138],0
n5,1,0.720005,0.128488,[6 4] ; [31 16],[6.49122807 3.50877193] ; [30.50877193 16.49122807],0
v3,1,0.81578,0.054278,[2 8] ; [11 36],[2.28070175 7.71929825] ; [10.71929825 36.28070175],0
d4,1,0.838106,0.041745,[7 3] ; [32 16],[6.72413793 3.27586207] ; [32.27586207 15.72413793],0
u1,1,0.864359,0.029182,[1 9] ; [ 4 44],[0.86206897 9.13793103] ; [ 4.13793103 43.86206897],0
n2,1,0.873628,0.025298,[3 3] ; [15 13],[3.17647059 2.82352941] ; [14.82352941 13.17647059],0
d5,1,0.882168,0.02197,[6 4] ; [30 18],[6.20689655 3.79310345] ; [29.79310345 18.20689655],0
r2,1,0.897464,0.016606,[6 4] ; [26 19],[5.81818182 4.18181818] ; [26.18181818 18.81818182],0
p10,1,0.905835,0.013993,[3 7] ; [15 32],[3.15789474 6.84210526] ; [14.84210526 32.15789474],0
a7,1,0.951275,0.003734,[5 5] ; [24 23],[5.0877193 4.9122807] ; [23.9122807 23.0877193],0
