Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,7.4e-05,15.697849,[ 65 112] ; [29 12],[ 76.32110092 100.67889908] ; [17.67889908 23.32110092],1
u1,1,0.011124,6.44534,[ 20 160] ; [11 31],[ 25.13513514 154.86486486] ; [ 5.86486486 36.13513514],0
s7,1,0.015778,5.827432,[83 87] ; [28 12],[89.85714286 80.14285714] ; [21.14285714 18.85714286],0
b1,1,0.017174,5.678532,[ 79 101] ; [27 15],[85.94594595 94.05405405] ; [20.05405405 21.94594595],0
p5,1,0.033752,4.507222,[ 23 154] ; [11 31],[ 27.47945205 149.52054795] ; [ 6.52054795 35.47945205],0
d5,1,0.033956,4.496933,[135  45] ; [37  4],[140.09049774  39.90950226] ; [31.90950226  9.09049774],0
p3,1,0.054962,3.683235,[108  71] ; [32 10],[113.39366516  65.60633484] ; [26.60633484 15.39366516],0
r1,1,0.058238,3.586854,[128  51] ; [36  6],[132.83257919  46.16742081] ; [31.16742081 10.83257919],0
n4,1,0.086522,2.937916,[136  43] ; [37  5],[140.12217195  38.87782805] ; [32.87782805  9.12217195],0
n3,1,0.087076,2.927623,[29 13] ; [2 4],[27.125 14.875] ; [3.875 2.125],0
n5,1,0.101988,2.674175,[132  47] ; [36  6],[136.07239819  42.92760181] ; [31.92760181 10.07239819],0
b4,1,0.123814,2.368393,[105  75] ; [19 23],[100.54054054  79.45945946] ; [23.45945946 18.54054054],0
a7,1,0.144016,2.134513,[128  52] ; [25 17],[124.05405405  55.94594595] ; [28.94594595 13.05405405],0
s8,1,0.202947,1.621039,[ 79 101] ; [23 19],[82.7027027 97.2972973] ; [19.2972973 22.7027027],0
d3,1,0.207269,1.590398,[119  61] ; [32 10],[122.43243243  57.56756757] ; [28.56756757 13.43243243],0
n2,1,0.27638,1.184803,[26 17] ; [5 1],[27.20408163 15.79591837] ; [3.79591837 2.20408163],0
a8,1,0.361404,0.833009,[ 23 146] ; [ 3 34],[ 21.33009709 147.66990291] ; [ 4.66990291 32.33009709],0
