Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.002414,9.204299,[ 2 19] ; [12 11],[ 6.68181818 14.31818182] ; [ 7.31818182 15.68181818],0
b2,1,0.002414,9.204299,[ 2 19] ; [12 11],[ 6.68181818 14.31818182] ; [ 7.31818182 15.68181818],0
p11,1,0.029762,4.723007,[20 12] ; [26  4],[23.74193548  8.25806452] ; [22.25806452  7.74193548],0
d2,1,0.039277,4.248848,[ 7 25] ; [14 16],[10.83870968 21.16129032] ; [10.16129032 19.83870968],0
s2,1,0.104863,2.629987,[23  9] ; [15 14],[19.93442623 12.06557377] ; [18.06557377 10.93442623],0
b5,1,0.116248,2.467152,[15 17] ; [20 10],[18.06451613 13.93548387] ; [16.93548387 13.06451613],0
p6,1,0.127433,2.3235,[ 8 24] ; [13 17],[10.83870968 21.16129032] ; [10.16129032 19.83870968],0
p8,1,0.130649,2.284779,[12 20] ; [17 13],[14.96774194 17.03225806] ; [14.03225806 15.96774194],0
p4,1,0.172801,1.85847,[17 15] ; [21  9],[19.61290323 12.38709677] ; [18.38709677 11.61290323],0
p5,1,0.195258,1.677489,[ 2 30] ; [ 5 25],[ 3.61290323 28.38709677] ; [ 3.38709677 26.61290323],0
b1,1,0.21059,1.567367,[12 20] ; [16 14],[14.4516129 17.5483871] ; [13.5483871 16.4516129],0
s6,1,0.237729,1.394013,[28  4] ; [22  7],[26.2295082  5.7704918] ; [23.7704918  5.2295082],0
p10,1,0.255745,1.291646,[28  3] ; [24  6],[26.42622951  4.57377049] ; [25.57377049  4.42622951],0
p12,1,0.270816,1.212608,[ 1 31] ; [ 3 27],[ 2.06451613 29.93548387] ; [ 1.93548387 28.06451613],0
d1,1,0.270816,1.212608,[ 1 31] ; [ 3 27],[ 2.06451613 29.93548387] ; [ 1.93548387 28.06451613],0
s3,1,0.276107,1.186155,[24  8] ; [18 11],[22.03278689  9.96721311] ; [19.96721311  9.03278689],0
a6,1,0.277365,1.179955,[17 15] ; [20 10],[19.09677419 12.90322581] ; [17.90322581 12.09677419],0
n2,1,0.279642,1.168831,[10  1] ; [5 2],[9.16666667 1.83333333] ; [5.83333333 1.16666667],0
d3,1,0.280868,1.162884,[ 9 23] ; [ 5 25],[ 7.22580645 24.77419355] ; [ 6.77419355 23.22580645],0
n5,1,0.280868,1.162884,[23  9] ; [25  5],[24.77419355  7.22580645] ; [23.22580645  6.77419355],0
v4,1,0.285271,1.141808,[30  1] ; [27  3],[28.96721311  2.03278689] ; [28.03278689  1.96721311],0
r1,1,0.296449,1.0901,[25  6] ; [20  9],[23.25  7.75] ; [21.75  7.25],0
b4,1,0.309377,1.033333,[14 18] ; [17 13],[16. 16.] ; [15. 15.],0
a4,1,0.319353,0.991595,[ 8 24] ; [11 19],[ 9.80645161 22.19354839] ; [ 9.19354839 20.80645161],0
v3,1,0.415214,0.663821,[ 9 23] ; [11 18],[10.49180328 21.50819672] ; [ 9.50819672 19.49180328],0
a3,1,0.415619,0.662669,[17 15] ; [19 11],[18.58064516 13.41935484] ; [17.41935484 12.58064516],0
n4,1,0.437022,0.60409,[21 10] ; [23  7],[22.36065574  8.63934426] ; [21.63934426  8.36065574],0
r4,1,0.43752,0.602778,[28  4] ; [28  2],[28.90322581  3.09677419] ; [27.09677419  2.90322581],0
a8,1,0.448625,0.574122,[ 6 22] ; [ 4 25],[ 4.9122807 23.0877193] ; [ 5.0877193 23.9122807],0
s7,1,0.463635,0.537105,[23  8] ; [19 10],[21.7  9.3] ; [20.3  8.7],0
s5,1,0.464214,0.535714,[12 20] ; [ 8 20],[10.66666667 21.33333333] ; [ 9.33333333 18.66666667],0
v1,1,0.501238,0.452314,[15 16] ; [16 12],[16.28813559 14.71186441] ; [14.71186441 13.28813559],0
p7,1,0.510582,0.432874,[21 11] ; [22  8],[22.19354839  9.80645161] ; [20.80645161  9.19354839],0
p9,1,0.562244,0.335833,[26  6] ; [26  4],[26.83870968  5.16129032] ; [25.16129032  4.83870968],0
a2,1,0.622601,0.242229,[ 3 29] ; [ 4 26],[ 3.61290323 28.38709677] ; [ 3.38709677 26.61290323],0
p1,1,0.641618,0.216632,[ 4 28] ; [ 5 25],[ 4.64516129 27.35483871] ; [ 4.35483871 25.64516129],0
