Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,101.388484,[320   9] ; [23 20],[303.35215054  25.64784946] ; [39.64784946  3.35215054],1
r3,1,0.0,89.496913,[327   4] ; [28 15],[314.18449198  16.81550802] ; [40.81550802  2.18449198],1
r1,1,0.0,75.275443,[273  55] ; [11 34],[249.73726542  78.26273458] ; [34.26273458 10.73726542],1
v4,1,0.0,27.661285,[320  11] ; [34 10],[312.464  18.536] ; [41.536  2.464],1
d5,1,2e-06,22.364382,[277  53] ; [25 21],[265.05319149  64.94680851] ; [36.94680851  9.05319149],1
a5,1,4e-06,21.115793,[235  96] ; [17 29],[221.25198939 109.74801061] ; [30.74801061 15.25198939],1
a6,1,2.2e-05,18.03838,[245  86] ; [20 26],[232.66578249  98.33421751] ; [32.33421751 13.66578249],1
d4,1,0.000117,14.840379,[273  58] ; [26 19],[263.21542553  67.78457447] ; [35.78457447  9.21542553],1
n4,1,0.000189,13.939955,[240  90] ; [21 25],[229.06914894 100.93085106] ; [31.93085106 14.06914894],1
d1,1,0.000676,11.554797,[189 142] ; [14 32],[178.23076923 152.76923077] ; [24.76923077 21.23076923],1
a3,1,0.000821,11.192412,[211 120] ; [17 28],[200.71276596 130.28723404] ; [27.28723404 17.71276596],1
n5,1,0.001578,9.985219,[231  98] ; [21 24],[221.67914439 107.32085561] ; [30.32085561 14.67914439],0
v3,1,0.001944,9.60161,[108 210] ; [ 5 40],[ 98.99173554 219.00826446] ; [14.00826446 30.99173554],0
u3,1,0.002496,9.14381,[67 51] ; [ 7 21],[59.80821918 58.19178082] ; [14.19178082 13.80821918],0
p11,1,0.003149,8.719269,[276  55] ; [30 16],[268.66312997  62.33687003] ; [37.33687003  8.66312997],0
d2,1,0.003503,8.524878,[149 181] ; [10 35],[139.92 190.08] ; [19.08 25.92],0
a7,1,0.00408,8.247779,[255  74] ; [26 19],[247.18983957  81.81016043] ; [33.81016043 11.18983957],0
p10,1,0.004427,8.099961,[265  63] ; [28 17],[257.65147453  70.34852547] ; [35.34852547  9.65147453],0
p8,1,0.006995,7.274246,[175 150] ; [15 31],[166.44204852 158.55795148] ; [23.55795148 22.44204852],0
a2,1,0.008998,6.823174,[ 67 264] ; [ 2 44],[ 60.58090186 270.41909814] ; [ 8.41909814 37.58090186],0
p4,1,0.017456,5.649973,[183 146] ; [17 29],[175.46666667 153.53333333] ; [24.53333333 21.46666667],0
v2,1,0.021971,5.248078,[168 146] ; [15 28],[160.95798319 153.04201681] ; [22.04201681 20.95798319],0
p7,1,0.027729,4.844861,[207 118] ; [21 24],[200.27027027 124.72972973] ; [27.72972973 17.27027027],0
s8,1,0.032099,4.593211,[ 74 257] ; [ 4 42],[ 68.48275862 262.51724138] ; [ 9.51724138 36.48275862],0
p9,1,0.033799,4.504837,[275  51] ; [33 13],[269.91397849  56.08602151] ; [38.08602151  7.91397849],0
n6,1,0.043699,4.068145,[271  59] ; [32 14],[265.93085106  64.06914894] ; [37.06914894  8.93085106],0
a4,1,0.053603,3.725017,[135 195] ; [12 34],[129.01595745 200.98404255] ; [17.98404255 28.01595745],0
b2,1,0.053988,3.713058,[ 60 117] ; [ 3 19],[ 56.03517588 120.96482412] ; [ 6.96482412 15.03517588],0
b3,1,0.053988,3.713058,[ 60 117] ; [ 3 19],[ 56.03517588 120.96482412] ; [ 6.96482412 15.03517588],0
p6,1,0.056488,3.63761,[101 224] ; [ 8 38],[ 95.4851752 229.5148248] ; [13.5148248 32.4851752],0
d3,1,0.062497,3.469839,[229 101] ; [25 20],[223.52 106.48] ; [30.48 14.52],0
b1,1,0.076503,3.137675,[114 217] ; [22 24],[119.40583554 211.59416446] ; [16.59416446 29.40583554],0
s3,1,0.089104,2.890488,[135 191] ; [12 31],[129.8699187 196.1300813] ; [17.1300813 25.8699187],0
n2,1,0.156946,2.003412,[51 16] ; [12  8],[48.51724138 18.48275862] ; [14.48275862  5.51724138],0
v1,1,0.166642,1.912891,[167 154] ; [18 26],[162.69863014 158.30136986] ; [22.30136986 21.69863014],0
