Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,2e-06,22.876847,[16 70] ; [26 17],[28. 58.] ; [14. 29.],1
p6,1,0.001296,10.34795,[10 78] ; [15 28],[16.79389313 71.20610687] ; [ 8.20610687 34.79389313],0
p8,1,0.00136,10.258664,[13 76] ; [17 26],[20.22727273 68.77272727] ; [ 9.77272727 33.22727273],0
p7,1,0.004948,7.898464,[20 63] ; [21 22],[27.00793651 55.99206349] ; [13.99206349 29.00793651],0
r4,1,0.016536,5.744961,[74 15] ; [42  1],[78.21212121 10.78787879] ; [37.78787879  5.21212121],0
n4,1,0.023479,5.132704,[55 34] ; [35  8],[60.68181818 28.31818182] ; [29.31818182 13.68181818],0
p11,1,0.025823,4.9678,[46 43] ; [31 12],[51.91666667 37.08333333] ; [25.08333333 17.91666667],0
n6,1,0.027364,4.867665,[58 31] ; [36  7],[63.37878788 25.62121212] ; [30.62121212 12.37878788],0
r3,1,0.067576,3.340944,[75 14] ; [41  2],[78.21212121 10.78787879] ; [37.78787879  5.21212121],0
p10,1,0.085662,2.954062,[47 40] ; [30 13],[51.53076923 35.46923077] ; [25.46923077 17.53076923],0
n5,1,0.085886,2.949844,[52 36] ; [32 11],[56.42748092 31.57251908] ; [27.57251908 15.42748092],0
v4,1,0.122483,2.385277,[77 12] ; [41  2],[79.56060606  9.43939394] ; [38.43939394  4.56060606],0
n2,1,0.172077,1.864757,[27 14] ; [8 1],[28.7 12.3] ; [6.3 2.7],0
b2,1,0.207276,1.590354,[15 39] ; [12 17],[17.56626506 36.43373494] ; [ 9.43373494 19.56626506],0
b3,1,0.207276,1.590354,[15 39] ; [12 17],[17.56626506 36.43373494] ; [ 9.43373494 19.56626506],0
d4,1,0.216287,1.52884,[70 18] ; [30 13],[67.17557252 20.82442748] ; [32.82442748 10.17557252],0
p5,1,0.22038,1.501894,[ 5 82] ; [ 5 37],[ 6.74418605 80.25581395] ; [ 3.25581395 38.74418605],0
n1,1,0.240073,1.380167,[18 22] ; [6 3],[19.59183673 20.40816327] ; [4.40816327 4.59183673],0
p9,1,0.24321,1.361889,[50 38] ; [29 14],[53.06870229 34.93129771] ; [25.93129771 17.06870229],0
a5,1,0.244671,1.353479,[55 34] ; [31 12],[57.98484848 31.01515152] ; [28.01515152 14.98484848],0
s6,1,0.251789,1.313348,[49 37] ; [29 14],[52. 34.] ; [26. 17.],0
u1,1,0.272945,1.201885,[12 77] ; [ 9 34],[14.15909091 74.84090909] ; [ 6.84090909 36.15909091],0
a2,1,0.335221,0.928625,[21 68] ; [ 7 36],[18.87878788 70.12121212] ; [ 9.12121212 33.87878788],0
a6,1,0.363526,0.825675,[50 38] ; [28 15],[52.39694656 35.60305344] ; [25.60305344 17.39694656],0
v2,1,0.377581,0.778562,[41 43] ; [24 18],[43.33333333 40.66666667] ; [21.66666667 20.33333333],0
v1,1,0.380203,0.770044,[34 55] ; [19 22],[36.28461538 52.71538462] ; [16.71538462 24.28461538],0
s8,1,0.388563,0.743436,[32 56] ; [19 24],[34.25954198 53.74045802] ; [16.74045802 26.25954198],0
d3,1,0.390084,0.73868,[52 36] ; [22 21],[49.70992366 38.29007634] ; [24.29007634 18.70992366],0
p1,1,0.394728,0.724327,[ 5 84] ; [ 1 42],[ 4.04545455 84.95454545] ; [ 1.95454545 41.04545455],0
b1,1,0.423987,0.639239,[41 48] ; [23 20],[43.15151515 45.84848485] ; [20.84848485 22.15151515],0
v3,1,0.432911,0.615,[30 52] ; [18 23],[32. 50.] ; [16. 25.],0
s5,1,0.475964,0.508096,[21 61] ; [13 28],[22.66666667 59.33333333] ; [11.33333333 29.66666667],0
s4,1,0.511562,0.430871,[19 69] ; [ 7 35],[17.6 70.4] ; [ 8.4 33.6],0
s1,1,0.532503,0.389613,[ 9 78] ; [ 3 40],[ 8.03076923 78.96923077] ; [ 3.96923077 39.03076923],0
s7,1,0.553082,0.351824,[34 50] ; [18 21],[35.51219512 48.48780488] ; [16.48780488 22.51219512],0
a3,1,0.57269,0.318202,[57 30] ; [26 17],[55.54615385 31.45384615] ; [27.45384615 15.54615385],0
b4,1,0.591372,0.288206,[52 37] ; [23 20],[50.56818182 38.43181818] ; [24.43181818 18.56818182],0
a7,1,0.611222,0.258399,[56 33] ; [29 14],[57.31060606 31.68939394] ; [27.68939394 15.31060606],0
d2,1,0.614602,0.253528,[43 45] ; [19 24],[41.64885496 46.35114504] ; [20.35114504 22.64885496],0
p12,1,0.615105,0.252808,[ 6 82] ; [ 4 39],[ 6.71755725 81.28244275] ; [ 3.28244275 39.71755725],0
u4,1,0.718,0.130417,[ 3 86] ; [ 2 41],[ 3.37121212 85.62878788] ; [ 1.62878788 41.37121212],0
b5,1,0.775889,0.081043,[52 37] ; [24 19],[51.24242424 37.75757576] ; [24.75757576 18.24242424],0
r2,1,0.80545,0.060664,[83  5] ; [41  2],[83.29770992  4.70229008] ; [40.70229008  2.29770992],0
a8,1,0.849228,0.03614,[10 76] ; [ 5 34],[10.32 75.68] ; [ 4.68 34.32],0
s2,1,0.856012,0.032925,[39 48] ; [20 23],[39.48461538 47.51538462] ; [19.51538462 23.48461538],0
d1,1,0.859146,0.031492,[47 42] ; [22 21],[46.52272727 42.47727273] ; [22.47727273 20.52272727],0
u3,1,0.878822,0.023245,[20 12] ; [11  6],[20.24489796 11.75510204] ; [10.75510204  6.24489796],0
s3,1,0.900905,0.015505,[43 43] ; [22 21],[43.33333333 42.66666667] ; [21.66666667 21.33333333],0
d5,1,0.935631,0.006523,[62 26] ; [30 13],[61.80152672 26.19847328] ; [30.19847328 12.80152672],0
u2,1,0.959315,0.002602,[18 13] ; [10  7],[18.08333333 12.91666667] ; [9.91666667 7.08333333],0
a1,1,0.959933,0.002524,[ 6 83] ; [ 3 40],[ 6.06818182 82.93181818] ; [ 2.93181818 40.06818182],0
a4,1,0.993184,7.3e-05,[41 47] ; [20 23],[40.97709924 47.02290076] ; [20.02290076 22.97709924],0
