Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,9.1e-05,15.309541,[73 13] ; [10 12],[66.09259259 19.90740741] ; [16.90740741  5.09259259],1
b1,1,0.003627,8.461538,[30 58] ; [15  7],[36. 52.] ; [ 9. 13.],0
n5,1,0.008135,7.003586,[65 22] ; [10 12],[59.86238532 27.13761468] ; [15.13761468  6.86238532],0
s5,1,0.024959,5.026697,[28 57] ; [12  8],[32.38095238 52.61904762] ; [ 7.61904762 12.38095238],0
a6,1,0.026655,4.913036,[55 33] ; [ 8 14],[50.4 37.6] ; [12.6  9.4],0
s8,1,0.02704,4.888273,[43 45] ; [ 5 17],[38.4 49.6] ; [ 9.6 12.4],0
p9,1,0.032534,4.570158,[76 12] ; [14  7],[72.66055046 15.33944954] ; [17.33944954  3.66055046],0
p6,1,0.040139,4.212013,[36 50] ; [ 4 18],[31.85185185 54.14814815] ; [ 8.14814815 13.85185185],0
s3,1,0.040997,4.176136,[57 31] ; [ 9 13],[52.8 35.2] ; [13.2  8.8],0
p2,1,0.064769,3.410853,[72 16] ; [14  8],[68.8 19.2] ; [17.2  4.8],0
n4,1,0.069331,3.298778,[62 26] ; [11 11],[58.4 29.6] ; [14.6  7.4],0
n6,1,0.121291,2.400568,[73 15] ; [15  7],[70.4 17.6] ; [17.6  4.4],0
d1,1,0.126118,2.339648,[44 44] ; [ 7 15],[40.8 47.2] ; [10.2 11.8],0
r3,1,0.152661,2.045455,[81  7] ; [18  4],[79.2  8.8] ; [19.8  2.2],0
b4,1,0.16749,1.905267,[58 30] ; [11 11],[55.2 32.8] ; [13.8  8.2],0
r4,1,0.228951,1.447368,[60 28] ; [12 10],[57.6 30.4] ; [14.4  7.6],0
s4,1,0.23397,1.41656,[21 67] ; [ 8 14],[23.2 64.8] ; [ 5.8 16.2],0
a7,1,0.241036,1.374523,[56 32] ; [11 11],[53.6 34.4] ; [13.4  8.6],0
p8,1,0.252927,1.307064,[43 43] ; [ 8 14],[40.61111111 45.38888889] ; [10.38888889 11.61111111],0
u3,1,0.255014,1.295627,[14 18] ; [7 4],[15.62790698 16.37209302] ; [5.37209302 5.62790698],0
a4,1,0.256466,1.287732,[25 63] ; [ 9 13],[27.2 60.8] ; [ 6.8 15.2],0
a3,1,0.284423,1.145833,[55 33] ; [11 11],[52.8 35.2] ; [13.2  8.8],0
p7,1,0.292196,1.109475,[53 32] ; [11 11],[50.8411215 34.1588785] ; [13.1588785  8.8411215],0
d5,1,0.340233,0.909555,[65 23] ; [14  8],[63.2 24.8] ; [15.8  6.2],0
s7,1,0.343738,0.89644,[44 41] ; [ 8 12],[42.0952381 42.9047619] ; [ 9.9047619 10.0952381],0
r2,1,0.414333,0.666332,[66 18] ; [19  3],[67.35849057 16.64150943] ; [17.64150943  4.35849057],0
s2,1,0.43445,0.610899,[52 36] ; [15  7],[53.6 34.4] ; [13.4  8.6],0
v2,1,0.447431,0.577151,[42 42] ; [ 9 13],[40.41509434 43.58490566] ; [10.58490566 11.41509434],0
d4,1,0.466735,0.529695,[70 18] ; [19  3],[71.2 16.8] ; [17.8  4.2],0
b2,1,0.483951,0.489946,[16 46] ; [3 5],[16.82857143 45.17142857] ; [2.17142857 5.82857143],0
b3,1,0.483951,0.489946,[16 46] ; [3 5],[16.82857143 45.17142857] ; [2.17142857 5.82857143],0
v4,1,0.536704,0.381684,[79  8] ; [19  3],[78.22018349  8.77981651] ; [19.77981651  2.22018349],0
p1,1,0.557946,0.343273,[ 5 83] ; [ 2 20],[ 5.6 82.4] ; [ 1.4 20.6],0
u1,1,0.558287,0.342679,[ 2 86] ; [ 1 21],[ 2.4 85.6] ; [ 0.6 21.4],0
d2,1,0.559305,0.340909,[34 54] ; [10 12],[35.2 52.8] ; [ 8.8 13.2],0
v1,1,0.597766,0.278379,[44 41] ; [10 12],[42.89719626 42.10280374] ; [11.10280374 10.89719626],0
v3,1,0.628417,0.234213,[29 56] ; [ 6 15],[28.06603774 56.93396226] ; [ 6.93396226 14.06603774],0
p3,1,0.633553,0.227273,[43 45] ; [12 10],[44. 44.] ; [11. 11.],0
n3,1,0.638512,0.220694,[18 10] ; [5 4],[17.40540541 10.59459459] ; [5.59459459 3.40540541],0
a8,1,0.686882,0.162481,[ 6 77] ; [ 1 20],[ 5.58653846 77.41346154] ; [ 1.41346154 19.58653846],0
p4,1,0.772495,0.083587,[51 37] ; [12 10],[50.4 37.6] ; [12.6  9.4],0
n1,1,0.783921,0.075192,[11 17] ; [4 5],[11.35135135 16.64864865] ; [3.64864865 5.35135135],0
s1,1,0.798975,0.064858,[ 3 85] ; [ 1 21],[ 3.2 84.8] ; [ 0.8 21.2],0
a5,1,0.84508,0.038181,[54 34] ; [13  9],[53.6 34.4] ; [13.4  8.6],0
n2,1,0.865824,0.028549,[21  7] ; [7 2],[21.18918919  6.81081081] ; [6.81081081 2.18918919],0
a2,1,0.873739,0.025253,[ 9 79] ; [ 2 20],[ 8.8 79.2] ; [ 2.2 19.8],0
a1,1,0.873739,0.025253,[ 9 79] ; [ 2 20],[ 8.8 79.2] ; [ 2.2 19.8],0
u2,1,0.891717,0.018532,[19 14] ; [6 4],[19.18604651 13.81395349] ; [5.81395349 4.18604651],0
d3,1,0.921461,0.009721,[55 33] ; [14  8],[55.2 32.8] ; [13.8  8.2],0
b5,1,0.921461,0.009721,[55 33] ; [14  8],[55.2 32.8] ; [13.8  8.2],0
p5,1,0.984789,0.000364,[12 75] ; [ 3 19],[11.97247706 75.02752294] ; [ 3.02752294 18.97247706],0
