Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2.5e-05,17.743253,[15 62] ; [17 10],[23.69230769 53.30769231] ; [ 8.30769231 18.69230769],1
s2,1,0.000444,12.337533,[20 62] ; [17 11],[27.58181818 54.41818182] ; [ 9.41818182 18.58181818],1
s6,1,0.000665,11.585245,[31 51] ; [21  7],[38.76363636 43.23636364] ; [13.23636364 14.76363636],1
p10,1,0.00114,10.584581,[40 39] ; [24  4],[47.25233645 31.74766355] ; [16.74766355 11.25233645],0
s3,1,0.002168,9.401298,[28 53] ; [19  9],[34.9266055 46.0733945] ; [12.0733945 15.9266055],0
r4,1,0.006114,7.516467,[51 32] ; [25  3],[56.82882883 26.17117117] ; [19.17117117  8.82882883],0
p4,1,0.006575,7.385464,[29 54] ; [18 10],[35.14414414 47.85585586] ; [11.85585586 16.14414414],0
p7,1,0.013806,6.062765,[39 42] ; [21  7],[44.58715596 36.41284404] ; [15.41284404 12.58715596],0
d3,1,0.02112,5.316897,[23 58] ; [ 2 26],[18.57798165 62.42201835] ; [ 6.42201835 21.57798165],0
p2,1,0.035587,4.416791,[53 29] ; [24  4],[57.4 24.6] ; [19.6  8.4],0
v4,1,0.056434,3.639204,[67 15] ; [27  1],[70.07272727 11.92727273] ; [23.92727273  4.07272727],0
r2,1,0.065783,3.385223,[64 19] ; [26  2],[67.2972973 15.7027027] ; [22.7027027  5.2972973],0
s5,1,0.066991,3.35525,[15 65] ; [10 18],[18.51851852 61.48148148] ; [ 6.48148148 21.51851852],0
p9,1,0.069898,3.28542,[47 32] ; [22  6],[50.94392523 28.05607477] ; [18.05607477  9.94392523],0
b5,1,0.090396,2.867299,[45 38] ; [10 18],[41.12612613 41.87387387] ; [13.87387387 14.12612613],0
r3,1,0.130847,2.282428,[63 20] ; [25  3],[65.8018018 17.1981982] ; [22.1981982  5.8018018],0
r1,1,0.140422,2.173333,[40 43] ; [18 10],[43.36936937 39.63063063] ; [14.63063063 13.36936937],0
n6,1,0.169564,1.886791,[57 26] ; [23  5],[59.81981982 23.18018018] ; [20.18018018  7.81981982],0
