Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,3e-05,17.389198,[ 1 13] ; [14  3],[6.77419355 7.22580645] ; [8.22580645 8.77419355],1
p10,1,0.00172,9.826919,[ 2 12] ; [12  5],[6.32258065 7.67741935] ; [7.67741935 9.32258065],0
v1,1,0.001758,9.786243,[ 1 13] ; [11  7],[5.25 8.75] ; [ 6.75 11.25],0
p7,1,0.016746,5.722751,[ 2 12] ; [10  8],[5.25 8.75] ; [ 6.75 11.25],0
p4,1,0.016746,5.722751,[ 2 12] ; [10  8],[5.25 8.75] ; [ 6.75 11.25],0
n3,1,0.030754,4.666667,[2 6] ; [5 1],[4. 4.] ; [3. 3.],0
p11,1,0.032509,4.571429,[ 4 10] ; [12  6],[7. 7.] ; [9. 9.],0
p8,1,0.034846,4.45269,[ 2 12] ; [9 9],[4.8125 9.1875] ; [ 6.1875 11.8125],0
n6,1,0.052174,3.770196,[5 9] ; [12  5],[7.67741935 6.32258065] ; [9.32258065 7.67741935],0
p6,1,0.075425,3.160816,[ 1 13] ; [ 6 12],[ 3.0625 10.9375] ; [ 3.9375 14.0625],0
a5,1,0.100752,2.693603,[7 7] ; [14  4],[9.1875 4.8125] ; [11.8125  6.1875],0
p3,1,0.124634,2.358101,[ 2 12] ; [ 7 11],[ 3.9375 10.0625] ; [ 5.0625 12.9375],0
n1,1,0.132026,2.268519,[5 4] ; [1 5],[3.6 5.4] ; [2.4 3.6],0
r4,1,0.154044,2.031746,[5 9] ; [11  7],[7. 7.] ; [9. 9.],0
r2,1,0.173872,1.849241,[11  3] ; [10  8],[9.1875 4.8125] ; [11.8125  6.1875],0
s1,1,0.178022,1.814059,[ 3 11] ; [ 1 17],[ 1.75 12.25] ; [ 2.25 15.75],0
d1,1,0.197703,1.659259,[7 7] ; [ 5 13],[5.25 8.75] ; [ 6.75 11.25],0
s6,1,0.20009,1.641719,[5 9] ; [10  7],[6.77419355 7.22580645] ; [8.22580645 8.77419355],0
v3,1,0.209351,1.575906,[ 4 10] ; [ 2 16],[ 2.625 11.375] ; [ 3.375 14.625],0
s8,1,0.217044,1.52381,[ 2 12] ; [ 6 12],[ 3.5 10.5] ; [ 4.5 13.5],0
r3,1,0.217044,1.52381,[9 5] ; [15  3],[10.5  3.5] ; [13.5  4.5],0
n5,1,0.304652,1.053719,[6 8] ; [11  7],[7.4375 6.5625] ; [9.5625 8.4375],0
b4,1,0.340943,0.906883,[7 7] ; [12  6],[8.3125 5.6875] ; [10.6875  7.3125],0
a6,1,0.357527,0.846561,[ 4 10] ; [ 8 10],[5.25 8.75] ; [ 6.75 11.25],0
u2,1,0.376462,0.782222,[3 2] ; [2 4],[2.27272727 2.72727273] ; [2.72727273 3.27272727],0
n2,1,0.398025,0.714286,[4 5] ; [4 2],[4.8 4.2] ; [3.2 2.8],0
a1,1,0.400628,0.70644,[ 2 12] ; [ 1 17],[ 1.3125 12.6875] ; [ 1.6875 16.3125],0
d3,1,0.41902,0.653061,[5 9] ; [9 9],[6.125 7.875] ; [ 7.875 10.125],0
s2,1,0.456996,0.553243,[5 9] ; [ 4 13],[4.06451613 9.93548387] ; [ 4.93548387 12.06451613],0
s5,1,0.457459,0.552105,[ 3 11] ; [ 6 12],[ 3.9375 10.0625] ; [ 5.0625 12.9375],0
d2,1,0.476033,0.507937,[8 6] ; [ 8 10],[7. 7.] ; [9. 9.],0
b5,1,0.617902,0.248827,[5 9] ; [ 8 10],[5.6875 8.3125] ; [ 7.3125 10.6875],0
u3,1,0.621014,0.244444,[1 4] ; [2 4],[1.36363636 3.63636364] ; [1.63636364 4.36363636],0
s3,1,0.623233,0.241349,[7 7] ; [ 7 10],[6.32258065 7.67741935] ; [7.67741935 9.32258065],0
d5,1,0.630872,0.23088,[9 5] ; [13  5],[9.625 4.375] ; [12.375  5.625],0
n4,1,0.630872,0.23088,[9 5] ; [13  5],[9.625 4.375] ; [12.375  5.625],0
v2,1,0.687922,0.161345,[6 8] ; [9 9],[6.5625 7.4375] ; [8.4375 9.5625],0
a2,1,0.702428,0.145959,[ 1 13] ; [ 2 16],[ 1.3125 12.6875] ; [ 1.6875 16.3125],0
d4,1,0.732074,0.117216,[11  3] ; [15  3],[11.375  2.625] ; [14.625  3.375],0
a7,1,0.754725,0.097603,[7 7] ; [10  8],[7.4375 6.5625] ; [9.5625 8.4375],0
s4,1,0.787642,0.072562,[ 2 12] ; [ 2 16],[ 1.75 12.25] ; [ 2.25 15.75],0
a4,1,0.820627,0.051411,[6 8] ; [ 7 11],[5.6875 8.3125] ; [ 7.3125 10.6875],0
p1,1,0.854,0.033862,[ 1 13] ; [ 1 17],[ 0.875 13.125] ; [ 1.125 16.875],0
a3,1,0.880212,0.022711,[9 4] ; [12  6],[8.80645161 4.19354839] ; [12.19354839  5.80645161],0
s7,1,0.907008,0.013645,[4 8] ; [ 5 11],[3.85714286 8.14285714] ; [ 5.14285714 10.85714286],0
b1,1,0.928453,0.008062,[8 6] ; [10  8],[7.875 6.125] ; [10.125  7.875],0
b2,1,0.933249,0.007015,[3 5] ; [5 9],[2.90909091 5.09090909] ; [5.09090909 8.90909091],0
b3,1,0.933249,0.007015,[3 5] ; [5 9],[2.90909091 5.09090909] ; [5.09090909 8.90909091],0
a8,1,0.940754,0.005524,[ 2 12] ; [ 2 13],[ 1.93103448 12.06896552] ; [ 2.06896552 12.93103448],0
