Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,8.9e-05,15.365079,[ 5 37] ; [9 5],[10.5 31.5] ; [ 3.5 10.5],1
p2,1,0.000124,14.724824,[10 32] ; [12  3],[16.21052632 25.78947368] ; [5.78947368 9.21052632],1
p10,1,0.002419,9.200804,[12 30] ; [11  4],[16.94736842 25.05263158] ; [6.05263158 8.94736842],0
p11,1,0.002424,9.197251,[ 8 35] ; [9 6],[12.60344828 30.39655172] ; [ 4.39655172 10.60344828],0
p3,1,0.002563,9.095112,[ 6 36] ; [8 7],[10.31578947 31.68421053] ; [ 3.68421053 11.31578947],0
p7,1,0.003522,8.515263,[ 8 33] ; [9 6],[12.44642857 28.55357143] ; [ 4.55357143 10.44642857],0
p6,1,0.004316,8.145989,[ 1 41] ; [ 4 11],[ 3.68421053 38.31578947] ; [ 1.31578947 13.68421053],0
p9,1,0.00806,7.02,[13 26] ; [11  4],[17.33333333 21.66666667] ; [6.66666667 8.33333333],0
d3,1,0.015733,5.832499,[16 27] ; [11  4],[20.01724138 22.98275862] ; [6.98275862 8.01724138],0
n6,1,0.016693,5.728405,[15 28] ; [10  4],[18.85964912 24.14035088] ; [6.14035088 7.85964912],0
s7,1,0.029537,4.736065,[ 4 35] ; [5 9],[ 6.62264151 32.37735849] ; [ 2.37735849 11.62264151],0
u2,1,0.033641,4.512857,[ 6 15] ; [4 1],[ 8.07692308 12.92307692] ; [1.92307692 3.07692308],0
p5,1,0.035767,4.408163,[ 3 39] ; [ 4 10],[ 5.25 36.75] ; [ 1.75 12.25],0
u3,1,0.063541,3.442463,[ 4 17] ; [3 2],[ 5.65384615 15.34615385] ; [1.34615385 3.65384615],0
n4,1,0.089017,2.892066,[28 15] ; [6 9],[25.20689655 17.79310345] ; [8.79310345 6.20689655],0
p12,1,0.097421,2.747268,[ 1 42] ; [ 2 13],[ 2.22413793 40.77586207] ; [ 0.77586207 14.22413793],0
v2,1,0.14143,2.162333,[ 5 37] ; [ 4 10],[ 6.75 35.25] ; [ 2.25 11.75],0
s8,1,0.163678,1.939916,[ 3 39] ; [ 3 12],[ 4.42105263 37.57894737] ; [ 1.57894737 13.42105263],0
b1,1,0.170512,1.878433,[26 17] ; [12  3],[28.17241379 14.82758621] ; [9.82758621 5.17241379],0
a5,1,0.17861,1.809155,[20 23] ; [10  5],[22.24137931 20.75862069] ; [7.75862069 7.24137931],0
s1,1,0.253204,1.305541,[ 2 41] ; [ 2 13],[ 2.96551724 40.03448276] ; [ 1.03448276 13.96551724],0
r1,1,0.274944,1.191914,[16 27] ; [8 7],[17.79310345 25.20689655] ; [6.20689655 8.79310345],0
d4,1,0.298519,1.080799,[22 21] ; [10  5],[23.72413793 19.27586207] ; [8.27586207 6.72413793],0
b3,1,0.368005,0.81039,[12 16] ; [3 8],[10.76923077 17.23076923] ; [4.23076923 6.76923077],0
b2,1,0.368005,0.81039,[12 16] ; [3 8],[10.76923077 17.23076923] ; [4.23076923 6.76923077],0
v4,1,0.374856,0.787503,[23 20] ; [10  5],[24.46551724 18.53448276] ; [8.53448276 6.46551724],0
a3,1,0.383702,0.758808,[22 19] ; [10  5],[23.42857143 17.57142857] ; [8.57142857 6.42857143],0
s4,1,0.418141,0.655535,[ 5 38] ; [ 3 12],[ 5.93103448 37.06896552] ; [ 2.06896552 12.93103448],0
s5,1,0.418141,0.655535,[ 5 38] ; [ 3 12],[ 5.93103448 37.06896552] ; [ 2.06896552 12.93103448],0
n2,1,0.451587,0.566667,[13 11] ; [4 6],[12. 12.] ; [5. 5.],0
n1,1,0.594525,0.283333,[12 12] ; [4 6],[11.29411765 12.70588235] ; [4.70588235 5.29411765],0
b4,1,0.629175,0.233181,[26 17] ; [8 7],[25.20689655 17.79310345] ; [8.79310345 6.20689655],0
r2,1,0.642355,0.215676,[28 14] ; [9 6],[27.26315789 14.73684211] ; [9.73684211 5.26315789],0
