Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.015725,5.833333,[3 2] ; [ 4 26],[1. 4.] ; [ 6. 24.],0
d1,1,0.032175,4.589161,[4 1] ; [ 9 21],[1.85714286 3.14285714] ; [11.14285714 18.85714286],0
s7,1,0.04295,4.097354,[2 3] ; [ 2 25],[0.625 4.375] ; [ 3.375 23.625],0
d3,1,0.048607,3.888889,[4 1] ; [10 20],[2. 3.] ; [12. 18.],0
v2,1,0.065755,3.385931,[3 2] ; [ 6 23],[1.32352941 3.67647059] ; [ 7.67647059 21.32352941],0
r3,1,0.069868,3.286111,[4 1] ; [11 19],[2.14285714 2.85714286] ; [12.85714286 17.14285714],0
s4,1,0.075927,3.15,[2 3] ; [ 3 27],[0.71428571 4.28571429] ; [ 4.28571429 25.71428571],0
d2,1,0.128822,2.306645,[4 1] ; [13 17],[2.42857143 2.57142857] ; [14.57142857 15.42857143],0
r4,1,0.14298,2.145594,[2 3] ; [ 4 26],[0.85714286 4.14285714] ; [ 5.14285714 24.85714286],0
s3,1,0.152474,2.047322,[3 2] ; [ 8 21],[1.61764706 3.38235294] ; [ 9.38235294 19.61764706],0
a7,1,0.167373,1.906318,[4 1] ; [14 16],[2.57142857 2.42857143] ; [15.42857143 14.57142857],0
a3,1,0.29751,1.08532,[4 1] ; [16 13],[2.94117647 2.05882353] ; [17.05882353 11.94117647],0
p4,1,0.324127,0.972222,[2 3] ; [ 6 24],[1.14285714 3.85714286] ; [ 6.85714286 23.14285714],0
r1,1,0.324127,0.972222,[3 2] ; [11 19],[2. 3.] ; [12. 18.],0
p2,1,0.457789,0.551295,[2 3] ; [ 7 22],[1.32352941 3.67647059] ; [ 7.67647059 21.32352941],0
n4,1,0.488551,0.479715,[2 3] ; [17 13],[2.71428571 2.28571429] ; [16.28571429 13.71428571],0
n2,1,0.527089,0.4,[2 1] ; [7 8],[1.5 1.5] ; [7.5 7.5],0
n1,1,0.527089,0.4,[2 1] ; [7 8],[1.5 1.5] ; [7.5 7.5],0
a8,1,0.536008,0.382989,[1 4] ; [ 3 26],[0.58823529 4.41176471] ; [ 3.41176471 25.58823529],0
n3,1,0.671373,0.18,[1 2] ; [7 8],[1.33333333 1.66666667] ; [6.66666667 8.33333333],0
p1,1,0.693282,0.155556,[1 4] ; [ 4 26],[0.71428571 4.28571429] ; [ 4.28571429 25.71428571],0
s2,1,0.693282,0.155556,[1 4] ; [ 4 26],[0.71428571 4.28571429] ; [ 4.28571429 25.71428571],0
p6,1,0.717411,0.130987,[1 4] ; [ 4 25],[0.73529412 4.26470588] ; [ 4.26470588 24.73529412],0
v1,1,0.752172,0.099715,[1 4] ; [ 8 22],[1.28571429 3.71428571] ; [ 7.71428571 22.28571429],0
p7,1,0.752172,0.099715,[1 4] ; [ 8 22],[1.28571429 3.71428571] ; [ 7.71428571 22.28571429],0
b2,1,0.768589,0.086566,[2 3] ; [ 9 10],[2.29166667 2.70833333] ; [ 8.70833333 10.29166667],0
b3,1,0.768589,0.086566,[2 3] ; [ 9 10],[2.29166667 2.70833333] ; [ 8.70833333 10.29166667],0
n5,1,0.781745,0.076754,[2 3] ; [14 16],[2.28571429 2.71428571] ; [13.71428571 16.28571429],0
b4,1,0.781745,0.076754,[3 2] ; [16 14],[2.71428571 2.28571429] ; [16.28571429 13.71428571],0
a5,1,0.781745,0.076754,[3 2] ; [16 14],[2.71428571 2.28571429] ; [16.28571429 13.71428571],0
a6,1,0.781745,0.076754,[2 3] ; [14 16],[2.28571429 2.71428571] ; [13.71428571 16.28571429],0
p9,1,0.811555,0.056844,[2 3] ; [10 19],[1.76470588 3.23529412] ; [10.23529412 18.76470588],0
a1,1,0.854721,0.033525,[1 4] ; [ 5 25],[0.85714286 4.14285714] ; [ 5.14285714 24.85714286],0
p11,1,0.869467,0.027006,[1 4] ; [ 7 23],[1.14285714 3.85714286] ; [ 6.85714286 23.14285714],0
a4,1,0.8891,0.019444,[2 3] ; [13 17],[2.14285714 2.85714286] ; [12.85714286 17.14285714],0
b5,1,0.8891,0.019444,[2 3] ; [13 17],[2.14285714 2.85714286] ; [12.85714286 17.14285714],0
p10,1,0.971902,0.001241,[1 4] ; [ 6 23],[1.02941176 3.97058824] ; [ 5.97058824 23.02941176],0
p3,1,1.0,0.0,[1 4] ; [ 6 24],[1. 4.] ; [ 6. 24.],0
b1,1,1.0,0.0,[3 2] ; [18 12],[3. 2.] ; [18. 12.],0
