Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,56.401479,[265  78] ; [65 87],[228.66666667 114.33333333] ; [101.33333333  50.66666667],1
d2,1,0.0,54.005265,[184 159] ; [ 28 125],[146.60483871 196.39516129] ; [65.39516129 87.60483871],1
a4,1,0.0,46.882765,[169 172] ; [ 26 127],[134.60526316 206.39473684] ; [60.39473684 92.60526316],1
d1,1,0.0,41.640166,[215 128] ; [ 48 105],[181.87298387 161.12701613] ; [81.12701613 71.87298387],1
r1,1,0.0,39.863174,[294  48] ; [92 60],[267.23076923  74.76923077] ; [118.76923077  33.23076923],1
d5,1,0.0,30.434165,[294  49] ; [97 55],[270.93535354  72.06464646] ; [120.06464646  31.93535354],1
n4,1,1e-06,24.304767,[279  64] ; [92 60],[257.07676768  85.92323232] ; [113.92323232  38.07676768],1
u1,1,2e-06,23.023303,[ 64 279] ; [  4 149],[ 47.02419355 295.97580645] ; [ 20.97580645 132.02419355],1
a6,1,6e-06,20.572309,[262  81] ; [86 67],[240.65322581 102.34677419] ; [107.34677419  45.65322581],1
d4,1,6e-06,20.535349,[288  55] ; [100  52],[268.85656566  74.14343434] ; [119.14343434  32.85656566],1
r4,1,4.5e-05,16.635814,[314  29] ; [120  33],[300.125  42.875] ; [133.875  19.125],1
p11,1,0.000198,13.852289,[293  50] ; [109  44],[277.99596774  65.00403226] ; [124.00403226  28.99596774],1
d3,1,0.000273,13.248763,[254  89] ; [87 64],[236.76720648 106.23279352] ; [104.23279352  46.76720648],1
v1,1,0.001376,10.237786,[188 148] ; [59 88],[171.82608696 164.17391304] ; [75.17391304 71.82608696],0
p4,1,0.001678,9.872444,[218 124] ; [74 78],[202.15384615 139.84615385] ; [89.84615385 62.15384615],0
r2,1,0.002623,9.052712,[321  18] ; [132  20],[312.76374745  26.23625255] ; [140.23625255  11.76374745],0
s7,1,0.004413,8.105432,[145 181] ; [ 45 102],[130.95137421 195.04862579] ; [59.04862579 87.95137421],0
p10,1,0.005896,7.581833,[281  58] ; [108  42],[269.67484663  69.32515337] ; [119.32515337  30.67484663],0
r3,1,0.006135,7.510298,[332  10] ; [139  13],[326.07692308  15.92307692] ; [144.92307692   7.07692308],0
p3,1,0.010185,6.602207,[170 172] ; [57 96],[156.83636364 185.16363636] ; [70.16363636 82.83636364],0
v2,1,0.010665,6.520353,[192 140] ; [64 78],[179.30801688 152.69198312] ; [76.69198312 65.30801688],0
p9,1,0.01515,5.898895,[293  47] ; [116  34],[283.79591837  56.20408163] ; [125.20408163  24.79591837],0
a1,1,0.039492,4.239573,[ 14 329] ; [  1 152],[ 10.37298387 332.62701613] ; [  4.62701613 148.37298387],0
n6,1,0.064959,3.406025,[287  55] ; [117  35],[279.69230769  62.30769231] ; [124.30769231  27.69230769],0
p8,1,0.072847,3.217675,[188 149] ; [71 80],[178.85860656 158.14139344] ; [80.14139344 70.85860656],0
s8,1,0.08078,3.049136,[133 209] ; [ 47 106],[124.36363636 217.63636364] ; [55.63636364 97.36363636],0
