Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,89.084791,[365  76] ; [69 89],[319.52253756 121.47746244] ; [114.47746244  43.52253756],1
d3,1,0.0,71.700621,[373  69] ; [80 78],[333.71 108.29] ; [119.29  38.71],1
a2,1,0.0,43.533559,[184 258] ; [ 20 138],[150.28 291.72] ; [ 53.72 104.28],1
u1,1,0.0,32.178246,[137 305] ; [ 13 145],[110.5 331.5] ; [ 39.5 118.5],1
b5,1,2e-06,22.518889,[291 151] ; [70 88],[265.93666667 176.06333333] ; [95.06333333 62.93666667],1
b1,1,0.00455,8.05007,[156 286] ; [76 82],[170.90666667 271.09333333] ; [61.09333333 96.90666667],0
r1,1,0.008981,6.826631,[372  65] ; [120  38],[361.3512605  75.6487395] ; [130.6487395  27.3512605],0
b3,1,0.014566,5.968227,[ 98 175] ; [53 54],[108.48157895 164.51842105] ; [42.51842105 64.48157895],0
b2,1,0.014566,5.968227,[ 98 175] ; [53 54],[108.48157895 164.51842105] ; [42.51842105 64.48157895],0
p4,1,0.027158,4.88075,[288 152] ; [86 69],[276.57142857 163.42857143] ; [97.42857143 57.57142857],0
r4,1,0.040089,4.2141,[401  41] ; [134  24],[394.11666667  47.88333333] ; [140.88333333  17.11666667],0
u3,1,0.0435,4.075846,[53 29] ; [11 15],[48.59259259 33.40740741] ; [15.40740741 10.59259259],0
d1,1,0.048764,3.883459,[345  97] ; [111  47],[335.92 106.08] ; [120.08  37.92],0
s5,1,0.050194,3.834963,[145 277] ; [65 85],[154.93006993 267.06993007] ; [55.06993007 94.93006993],0
r3,1,0.059358,3.555226,[420  19] ; [144  13],[415.4295302  23.5704698] ; [148.5704698   8.4295302],0
v2,1,0.063861,3.434149,[264 157] ; [84 71],[254.35416667 166.64583333] ; [93.64583333 61.35416667],0
s7,1,0.070848,3.263259,[205 213] ; [87 64],[214.50966608 203.49033392] ; [77.49033392 73.50966608],0
p2,1,0.104158,2.640701,[373  67] ; [121  32],[366.54300169  73.45699831] ; [127.45699831  25.54300169],0
v4,1,0.107925,2.584348,[416  21] ; [144  13],[411.98653199  25.01346801] ; [148.01346801   8.98653199],0
a8,1,0.157303,1.999965,[ 59 329] ; [ 16 136],[ 53.88888889 334.11111111] ; [ 21.11111111 130.88888889],0
n1,1,0.158315,1.990246,[34 65] ; [21 24],[37.8125 61.1875] ; [17.1875 27.8125],0
s8,1,0.166393,1.915148,[202 236] ; [82 74],[209.41414141 228.58585859] ; [74.58585859 81.41414141],0
p8,1,0.179642,1.800585,[233 201] ; [72 80],[225.88737201 208.11262799] ; [79.11262799 72.88737201],0
p1,1,0.180566,1.792956,[ 37 402] ; [  8 148],[ 33.20168067 405.79831933] ; [ 11.79831933 144.20168067],0
u2,1,0.184721,1.759229,[49 34] ; [11 14],[46.11111111 36.88888889] ; [13.88888889 11.11111111],0
s4,1,0.189335,1.722787,[ 64 370] ; [ 30 126],[ 69.14576271 364.85423729] ; [ 24.85423729 131.14576271],0
p9,1,0.242718,1.364736,[376  59] ; [128  27],[371.59322034  63.40677966] ; [132.40677966  22.59322034],0
v3,1,0.248912,1.329399,[165 258] ; [67 84],[170.96864111 252.03135889] ; [61.03135889 89.96864111],0
p12,1,0.274473,1.194255,[ 38 401] ; [  9 144],[ 34.85304054 404.14695946] ; [ 12.14695946 140.85304054],0
n5,1,0.288836,1.125041,[329 108] ; [124  32],[333.8296796 103.1703204] ; [119.1703204  36.8296796],0
b4,1,0.295106,1.096179,[259 183] ; [85 73],[253.41333333 188.58666667] ; [90.58666667 67.41333333],0
p10,1,0.300437,1.072252,[363  74] ; [123  32],[358.75337838  78.24662162] ; [127.24662162  27.75337838],0
p3,1,0.356816,0.849068,[226 213] ; [87 69],[230.93613445 208.06386555] ; [82.06386555 73.93613445],0
