Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,38.488183,[ 23 114] ; [83 79],[48.56856187 88.43143813] ; [ 57.43143813 104.56856187],1
s3,1,0.0,32.905745,[36 99] ; [96 64],[60.40677966 74.59322034] ; [71.59322034 88.40677966],1
s5,1,0.0,31.903507,[ 15 122] ; [64 96],[ 36.44107744 100.55892256] ; [ 42.55892256 117.44107744],1
s7,1,0.000578,11.84659,[ 24 103] ; [59 98],[37.11619718 89.88380282] ; [ 45.88380282 111.11619718],1
s4,1,0.001991,9.557502,[ 11 126] ; [ 33 125],[ 20.43389831 116.56610169] ; [ 23.56610169 134.43389831],0
p4,1,0.011081,6.45231,[74 61] ; [112  50],[84.54545455 50.45454545] ; [101.45454545  60.54545455],0
d4,1,0.013619,6.086864,[99 37] ; [136  25],[107.60942761  28.39057239] ; [127.39057239  33.60942761],0
r3,1,0.015835,5.821053,[122  15] ; [154   6],[127.31313131   9.68686869] ; [148.68686869  11.31313131],0
n5,1,0.01648,5.750952,[87 50] ; [122  38],[96.40740741 40.59259259] ; [112.59259259  47.40740741],0
p12,1,0.026442,4.92685,[  3 133] ; [ 13 149],[  7.30201342 128.69798658] ; [  8.69798658 153.30201342],0
u3,1,0.028221,4.81449,[20 29] ; [32 19],[25.48 23.52] ; [26.52 24.48],0
p9,1,0.029214,4.754983,[100  36] ; [135  26],[107.60942761  28.39057239] ; [127.39057239  33.60942761],0
r4,1,0.034617,4.463984,[113  24] ; [147  15],[119.13043478  17.86956522] ; [140.86956522  21.13043478],0
a7,1,0.035723,4.410277,[91 45] ; [126  36],[99.03355705 36.96644295] ; [117.96644295  44.03355705],0
a1,1,0.039465,4.240754,[  3 134] ; [ 12 150],[  6.8729097 130.1270903] ; [  8.1270903 153.8729097],0
d3,1,0.040537,4.195251,[83 52] ; [117  44],[91.21621622 43.78378378] ; [108.78378378  52.21621622],0
p10,1,0.041164,4.169252,[97 39] ; [131  30],[104.4040404  31.5959596] ; [123.5959596  37.4040404],0
d5,1,0.078239,3.101113,[99 37] ; [131  30],[105.31986532  30.68013468] ; [124.68013468  36.31986532],0
n3,1,0.079708,3.070839,[31  5] ; [19  9],[28.125  7.875] ; [21.875  6.125],0
r2,1,0.090864,2.858995,[119  16] ; [150  10],[123.10169492  11.89830508] ; [145.89830508  14.10169492],0
p2,1,0.103352,2.653046,[113  22] ; [145  16],[117.66891892  17.33108108] ; [140.33108108  20.66891892],0
p3,1,0.105497,2.620409,[67 69] ; [95 67],[73.93288591 62.06711409] ; [88.06711409 73.93288591],0
u1,1,0.106324,2.608022,[ 14 123] ; [ 27 135],[ 18.78595318 118.21404682] ; [ 22.21404682 139.78595318],0
