Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.005019,7.872577,[ 4 21] ; [13 11],[ 8.67346939 16.32653061] ; [ 8.32653061 15.67346939],0
d5,1,0.018422,5.555556,[12 13] ; [20  5],[16.  9.] ; [16.  9.],0
a7,1,0.047715,3.92,[ 9 16] ; [16  9],[12.5 12.5] ; [12.5 12.5],0
p4,1,0.065691,3.387534,[ 2 23] ; [ 7 18],[ 4.5 20.5] ; [ 4.5 20.5],0
r1,1,0.083265,3.0,[ 7 18] ; [13 12],[10. 15.] ; [10. 15.],0
d1,1,0.087375,2.922078,[ 8 17] ; [14 11],[11. 14.] ; [11. 14.],0
v2,1,0.09502,2.787204,[ 6 18] ; [12 13],[ 8.81632653 15.18367347] ; [ 9.18367347 15.81632653],0
a3,1,0.104023,2.642761,[12 13] ; [17  7],[14.79591837 10.20408163] ; [14.20408163  9.79591837],0
v1,1,0.158401,1.989429,[ 4 21] ; [ 8 16],[ 6.12244898 18.87755102] ; [ 5.87755102 18.12244898],0
r4,1,0.185326,1.754386,[ 8 17] ; [ 4 21],[ 6. 19.] ; [ 6. 19.],0
d2,1,0.199375,1.646944,[10 15] ; [14 10],[12.24489796 12.75510204] ; [11.75510204 12.24489796],0
a1,1,0.22144,1.495017,[ 2 23] ; [ 5 20],[ 3.5 21.5] ; [ 3.5 21.5],0
p3,1,0.22144,1.495017,[ 2 23] ; [ 5 20],[ 3.5 21.5] ; [ 3.5 21.5],0
d4,1,0.225253,1.470588,[15 10] ; [19  6],[17.  8.] ; [17.  8.],0
a6,1,0.254451,1.298701,[ 9 16] ; [13 12],[11. 14.] ; [11. 14.],0
n4,1,0.354539,0.857143,[16  9] ; [19  6],[17.5  7.5] ; [17.5  7.5],0
n5,1,0.382078,0.764007,[17  8] ; [14 11],[15.5  9.5] ; [15.5  9.5],0
b5,1,0.382078,0.764007,[11 14] ; [ 8 17],[ 9.5 15.5] ; [ 9.5 15.5],0
s4,1,0.384088,0.757576,[ 4 21] ; [ 2 23],[ 3. 22.] ; [ 3. 22.],0
b1,1,0.396144,0.72,[11 14] ; [14 11],[12.5 12.5] ; [12.5 12.5],0
r2,1,0.406405,0.689292,[16  9] ; [12 11],[14.58333333 10.41666667] ; [13.41666667  9.58333333],0
r3,1,0.457807,0.55125,[13 12] ; [15  9],[14.28571429 10.71428571] ; [13.71428571 10.28571429],0
b2,1,0.476033,0.507937,[8 8] ; [ 6 10],[7. 9.] ; [7. 9.],0
b3,1,0.476033,0.507937,[8 8] ; [ 6 10],[7. 9.] ; [7. 9.],0
s5,1,0.477664,0.504192,[ 3 21] ; [ 5 20],[ 3.91836735 20.08163265] ; [ 4.08163265 20.91836735],0
s3,1,0.525358,0.403361,[ 8 16] ; [ 6 18],[ 7. 17.] ; [ 7. 17.],0
p10,1,0.540291,0.375,[ 7 17] ; [ 9 15],[ 8. 16.] ; [ 8. 16.],0
s7,1,0.550097,0.357143,[ 4 20] ; [ 5 16],[ 4.8 19.2] ; [ 4.2 16.8],0
u1,1,0.551515,0.35461,[ 1 24] ; [ 2 23],[ 1.5 23.5] ; [ 1.5 23.5],0
n2,1,0.571107,0.320833,[3 5] ; [7 7],[3.63636364 4.36363636] ; [6.36363636 7.63636364],0
d3,1,0.5713,0.320513,[11 14] ; [13 12],[12. 13.] ; [12. 13.],0
p6,1,0.575811,0.313056,[ 1 23] ; [ 2 23],[ 1.46938776 22.53061224] ; [ 1.53061224 23.46938776],0
u2,1,0.585804,0.296946,[ 2 11] ; [2 6],[ 2.47619048 10.52380952] ; [1.52380952 6.47619048],0
a8,1,0.60292,0.270614,[ 2 23] ; [ 3 21],[ 2.55102041 22.44897959] ; [ 2.44897959 21.55102041],0
s8,1,0.637352,0.222222,[ 3 22] ; [ 2 23],[ 2.5 22.5] ; [ 2.5 22.5],0
s2,1,0.674975,0.175837,[ 5 20] ; [ 6 18],[ 5.6122449 19.3877551] ; [ 5.3877551 18.6122449],0
p9,1,0.676326,0.174291,[ 9 15] ; [10 13],[ 9.70212766 14.29787234] ; [ 9.29787234 13.70212766],0
n3,1,0.697161,0.151442,[3 5] ; [6 7],[3.42857143 4.57142857] ; [5.57142857 7.42857143],0
v3,1,0.732807,0.11655,[ 5 20] ; [ 6 19],[ 5.5 19.5] ; [ 5.5 19.5],0
n1,1,0.746188,0.104762,[4 4] ; [6 8],[3.63636364 4.36363636] ; [6.36363636 7.63636364],0
p2,1,0.765291,0.089127,[ 8 17] ; [ 9 16],[ 8.5 16.5] ; [ 8.5 16.5],0
b4,1,0.765291,0.089127,[16  9] ; [17  8],[16.5  8.5] ; [16.5  8.5],0
p11,1,0.774469,0.082102,[10 15] ; [11 14],[10.5 14.5] ; [10.5 14.5],0
n6,1,0.87925,0.02308,[12 13] ; [11 13],[11.73469388 13.26530612] ; [11.26530612 12.73469388],0
p8,1,0.957434,0.002849,[ 3 21] ; [ 3 22],[ 2.93877551 21.06122449] ; [ 3.06122449 21.93877551],0
p1,1,1.0,0.0,[ 4 21] ; [ 4 21],[ 4. 21.] ; [ 4. 21.],0
s6,1,1.0,0.0,[ 7 18] ; [ 7 18],[ 7. 18.] ; [ 7. 18.],0
s1,1,1.0,0.0,[ 2 23] ; [ 2 23],[ 2. 23.] ; [ 2. 23.],0
