Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.001436,10.15873,[7 3] ; [ 5 25],[3. 7.] ; [ 9. 21.],0
d3,1,0.002765,8.956124,[7 3] ; [ 6 25],[3.17073171 6.82926829] ; [ 9.82926829 21.17073171],0
p10,1,0.042225,4.126172,[7 3] ; [10 20],[4.25 5.75] ; [12.75 17.25],0
r4,1,0.047841,3.915573,[3 7] ; [ 2 29],[1.2195122 8.7804878] ; [ 3.7804878 27.2195122],0
p1,1,0.047841,3.915573,[3 7] ; [ 2 29],[1.2195122 8.7804878] ; [ 3.7804878 27.2195122],0
s6,1,0.05719,3.617058,[5 5] ; [ 6 25],[2.68292683 7.31707317] ; [ 8.31707317 22.68292683],0
a6,1,0.077083,3.12536,[6 4] ; [ 9 22],[3.65853659 6.34146341] ; [11.34146341 19.65853659],0
n6,1,0.079841,3.068132,[8 2] ; [15 16],[5.6097561 4.3902439] ; [17.3902439 13.6097561],0
d4,1,0.084452,2.977072,[7 3] ; [12 19],[4.63414634 5.36585366] ; [14.36585366 16.63414634],0
s2,1,0.112786,2.51474,[4 6] ; [ 5 26],[2.19512195 7.80487805] ; [ 6.80487805 24.19512195],0
d1,1,0.112786,2.51474,[4 6] ; [ 5 26],[2.19512195 7.80487805] ; [ 6.80487805 24.19512195],0
p8,1,0.112786,2.51474,[4 6] ; [ 5 26],[2.19512195 7.80487805] ; [ 6.80487805 24.19512195],0
p9,1,0.121857,2.393292,[6 4] ; [ 9 19],[3.94736842 6.05263158] ; [11.05263158 16.94736842],0
p2,1,0.122624,2.383479,[7 3] ; [13 18],[4.87804878 5.12195122] ; [15.12195122 15.87804878],0
s3,1,0.140758,2.169655,[4 5] ; [ 6 24],[2.30769231 6.69230769] ; [ 7.69230769 22.30769231],0
a5,1,0.171205,1.872359,[6 4] ; [11 20],[4.14634146 5.85365854] ; [12.85365854 18.14634146],0
p7,1,0.172469,1.861349,[5 5] ; [ 8 22],[3.25 6.75] ; [ 9.75 20.25],0
v1,1,0.18619,1.747513,[4 6] ; [ 6 25],[2.43902439 7.56097561] ; [ 7.56097561 23.43902439],0
n5,1,0.18619,1.747513,[6 4] ; [25  6],[7.56097561 2.43902439] ; [23.43902439  7.56097561],0
s5,1,0.211522,1.560979,[3 7] ; [ 4 27],[1.70731707 8.29268293] ; [ 5.29268293 25.70731707],0
r1,1,0.224044,1.478281,[5 5] ; [ 9 22],[3.41463415 6.58536585] ; [10.58536585 20.41463415],0
v3,1,0.255989,1.290323,[3 6] ; [ 5 26],[1.8 7.2] ; [ 6.2 24.8],0
n4,1,0.277962,1.177027,[8 2] ; [19 12],[6.58536585 3.41463415] ; [20.41463415 10.58536585],0
p11,1,0.311136,1.025848,[5 5] ; [10 21],[3.65853659 6.34146341] ; [11.34146341 19.65853659],0
n3,1,0.328864,0.953366,[2 1] ; [ 7 12],[1.22727273 1.77272727] ; [ 7.77272727 11.22727273],0
s4,1,0.335824,0.926307,[3 7] ; [ 5 26],[1.95121951 8.04878049] ; [ 6.04878049 24.95121951],0
d2,1,0.345779,0.888889,[5 5] ; [10 20],[3.75 6.25] ; [11.25 18.75],0
s8,1,0.385717,0.752401,[2 8] ; [ 3 28],[1.2195122 8.7804878] ; [ 3.7804878 27.2195122],0
p5,1,0.387184,0.747767,[1 9] ; [ 1 30],[0.48780488 9.51219512] ; [ 1.51219512 29.48780488],0
p12,1,0.387184,0.747767,[1 9] ; [ 1 30],[0.48780488 9.51219512] ; [ 1.51219512 29.48780488],0
b5,1,0.413206,0.669556,[5 5] ; [11 20],[3.90243902 6.09756098] ; [12.09756098 18.90243902],0
v4,1,0.414335,0.666329,[4 6] ; [17 14],[5.12195122 4.87804878] ; [15.87804878 15.12195122],0
b2,1,0.502716,0.449198,[2 5] ; [ 9 12],[2.75 4.25] ; [ 8.25 12.75],0
b3,1,0.502716,0.449198,[2 5] ; [ 9 12],[2.75 4.25] ; [ 8.25 12.75],0
r2,1,0.523593,0.40681,[7 3] ; [17 12],[6.15384615 3.84615385] ; [17.84615385 11.15384615],0
u2,1,0.539222,0.376984,[2 2] ; [ 5 10],[1.47368421 2.52631579] ; [5.52631579 9.47368421],0
v2,1,0.542227,0.371429,[1 8] ; [ 6 24],[1.61538462 7.38461538] ; [ 5.38461538 24.61538462],0
s7,1,0.632912,0.228132,[1 8] ; [ 5 23],[1.45945946 7.54054054] ; [ 4.54054054 23.45945946],0
a3,1,0.643735,0.213891,[6 4] ; [16 15],[5.36585366 4.63414634] ; [16.63414634 14.36585366],0
d5,1,0.654991,0.199665,[5 5] ; [13 18],[4.3902439 5.6097561] ; [13.6097561 17.3902439],0
b1,1,0.654991,0.199665,[5 5] ; [18 13],[5.6097561 4.3902439] ; [17.3902439 13.6097561],0
a4,1,0.67329,0.177778,[3 7] ; [ 7 23],[2.5 7.5] ; [ 7.5 22.5],0
s1,1,0.707904,0.140379,[1 9] ; [ 2 29],[0.73170732 9.26829268] ; [ 2.26829268 28.73170732],0
p6,1,0.782528,0.07619,[1 9] ; [ 4 26],[1.25 8.75] ; [ 3.75 26.25],0
b4,1,0.929299,0.007873,[5 5] ; [16 15],[5.12195122 4.87804878] ; [15.87804878 15.12195122],0
n1,1,0.954928,0.003194,[1 2] ; [ 7 13],[1.04347826 1.95652174] ; [ 6.95652174 13.04347826],0
