Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,4e-06,21.495963,[ 31 108] ; [77 83],[50.20735786 88.79264214] ; [ 57.79264214 102.20735786],1
r3,1,0.000276,13.228755,[112  27] ; [150   9],[122.20805369  16.79194631] ; [139.79194631  19.20805369],1
d5,1,0.000504,12.102112,[63 77] ; [104  56],[77.93333333 62.06666667] ; [89.06666667 70.93333333],1
p2,1,0.001712,9.835248,[97 42] ; [135  24],[108.2147651  30.7852349] ; [123.7852349  35.2147651],0
a3,1,0.002823,8.918565,[66 72] ; [104  56],[78.72483221 59.27516779] ; [91.27516779 68.72483221],0
s2,1,0.007112,7.244343,[46 91] ; [78 81],[57.39189189 79.60810811] ; [66.60810811 92.39189189],0
r4,1,0.012689,6.2119,[106  34] ; [139  21],[114.33333333  25.66666667] ; [130.66666667  29.33333333],0
d2,1,0.013002,6.168833,[ 33 107] ; [ 20 139],[ 24.81605351 115.18394649] ; [ 28.18394649 130.81605351],0
b3,1,0.017386,5.657,[23 60] ; [39 47],[30.44970414 52.55029586] ; [31.55029586 54.44970414],0
b2,1,0.017386,5.657,[23 60] ; [39 47],[30.44970414 52.55029586] ; [31.55029586 54.44970414],0
r1,1,0.025441,4.993595,[87 51] ; [120  40],[95.8590604 42.1409396] ; [111.1409396  48.8590604],0
p10,1,0.033102,4.540476,[98 37] ; [131  27],[105.51194539  29.48805461] ; [123.48805461  34.51194539],0
s6,1,0.042587,4.111721,[78 58] ; [108  49],[86.33447099 49.66552901] ; [99.66552901 57.33447099],0
a8,1,0.043547,4.074045,[ 14 115] ; [ 30 123],[ 20.12765957 108.87234043] ; [ 23.87234043 129.12765957],0
u2,1,0.047334,3.933487,[30 44] ; [32 23],[35.56589147 38.43410853] ; [26.43410853 28.56589147],0
v2,1,0.055724,3.660291,[54 76] ; [82 73],[62.03508772 67.96491228] ; [73.96491228 81.03508772],0
u3,1,0.060556,3.522085,[30 44] ; [32 24],[35.29230769 38.70769231] ; [26.70769231 29.29230769],0
p9,1,0.064674,3.413281,[103  32] ; [134  24],[109.19795222  25.80204778] ; [127.80204778  30.19795222],0
p8,1,0.067063,3.353479,[56 78] ; [83 75],[63.78767123 70.21232877] ; [75.21232877 82.78767123],0
a5,1,0.068257,3.324445,[72 68] ; [99 61],[79.8 60.2] ; [91.2 68.8],0
p7,1,0.074098,3.189833,[75 61] ; [102  54],[82.43835616 53.56164384] ; [94.56164384 61.43835616],0
a7,1,0.08654,2.937593,[78 62] ; [104  55],[85.2173913 54.7826087] ; [96.7826087 62.2173913],0
n6,1,0.086988,2.929245,[111  29] ; [137  21],[116.51006711  23.48993289] ; [131.48993289  26.51006711],0
s1,1,0.091552,2.846867,[  9 127] ; [  4 153],[  6.03412969 129.96587031] ; [  6.96587031 150.03412969],0
s7,1,0.094994,2.787644,[50 79] ; [74 78],[56.9252669 72.0747331] ; [67.0747331 84.9252669],0
p1,1,0.114895,2.485573,[ 16 123] ; [ 10 148],[ 12.16835017 126.83164983] ; [ 13.83164983 144.16835017],0
v4,1,0.172266,1.863114,[121  18] ; [147  13],[124.58862876  14.41137124] ; [143.41137124  16.58862876],0
s5,1,0.193571,1.690229,[ 32 104] ; [ 47 108],[36.9209622 99.0790378] ; [ 42.0790378 112.9209622],0
n2,1,0.222875,1.485766,[32 10] ; [33  5],[34.125  7.875] ; [30.875  7.125],0
p11,1,0.224883,1.472936,[99 41] ; [123  37],[103.6  36.4] ; [118.4  41.6],0
v1,1,0.238041,1.392159,[63 74] ; [82 73],[68.03082192 68.96917808] ; [76.96917808 78.03082192],0
a1,1,0.240127,1.379848,[  4 136] ; [  9 151],[  6.06666667 133.93333333] ; [  6.93333333 153.06666667],0
r2,1,0.24482,1.352626,[119  20] ; [144  16],[122.26421405  16.73578595] ; [140.73578595  19.26421405],0
b5,1,0.261848,1.258961,[75 65] ; [96 64],[79.8 60.2] ; [91.2 68.8],0
b4,1,0.35212,0.865801,[73 67] ; [92 68],[77. 63.] ; [88. 72.],0
p6,1,0.382354,0.763121,[40 96] ; [ 54 104],[43.4829932 92.5170068] ; [ 50.5170068 107.4829932],0
a4,1,0.394516,0.724977,[ 32 106] ; [ 44 116],[ 35.19463087 102.80536913] ; [ 40.80536913 119.19463087],0
p4,1,0.43425,0.61143,[68 71] ; [85 74],[71.36577181 67.63422819] ; [81.63422819 77.36577181],0
s8,1,0.441036,0.593586,[45 93] ; [ 59 101],[48.16107383 89.83892617] ; [ 55.83892617 104.16107383],0
s3,1,0.45639,0.554734,[65 70] ; [84 76],[68.18644068 66.81355932] ; [80.81355932 79.18644068],0
n3,1,0.476344,0.507222,[31 10] ; [26 12],[29.58227848 11.41772152] ; [27.41772152 10.58227848],0
u1,1,0.485263,0.487013,[  4 136] ; [  7 153],[  5.13333333 134.86666667] ; [  5.86666667 154.13333333],0
p12,1,0.59058,0.289439,[  9 129] ; [  8 150],[  7.92567568 130.07432432] ; [  9.07432432 148.92567568],0
a6,1,0.605961,0.266098,[79 61] ; [95 65],[81.2 58.8] ; [92.8 67.2],0
p3,1,0.644674,0.212681,[58 81] ; [71 89],[59.96989967 79.03010033] ; [69.03010033 90.96989967],0
n4,1,0.658284,0.195615,[114  25] ; [128  32],[112.50167224  26.49832776] ; [129.49832776  30.50167224],0
s4,1,0.676375,0.174235,[ 26 112] ; [ 27 132],[ 24.62626263 113.37373737] ; [ 28.37373737 130.62626263],0
a2,1,0.68049,0.169574,[  8 132] ; [ 11 149],[  8.86666667 131.13333333] ; [ 10.13333333 149.86666667],0
v3,1,0.682352,0.16749,[46 91] ; [ 57 102],[47.6722973 89.3277027] ; [ 55.3277027 103.6722973],0
b1,1,0.697103,0.151503,[59 81] ; [71 89],[60.66666667 79.33333333] ; [69.33333333 90.66666667],0
n1,1,0.802324,0.06267,[20 21] ; [17 20],[19.44871795 21.55128205] ; [17.55128205 19.44871795],0
u4,1,0.924468,0.008988,[  1 139] ; [  1 159],[  0.93333333 139.06666667] ; [  1.06666667 158.93333333],0
p5,1,0.942635,0.005178,[ 16 121] ; [ 19 140],[ 16.19932432 120.80067568] ; [ 18.80067568 140.19932432],0
