Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.0,34.953212,[ 15 287] ; [20 53],[ 28.18666667 273.81333333] ; [ 6.81333333 66.18666667],1
s6,1,0.0,28.415073,[ 93 209] ; [46 25],[112.54155496 189.45844504] ; [26.45844504 44.54155496],1
b5,1,3.9e-05,16.934543,[196 107] ; [28 45],[180.5106383 122.4893617] ; [43.4893617 29.5106383],1
p12,1,0.000852,11.125015,[  9 291] ; [ 9 64],[ 14.4772118 285.5227882] ; [ 3.5227882 69.4772118],1
p1,1,0.001918,9.626656,[ 17 285] ; [12 61],[ 23.35466667 278.64533333] ; [ 5.64533333 67.35466667],0
s8,1,0.002261,9.324606,[ 52 250] ; [24 48],[ 61.36898396 240.63101604] ; [14.63101604 57.36898396],0
r1,1,0.003699,8.426049,[209  92] ; [63 10],[218.90909091  82.09090909] ; [53.09090909 19.90909091],0
p3,1,0.005244,7.793191,[115 186] ; [41 32],[125.55080214 175.44919786] ; [30.44919786 42.55080214],0
r4,1,0.00883,6.856806,[232  71] ; [66  7],[240.14361702  62.85638298] ; [57.85638298 15.14361702],0
p10,1,0.010616,6.528505,[203  95] ; [60 12],[211.82162162  86.17837838] ; [51.17837838 20.82162162],0
p7,1,0.025171,5.012076,[152 145] ; [48 25],[160.54054054 136.45945946] ; [39.45945946 33.54054054],0
n6,1,0.027175,4.879644,[228  73] ; [64  9],[235.00534759  65.99465241] ; [56.99465241 16.00534759],0
p4,1,0.029622,4.731068,[141 160] ; [44 28],[149.28954424 151.71045576] ; [35.71045576 36.28954424],0
d2,1,0.029776,4.722182,[121 181] ; [39 33],[129.19786096 172.80213904] ; [30.80213904 41.19786096],0
s4,1,0.032171,4.58934,[ 25 277] ; [12 60],[ 29.87700535 272.12299465] ; [ 7.12299465 64.87700535],0
n5,1,0.052348,3.764597,[199 101] ; [57 16],[205.89812332  94.10187668] ; [50.10187668 22.89812332],0
