Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.92487,[ 3 12] ; [93 25],[10.82706767  4.17293233] ; [85.17293233 32.82706767],1
r2,1,0.000278,13.211528,[7 8] ; [101  17],[12.18045113  2.81954887] ; [95.81954887 22.18045113],1
r3,1,0.000857,11.114288,[8 7] ; [103  15],[12.51879699  2.48120301] ; [98.48120301 19.51879699],1
p9,1,0.002483,9.153178,[ 5 10] ; [83 32],[10.15384615  4.84615385] ; [77.84615385 37.15384615],0
p10,1,0.015758,5.829658,[ 5 10] ; [76 40],[9.27480916 5.72519084] ; [71.72519084 44.27480916],0
p2,1,0.016074,5.794794,[6 9] ; [83 34],[10.11363636  4.88636364] ; [78.88636364 38.11363636],0
r1,1,0.016623,5.735764,[ 5 10] ; [77 41],[9.2481203 5.7518797] ; [72.7518797 45.2481203],0
u3,1,0.022945,5.172634,[1 6] ; [30 20],[3.80701754 3.19298246] ; [27.19298246 22.80701754],0
n6,1,0.022975,5.170401,[6 9] ; [82 36],[9.92481203 5.07518797] ; [78.07518797 39.92481203],0
p1,1,0.038492,4.283168,[ 2 13] ; [  3 115],[ 0.56390977 14.43609023] ; [  4.43609023 113.56390977],0
d5,1,0.039253,4.2499,[7 8] ; [85 32],[10.45454545  4.54545455] ; [81.54545455 35.45454545],0
n2,1,0.040491,4.197172,[1 4] ; [32 16],[3.11320755 1.88679245] ; [29.88679245 18.11320755],0
v2,1,0.054982,3.682642,[ 3 12] ; [53 62],[6.46153846 8.53846154] ; [49.53846154 65.46153846],0
p6,1,0.12184,2.393506,[ 1 14] ; [28 87],[ 3.34615385 11.65384615] ; [25.65384615 89.34615385],0
p11,1,0.159809,1.976036,[7 8] ; [77 41],[9.47368421 5.52631579] ; [74.52631579 43.47368421],0
a6,1,0.195544,1.675343,[6 9] ; [68 50],[8.34586466 6.65413534] ; [65.65413534 52.34586466],0
a7,1,0.216136,1.529843,[8 7] ; [81 36],[10.11363636  4.88636364] ; [78.88636364 38.11363636],0
s4,1,0.219997,1.50439,[ 4 11] ; [ 17 101],[ 2.36842105 12.63157895] ; [18.63157895 99.36842105],0
p7,1,0.235823,1.40539,[ 5 10] ; [58 59],[7.15909091 7.84090909] ; [55.84090909 61.15909091],0
d1,1,0.243316,1.361279,[ 4 11] ; [50 68],[6.09022556 8.90977444] ; [47.90977444 70.09022556],0
b3,1,0.24346,1.360448,[1 9] ; [15 40],[2.46153846 7.53846154] ; [13.53846154 41.46153846],0
b2,1,0.24346,1.360448,[1 9] ; [15 40],[2.46153846 7.53846154] ; [13.53846154 41.46153846],0
b4,1,0.330378,0.947414,[10  5] ; [63 55],[8.23308271 6.76691729] ; [64.76691729 53.23308271],0
p4,1,0.341683,0.904105,[ 4 11] ; [46 71],[5.68181818 9.31818182] ; [44.31818182 72.68181818],0
d3,1,0.35456,0.857071,[8 7] ; [76 40],[9.61832061 5.38167939] ; [74.38167939 41.61832061],0
p3,1,0.356392,0.850569,[ 3 12] ; [37 80],[ 4.54545455 10.45454545] ; [35.45454545 81.54545455],0
s2,1,0.365162,0.820064,[ 1 14] ; [18 99],[ 2.15909091 12.84090909] ; [ 16.84090909 100.15909091],0
v1,1,0.402341,0.701318,[7 8] ; [42 76],[5.52631579 9.47368421] ; [43.47368421 74.52631579],0
s7,1,0.425925,0.63391,[ 4 10] ; [22 91],[ 2.86614173 11.13385827] ; [23.13385827 89.86614173],0
p8,1,0.486834,0.483516,[ 5 10] ; [50 67],[6.25 8.75] ; [48.75 68.25],0
n5,1,0.51937,0.415145,[ 4 11] ; [41 76],[5.11363636 9.88636364] ; [39.88636364 77.11363636],0
s1,1,0.529703,0.394961,[ 1 14] ; [  4 114],[ 0.56390977 14.43609023] ; [  4.43609023 113.56390977],0
a5,1,0.579833,0.306505,[7 8] ; [64 54],[8.0075188 6.9924812] ; [62.9924812 55.0075188],0
d4,1,0.612902,0.255971,[10  5] ; [86 32],[10.82706767  4.17293233] ; [85.17293233 32.82706767],0
s5,1,0.647711,0.208798,[ 2 13] ; [21 95],[ 2.63358779 12.36641221] ; [20.36641221 95.63358779],0
d2,1,0.664709,0.187853,[ 5 10] ; [33 85],[ 4.28571429 10.71428571] ; [33.71428571 84.28571429],0
a3,1,0.751604,0.100188,[8 7] ; [68 50],[8.57142857 6.42857143] ; [67.42857143 50.57142857],0
b1,1,0.751604,0.100188,[7 8] ; [50 68],[6.42857143 8.57142857] ; [50.57142857 67.42857143],0
b5,1,0.764873,0.089454,[10  5] ; [74 44],[9.47368421 5.52631579] ; [74.52631579 43.47368421],0
a2,1,0.789363,0.071363,[ 2 13] ; [ 13 105],[ 1.69172932 13.30827068] ; [ 13.30827068 104.69172932],0
v3,1,0.806599,0.059935,[ 3 12] ; [26 88],[ 3.37209302 11.62790698] ; [25.62790698 88.37209302],0
s6,1,0.877939,0.023587,[ 5 10] ; [41 75],[5.26717557 9.73282443] ; [40.73282443 75.26717557],0
n3,1,0.902048,0.015147,[3 2] ; [28 21],[2.87037037 2.12962963] ; [28.12962963 20.87037037],0
a4,1,0.917213,0.010805,[ 4 11] ; [30 88],[ 3.83458647 11.16541353] ; [30.16541353 87.83458647],0
