Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,9e-05,15.326385,[21  5] ; [31 53],[12.29090909 13.70909091] ; [39.70909091 44.29090909],1
p7,1,0.000333,12.87723,[20  5] ; [32 50],[12.14953271 12.85046729] ; [39.85046729 42.14953271],1
p8,1,0.00063,11.684326,[19  7] ; [29 54],[11.44954128 14.55045872] ; [36.55045872 46.44954128],1
s8,1,0.000925,10.971312,[16 10] ; [22 62],[ 8.98181818 17.01818182] ; [29.01818182 54.98181818],1
p3,1,0.005028,7.869276,[16 10] ; [26 58],[ 9.92727273 16.07272727] ; [32.07272727 51.92727273],0
s4,1,0.005559,7.687968,[12 14] ; [16 68],[ 6.61818182 19.38181818] ; [21.38181818 62.61818182],0
s5,1,0.005912,7.576902,[15 10] ; [24 57],[ 9.19811321 15.80188679] ; [29.80188679 51.19811321],0
s7,1,0.017008,5.695552,[14 12] ; [21 54],[ 9.00990099 16.99009901] ; [25.99009901 49.00990099],0
p9,1,0.017944,5.60159,[24  2] ; [56 25],[19.43925234  6.56074766] ; [60.56074766 20.43925234],0
n2,1,0.036347,4.380751,[10  2] ; [16 17],[6.93333333 5.06666667] ; [19.06666667 13.93333333],0
s6,1,0.055267,3.674012,[21  5] ; [50 33],[16.93577982  9.06422018] ; [54.06422018 28.93577982],0
p10,1,0.067916,3.332675,[22  4] ; [54 28],[18.2962963  7.7037037] ; [57.7037037 24.2962963],0
v1,1,0.070347,3.274905,[15 11] ; [30 50],[11.03773585 14.96226415] ; [33.96226415 46.03773585],0
a5,1,0.078256,3.100756,[22  4] ; [56 28],[18.43636364  7.56363636] ; [59.56363636 24.43636364],0
a7,1,0.082944,3.00624,[18  8] ; [71 13],[21.03636364  4.96363636] ; [67.96363636 16.03636364],0
a4,1,0.12272,2.382264,[15 11] ; [34 50],[11.58181818 14.41818182] ; [37.41818182 46.58181818],0
s2,1,0.131079,2.279677,[16 10] ; [37 46],[12.64220183 13.35779817] ; [40.35779817 42.64220183],0
r4,1,0.139181,2.186987,[24  2] ; [67 17],[21.50909091  4.49090909] ; [69.49090909 14.50909091],0
n5,1,0.142666,2.148962,[10 16] ; [20 64],[ 7.09090909 18.90909091] ; [22.90909091 61.09090909],0
p12,1,0.211239,1.562915,[ 2 24] ; [ 2 81],[ 0.95412844 25.04587156] ; [ 3.04587156 79.95412844],0
p11,1,0.211683,1.559878,[19  7] ; [50 34],[16.30909091  9.69090909] ; [52.69090909 31.30909091],0
u1,1,0.218532,1.513984,[ 6 20] ; [11 73],[ 4.01818182 21.98181818] ; [12.98181818 71.01818182],0
u2,1,0.251542,1.314721,[6 1] ; [17 10],[4.73529412 2.26470588] ; [18.26470588  8.73529412],0
b3,1,0.262357,1.256276,[8 8] ; [15 29],[6.13333333 9.86666667] ; [16.86666667 27.13333333],0
b2,1,0.262357,1.256276,[8 8] ; [15 29],[6.13333333 9.86666667] ; [16.86666667 27.13333333],0
s3,1,0.279449,1.169767,[16 10] ; [41 42],[13.59633028 12.40366972] ; [43.40366972 39.59633028],0
n1,1,0.325331,0.967393,[5 7] ; [ 9 25],[3.65217391 8.34782609] ; [10.34782609 23.65217391],0
s1,1,0.375796,0.784408,[ 1 25] ; [ 1 83],[ 0.47272727 25.52727273] ; [ 1.52727273 82.47272727],0
a1,1,0.375796,0.784408,[ 1 25] ; [ 1 83],[ 0.47272727 25.52727273] ; [ 1.52727273 82.47272727],0
n3,1,0.408961,0.681818,[6 6] ; [21 12],[7.2 4.8] ; [19.8 13.2],0
